序号,学校名称
1,中国人民大学附属中学
2,河北衡水中学
3,上海中学
4,北京第四中学
5,长沙市长郡中学
6,华中师范大学第一附属中学
7,华中师范大学第二附属中学
8,北京师范大学附属实验中学
9,北京大学附属中学
10,东北师范大学附属中学
11,北京市十一学校
12,长沙市雅礼中学
13,石家庄第二中学
14,清华大学附属中学
15,北京师范大学附属第二中学
16,中央民族大学附属中学
17,西北工业大学附属中学
18,成都市第七中学
19,郑州外国语学校
20,湖南师范大学附属中学
21,西安高新第一中学
22,浙江省镇海中学
23,山西大学附属中学
24,重庆巴蜀中学
25,浙江省杭州市第二中学
26,重庆南开中学
27,四川绵阳中学
28,武汉市第二中学
29,大连市第二十四中学
30,北京市第五中学
31,西安市铁一中学
32,杭州学军中学
33,复旦大学附属中学
34,北京市第八中学
35,北京市第二中学
36,首都师范大学附属中学
37,北京一零一中学
38,东北育才中学
39,天津市第一中学
40,天津市耀华中学
41,本溪市高级中学
42,襄阳市第五中学
43,天津市南开中学
44,华南师范大学附属中学
45,湖南长沙市第一中学
46,天津市杨村第一中学
47,衡水市第二中学
48,大连育明高级中学
49,天津新华中学
50,北京市第一七一中学
51,浙江省温州中学
52,北京市第八十中学
53,北京市第十二中学
54,西北师范大学附属中学
55,上海市七宝中学
56,北京市第十三中学
57,天津实验中学
58,景山学校
59,襄阳市第四中学
60,北京市八一中学
61,汇文中学
62,北京师范大学附属中学
63,吉林大学附属中学
64,交通大学附属中学
65,哈尔滨市第三中学
66,上海交通大学附属中学
67,福州第一中学
68,北京市一六一中学
69,乐成公立寄宿学校
70,深圳中学
71,云南师范大学附属中学
72,南京师范大学附属中学
73,合肥市第一中学
74,辽宁省实验中学
75,牛栏山一中
76,武汉外国语学校
77,上海市格致中学
78,宁夏银川一中
79,福建省厦门双十中学
80,乌鲁木齐市第一中学
81,南京外国语学校
82,成都外国语学校
83,上海市建平中学
84,福建省厦门第一中学
85,北京市第十五中学
86,广渠门中学
87,延安中学
88,大庆实验中学
89,上海市实验学校
90,宝坻区第一中学
91,杭州外国语学校
92,贵阳市第一中学
93,天津市静海县第一中学
94,上海市曹杨第二中学
95,新疆生产建设兵团第二中学
96,海南中学
97,上海外国语大学附属外国语学校
98,上海外国语大学附属浦东外国语学校
99,曲靖第一中学
100,呼和浩特市第二中学
