,地址,电话,网址,城市
北京大兴区黄村第一中学,,,,北京
北京房山区房山第三中学,北京市房山区苏庄东街11号,010-69382124,,北京
北京门头沟区陇驾庄中学,北京市海淀区科学院南路甲14号中关村中学,010-62554897,http://www.hdzgczx.bjedu...,北京
北京石景山区实验中学,八角路40,010-68861032 010-68861034,http://www.bjsjssy.com,北京
北京市海淀区实验中学,北京市海淀区阜成路北二街白堆子131号,010-68471805,http://www.hdsyzx.com/In...,北京
北京丰台区丰台第一中学,北京市丰台区丰台桥南新华街2号,010-63726654,http://www.ft1z.ftedu.go...,北京
北京大兴第一中学,,,,北京
北京第一中学,北京市东城区宝钞胡同甲  12号,010-64043280,http://www.bj1z.net,北京
北京顺义区第一中学,北京市顺义区站前东街6#,010-81492432,,北京
平谷区第五中学,,,,北京
北京第四十三中学,北京市西城区后孙公园37号,010-63033002 63153783,http://www.bj43zx.com,北京
首都师范大学大兴附属中学,北京市宣武区南新华街18号     100052,010-69245617 010-69542090,http://www.bjsdfz.com,北京
北京密云县西田各庄中学,,,,北京
北京首都师范大学附属中学,北京市海淀区北洼路33号,68415054,http://www.cnuschool.org...,北京
北京丰台区第八中学,,,,北京
北京第八中学,北京市西城区西便门东大街乙2号,010-66020961,,北京
北京朝阳区芳草地国际学校,北京市朝阳区日坛北路1号,010-85635120,http://www.fcd.com.cn,北京
北京密云县穆家峪中学 ,北京市密云县穆家峪镇羊山村,010-61051944,,北京
北京密云县古北口中学,,,,北京
北京密云县高岭中学,,,,北京
北京苹果园中学,北京市石景山区苹果园南路25号,010-88929388,http://pz.sjsedu.cn/inde...,北京
北京佛子庄乡佛子庄中学,,,,北京
北京中关村中学分校,山东庄镇北屯村西职告街55号,,,北京
北京良乡官道中学,良乡镇官道村,010-60331081,,北京
北京丰台区丰台第二中学,北京市丰台区丰台镇东安街头条3号,010-63859538,http://www.bjf2.cn,北京
北京第二中学,天津市河北区昆纬路109号,,http://www.tjez.com.cn,北京
北京房山区房山第二中学,,,,北京
北京第三中学,北京市西城区富国街3号,010-66183974,www.bj3zhx.org,北京
北京丰台区第三中学,,,,北京
北京昌平区第四中学,北京市昌平区永安路5号电话：（010）69741024,(010)69741024,,北京
北京怀柔区第四中学,北京市怀柔区湖光小区34号,010-69643620,,北京
北京怀柔区第五中学,东关二区1号,010-69620281,,北京
北京通州区第二中学,,,,北京
北京顺义区第五中学,顺义区石园大街,010-89441490,,北京
北京第四中学,大城县开发区东盛大街69号,03165510953,,北京
北京第五中学,北京市东城区细管胡同13号     100007,(010)64042971,http://www.bj5hs.cn,北京
北京丰台区南苑中学,北京市丰台区葆台路,,,北京
北京房山区良乡第四中学,,,,北京
北京采育中学,大兴区采育镇,010-80271284 010-80271973,,北京
房山区琉璃河中学 ,房山区刘李店（刘李河办事处北侧）,010-61396897,,北京
北京回龙观中学,回龙观三合庄园西侧,010-80772572 010-80772573,,北京
北京市石景山中学,模式口西里31号,010-68293411 010-88293411,,北京
大兴区庞各庄中学,大兴区庞各庄镇京开路,010-89287415,,北京
北京房山中学,房山区东城根,010-69314284,,北京
燕郊第二中学,,,,北京
中国传媒大学附属中学 ,北京市顺义区龙湾屯镇丁甲庄北侧,010-80490026,,北京
张各庄中学,,,,北京
延庆县姚家营中学,,,,北京
延庆县赵庄中学,,,,北京
延庆县香营中学,,,,北京
延庆县珍珠泉中学 ,北京市延庆县珍珠泉乡水泉子村,010-60186644,,北京
北京西颐实验学校 ,北京市海淀区双榆树南里二区3号,010-62151573,,北京
北京通州区第一实验中学,,,,北京
北京天通苑中山实验学校,,,,北京
首都师范大学附属良乡实验学校,北京市朝阳区望京花园西区133号楼,010-64745844,http://www.cnuwjschool.o...,北京
北京中桥外国语学校 ,北京市丰台区太平桥东局甲2号,010-63265390,,北京
北京顺义区高丽营第一中学,北京市顺义区高丽营镇四村,010-69455654,,北京
塔城地区第一高级中学,,,,北京
北京一零第一中学,北京海淀区颐和园路11号   100091,010—62566753,http://www.beijing101.com,北京
密云县第一中学,,,,北京
