,中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
0,东北育才学校,辽宁省 沈阳市 和平区,省重点,公办,中学,辽宁省沈阳市和平区南一马路100号,024-23783945,辽宁省,沈阳市,和平区
1,天津市南开中学,天津市 南开区,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区
2,山西省实验中学（太原市第十中学）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
3,辽宁省实验中学（高中部）,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
4,北京市第五中学（北京五中）,北京市 东城区,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区
5,合肥市第六中学（合肥六中）,安徽省 合肥市 瑶海区,省重点,公办,中学,安徽省合肥市长江路397号（南区）  安徽省合肥市寿春路252号（北区）,0551-2858277（办公室） 2858227（教务处）,安徽省,合肥市,瑶海区
6,山东师范大学附属中学（山师附中）,山东省 济南市 历下区,省重点,公办,中学,山东省济南市历下区山师北街3号,0531-86187151,山东省,济南市,历下区
7,云浮市云浮中学,广东省 云浮市 云城区,全国重点,公办,中学,广东省云浮市云城区兴云东路133号,0766-8131029,广东省,云浮市,云城区
8,北京师范大学附属实验中学（实验中学）,北京市 西城区,市重点,公办,中学,北京市西城区二龙路甲14号,010-66036431,北京市,北京市,西城区
9,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
10,杭州市学军中学,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市文三路188号,0571-88088529  0571-88052280,浙江省,杭州市,西湖区
11,清华大学附属中学（清华附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区
12,湖南师范大学附属中学（湖南师大附中）,湖南省 长沙市 岳麓区,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区
13,太原市第五中学（太原五中）,山西省 太原市 迎泽区,省重点,公办,中学,山西省太原市迎泽区青年路49号,0351-4094288,山西省,太原市,迎泽区
14,杭州二中滨江校区,浙江省 杭州市 滨江区,省重点,公办,中学,浙江省杭州市滨江区东信大道72-76号,0571-86696789  86053053,浙江省,杭州市,滨江区
15,陕西师范大学附属中学（陕师大附中）,陕西省 西安市 雁塔区,省重点,公办,中学,陕西省西安市翠华南路115号,029-85265803,陕西省,西安市,雁塔区
16,北京大学附属中学（北大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区黄庄北大附中,010-62555594,北京市,北京市,海淀区
17,广东实验中学（省实）,广东省 广州市 越秀区,省重点,公办,中学,广州市越秀区中山四路51号　,（020）83810947、83818022,广东省,广州市,越秀区
18,吉林省实验中学（高中）,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市人民大街6465号,0431-85376541,吉林省,长春市,朝阳区
19,北京101中学,北京市 海淀区,市重点,公办,中学,北京市海淀区颐和园路11号,010-62566753,北京市,北京市,海淀区
20,杭州市高级中学,浙江省 杭州市 下城区,省重点,公办,中学,浙江省杭州市下城区凤起路238号,0571-85155827 / 85155951 / 85179872,浙江省,杭州市,下城区
21,山东省实验中学,山东省 济南市 市中区,省重点,公办,中学,山东省济南市市中区经七路73号,0531-86926496 18243000924,山东省,济南市,市中区
22,北京市第四中学（北京四中）,北京市 西城区,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区
23,成都市石室中学（文庙校区）,四川省 成都市 青羊区,省重点,公办,中学,四川省成都市青羊区文庙前街93号,028-86119108 028-86139976,四川省,成都市,青羊区
24,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
25,合肥市第八中学,安徽省 合肥市 蜀山区,省重点,公办,中学,（老校区）合肥市中心桐城北路173号/（新校区）合肥政务区习友路1688号,0551-2672148,安徽省,合肥市,蜀山区
26,北京市第八中学（北京八中）,北京市 西城区,市重点,公办,中学,北京市西城区学院小街2号,010-66034661,北京市,北京市,西城区
27,上海中学,上海市 闵行区,全国重点,公办,中学,上海市百色路989号（南大门：上中路400号）,021-64100430 64554819,上海市,上海市,闵行区
28,上海外国语大学附属双语学校（上外双语）,上海市 杨浦区,市重点,民办,中学,上海市杨浦区永吉路351号,021-55805273,上海市,上海市,杨浦区
29,天津市实验中学,天津市 河西区,全国重点,公办,中学,天津市河西区平山道1号,022-23358689,天津市,天津市,河西区
30,上海市世界外国语中学（世外中学）,上海市 徐汇区,市重点,民办,中学,上海市徐汇区虹漕南路602号,021-54198567,上海市,上海市,徐汇区
31,上海西南位育中学（初中）,上海市 徐汇区,市重点,民办,中学,上海市徐汇区宜山路671号,021-64088658,上海市,上海市,徐汇区
32,东北师范大学附属中学（东北师大附中）,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区
33,西北师范大学附属中学,甘肃省 兰州市 安宁区,省重点,公办,中学,甘肃省兰州市安宁区十里店南街21号,（0931）7752517,甘肃省,兰州市,安宁区
34,贵阳市第一中学（贵阳一中）,贵州省 贵阳市 乌当区,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区
35,西北工业大学附属中学（西工大附中）,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区
36,北京市三帆中学（师大二附初中部）,北京市 西城区,市重点,公办,中学,北京市西城区德外新风7号,010-62059161,北京市,北京市,西城区
37,哈尔滨市第三中学（哈三中）,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
38,宁波市镇海中学,浙江省 宁波市 镇海区,省重点,公办,中学,浙江省宁波市镇海区鼓楼东路32号,0574-86272378,浙江省,宁波市,镇海区
39,厦门市双十中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区
40,重庆市南开中学,重庆市 沙坪坝区,全国重点,公办,中学,重庆市沙坪坝区沙南街一号,023-65312786,重庆市,重庆市,沙坪坝区
41,郑州市第一中学（郑州一中）,河南省 郑州市 中原区,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区
