中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
北京电子科技职业技术学院（本部）,北京市 朝阳区,全国重点,公办,职业学校,太阳宫芍药居甲 1号 大兴亦庄,"010-84614991 	 13337103199",北京市,北京市,朝阳区
北京金隅科技学校（原北京建材工业校）,北京市 房山区,全国重点,公办,职业学校,北京市房山区琉璃河车站东街22号,"010-69320011           13598402615   	 18699729738",北京市,北京市,房山区
河北经贸大学经济管理学院,河北省 石家庄市 桥西区,全国重点,公办,职业学校,河北省石家庄市红旗大街428号,0311-87665190,河北省,石家庄市,桥西区
四川省射洪县职业中专学校,四川省 遂宁市 射洪县,全国重点,公办,职业学校,四川省射洪县大榆镇桃木沟村,0825-6703866,四川省,遂宁市,射洪县
北京市城市建设学校,北京市 东城区,全国重点,公办,职业学校,北京朝阳区水碓子东路15号,010-85982066,北京市,北京市,东城区
北京水利水电学校,北京市 朝阳区,全国重点,公办,职业学校,北京市朝阳区定福庄东里1号,010-65762428,北京市,北京市,朝阳区
贵州交通职业技术学院,贵州省 贵阳市 白云区,全国重点,公办,职业学校,贵州省贵阳市云岩区白云大道245号,"0851-4704694  	      13885220899",贵州省,贵阳市,白云区
石家庄市艺术学校,河北省 石家庄市,省重点,公办,职业学校,石家庄市中山东路608号,0311-85063042,河北省,石家庄市,
湖南外国语职业学院,湖南省 长沙市 雨花区,全国重点,公办,职业学校,湖南省长沙市雨花区中意路324号（红星国际会展中心西侧）,0731-82646639 0731-82646649,湖南省,长沙市,雨花区
长春农业学校,吉林省 长春市,全国重点,公办,职业学校,吉林省长春九台市龙嘉镇长吉公路26公里处,0431-8198229　043184584501,吉林省,长春市,
贵州电力职业学院,贵州省 贵阳市 ,全国重点,公办,职业学校,贵州省贵阳市红枫湖路,0851-2554065,贵州省,贵阳市,
长春广播电视大学附设中等专业学校,吉林省 长春市 宽城区,全国重点,公办,职业学校,长春市宽城区北京大街62,0431-6110518,吉林省,长春市,宽城区
福建林业职业技术学院,福建省 南平市 ,全国重点,公办,职业学校,福建省南平市金山路140号,0599-8823074,福建省,南平市,
石家庄市职教中心,河北省 石家庄市,省重点,公办,职业学校,石家庄市桥西区新石中路369号,0311-83816424 83860018,河北省,石家庄市,
吉林省工程技术学校（原吉林省地质技工学校）,吉林省 长春市,全国重点,公办,职业学校,吉林长春,13500804593,吉林省,长春市,
湖南大众传媒职业技术学院,湖南省 长沙市 长沙县,省重点,公办,职业学校,湖南省长沙市星沙经济开发区特立路5号,0731-4028501,湖南省,长沙市,长沙县
湖南交通职业技术学院,湖南省 长沙市,全国重点,公办,职业学校,湖南省长沙市韶山南路635号,0731-82082092 13203134305,湖南省,长沙市,
石家庄邮电职业技术学院,河北省 石家庄市 裕华区,全国重点,公办,职业学校,河北省石家庄市体育南大街318号,0311-85998905,河北省,石家庄市,裕华区
常州轻工职业技术学院,江苏省 常州市,全国重点,公办,职业学校,常州市武进区鸣新中路28号,0519-86335118,江苏省,常州市,
石家庄铁路运输学校,河北省 石家庄市 ,全国重点,公办,职业学校,河北省石家庄市宁安路189号（西校区）,16809159（免费） 0311-87923339,河北省,石家庄市,
上海工商外国语职业学院,上海市 浦东新区,全国重点,公办,职业学校,上海市浦东新区惠南镇观海路505号,021-68020621,上海市,上海市,浦东新区
石家庄工程技术学校,河北省 石家庄市 ,全国重点,公办,职业学校,石家庄市友谊北大街飞翼路9号,0311-89260032,河北省,石家庄市,
石家庄高级技工学校,河北省 石家庄市,全国重点,公办,职业学校,河北省石家庄市胜利北大街469号（胜利北大街与北外环路十字路口）,0311-89900505,河北省,石家庄市,
青岛市电子学校,山东省 青岛市 市南区,全国重点,公办,职业学校,山东省青岛市市南区新昌路36号,0532 8575 0509,山东省,青岛市,市南区
天津中德职业技术学院,天津市 南开区,全国重点,公办,职业学校,天津市南开区水上公园北道16号（天津游泳跳水馆西侧路北）,"022-23354600	 022-7925864",天津市,天津市,南开区
北京市信息管理学校,北京市 海淀区,全国重点,公办,职业学校,北京市海淀区西三环北路20号,010-68480044、68422264、13683105700、13552731290,北京市,北京市,海淀区
西安阿斯顿英语学校,陕西省 西安市,全国重点,公办,职业学校,陕西省西安市新城区东大街370号,029-87217575,陕西省,西安市,
青海畜牧兽医职业技术学院,青海省 西宁市,全国重点,公办,职业学校,青海省西宁市湟源县西大街28号,0971-7410099,青海省,西宁市,
上海市东辉职业技术学校,上海市 浦东新区,全国重点,公办,职业学校,上海市浦东新区锦绣路 2081 号,68456766,上海市,上海市,浦东新区
西安思源职业学院,陕西省 西安市 碑林区,全国重点,公办,职业学校,陕西省西安市东郊水安路28号,029-82616626,陕西省,西安市,碑林区
海南软件职业技术学院,海南省 三亚市,全国重点,公办,职业学校,海南省琼海市富海路128号,0898-62932272,海南省,三亚市,
四川省旅游学校,四川省 成都市 武侯区,省重点,公办,职业学校,成都市火车南站西路20号,（028）85173823  85187945,四川省,成都市,武侯区
重庆女子职业高级中学,重庆市 江北区,全国重点,公办,职业学校,重庆市江北区江北城桂花街47号江北区海尔路1136号,023-67556774 67555764,重庆市,重庆市,江北区
宁夏林业学校,宁夏 银川市,市重点,公办,职业学校,银川市兴庆区胜利街1060号,0951-4091139,宁夏,银川市,
