网页id,学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,电子简章,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,其他可补充字段,职业
1,安徽亳州新能源学校,安徽,亳州市,利辛县,中等专业学校,公办,安徽亳州市利辛县,--,0558-8869158,--,2014,162,--,利辛县城关镇高新路西段,--,--,,,,,,,,,"{'农业类': ['农机设备应用与维修', '作物生产技术'], '林业类': ['园林技术'], '电力技术类': ['发电厂及变电站运行与维护'], '新能源发电工程类': ['光伏工程技术与应用'], '建筑设计类': ['建筑装饰技术'], '机械设计制造类': ['数控技术应用'], '机电设备类': ['光电仪器制造与维修'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '汽车制造类': ['汽车制造与检测'], '纺织服装类': ['纺织技术与服务', '服装制作与生产管理']}"
2,安徽电气工程学校,安徽,合肥市,蜀山区,中等专业学校,公办,安徽合肥市蜀山区,http://www.ahdqxx.cn,0551-65568772,--,1956,160,--,安徽省合肥市长江西路539号,--,--,,是,,,,,,,"{'农业类': ['农机设备应用与维修'], '机械设计制造类': ['数控技术应用'], '自动化类': ['电气设备运行与控制', '机电技术应用', '工业机器人技术应用'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车美容与装潢', '新能源汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子技术应用', '物联网技术应用'], '计算机类': ['计算机网络技术'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销']}"
3,安徽合肥当代职业学校,安徽,合肥市,长丰县,中等专业学校,民办,安徽合肥市长丰县,http://www.ahhfddxx.com/,0551-65565086,--,1986,300,--,本部地址：合肥市新站区新蚌埠路和魏武路交口,--,--,,,是,,,,,,"{'机械设计制造类': ['数控技术应用'], '汽车制造类': ['汽车制造与检测'], '航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '旅游类': ['高星级饭店运营与管理'], '艺术设计类': ['美发与形象设计'], '文化服务类': ['社会文化艺术']}"
4,安徽合肥信息工程学校,安徽,合肥市,肥西县,中等专业学校,民办,安徽合肥市肥西县,http://www.ahhfxx.cn/index.php/,0551-62756766,3402055928@qq.com,--,--,--,安徽省合肥市紫蓬山风景区森林大道三号,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '艺术设计类': ['艺术设计与制作'], '文化服务类': ['社会文化艺术']}"
5,安徽红十字会卫生学校,安徽,合肥市,肥东县,中等专业学校,民办,安徽合肥市肥东县,http://www.hszwx.com,0551-63830199,--,1988,350,安徽省红十字会,合肥市合马路东华大道100号,--,--,,,是,是,,,,,"{'护理类': ['护理'], '药学类': ['药剂'], '医学技术类': ['医学影像技术'], '康复治疗类': ['康复技术'], '艺术设计类': ['美容美体艺术']}"
6,安徽华夏旅游学校,安徽,合肥市,肥东县,中等专业学校,民办,安徽合肥市肥东县,http://www.hxlyxx.com.cn,0551-67321966,--,1997,150,--,安徽省合肥市东门龙塘合马路50号,--,--,,,是,,,,,,"{'农业类': ['休闲农业生产与经营'], '自动化类': ['机电技术应用'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机平面设计'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['导游服务', '高星级饭店运营与管理', '旅游服务与管理', '会展服务与管理'], '文化服务类': ['社会文化艺术']}"
7,安徽机电工程学校,安徽,滁州市,凤阳县,中等专业学校,公办,安徽滁州市凤阳县,https://www.ahees.com,0550-6367168,--,1961,100,滁州市人民政府,凤阳县长春路5号(蚌埠东郊),--,--,,是,,,,,,,"{'农业类': ['农村电气技术', '农机设备应用与维修', '作物生产技术'], '畜牧业类': ['畜禽生产技术'], '建筑材料类': ['建筑材料智能生产技术'], '机械设计制造类': ['模具制造技术', '数控技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '汽车制造类': ['新能源汽车制造与检测', '汽车制造与检测'], '道路运输类': ['汽车美容与装潢'], '计算机类': ['计算机网络技术', '计算机应用'], '财务会计类': ['会计事务'], '旅游类': ['高星级饭店运营与管理', '导游服务']}"
8,安徽交通技术学校,安徽,池州市,贵池区,中等专业学校,公办,安徽池州市贵池区,--,0566-2748017,--,1981,78,--,池州市教育园区牧之路89号,--,--,,,是,,,,,,"{'农业类': ['作物生产技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务']}"
9,安徽经济贸易学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.ahjm.net,0551-65157488,--,1994,--,--,合肥市蜀山区霍山路82号合肥市瑶海区九顶山路68号,--,--,,,,,,,,,"{'土建施工类': ['建筑工程施工'], '房地产类': ['房地产营销'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '纺织服装类': ['服装设计与工艺'], '城市轨道交通类': ['城市轨道交通运营服务'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销', '连锁经营与管理'], '电子商务类': ['电子商务']}"
10,安徽旅游学校,安徽,合肥市,蜀山区,中等专业学校,公办,安徽合肥市蜀山区,--,0551-65577700,--,--,33,安徽省旅游局,合肥市望江西路169号,--,--,,,是,,,,,,"{'航空运输类': ['航空服务'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理', '高星级饭店运营与管理'], '语言类': ['旅游外语']}"
