查询,命中,国家,省份,城市,地区,区域编码,城市编码,经度,纬度,匹配级别,已查
贵州省铜仁第一中学,贵州省铜仁市碧江区铜仁第一中学,中国,贵州省,铜仁市,碧江区,520602,856,109.232107,27.796639,兴趣点,1
吉林大学附属中学,吉林省长春市朝阳区吉林大学附属中学,中国,吉林省,长春市,朝阳区,220104,431,125.311978,43.879088,兴趣点,1
中国人民大学附属中学,北京市朝阳区中国人民大学附属中学,中国,北京市,北京市,朝阳区,110105,10,116.435765,39.985886,兴趣点,1
河北衡水中学,河北省衡水市桃城区衡水中学,中国,河北省,衡水市,桃城区,131102,318,115.711145,37.716063,兴趣点,1
内蒙古师范大学附属中学,内蒙古自治区呼和浩特市赛罕区内蒙古师范大学附属中学,中国,内蒙古自治区,呼和浩特市,赛罕区,150105,471,111.691289,40.809861,兴趣点,1
华中师范大学第二附属中学,湖北省武汉市洪山区华中师范大学,中国,湖北省,武汉市,洪山区,420111,27,114.359297,30.519408,兴趣点,1
北京师范大学附属实验中学,北京市西城区北京师范大学附属实验中学,中国,北京市,北京市,西城区,110102,10,116.369004,39.911235,兴趣点,1
东北师范大学附属中学,吉林省长春市朝阳区东北师范大学附属中学,中国,吉林省,长春市,朝阳区,220104,431,125.314623,43.870722,兴趣点,1
北京市十一学校,北京市延庆区十一学校,中国,北京市,北京市,延庆区,110119,10,115.966768,40.460883,兴趣点,1
长沙市雅礼中学,湖南省长沙市雨花区雅礼中学,中国,湖南省,长沙市,雨花区,430111,731,112.989789,28.168513,兴趣点,1
清华大学附属中学,北京市海淀区清华大学附属中学,中国,北京市,北京市,海淀区,110108,10,116.320872,40.009174,兴趣点,1
安徽省淮北市第一中学,安徽省淮北市相山区淮北市第一中学,中国,安徽省,淮北市,相山区,340603,561,116.786792,33.96994,兴趣点,1
中央民族大学附属中学,北京市海淀区中央民族大学附属中学,中国,北京市,北京市,海淀区,110108,10,116.316791,39.951212,兴趣点,1
西北工业大学附属中学,陕西省西安市碑林区西北工业大学附属中学,中国,陕西省,西安市,碑林区,610103,29,108.916279,34.240632,兴趣点,1
湖南师范大学附属中学,湖南省长沙市岳麓区湖南师范大学附属中学,中国,湖南省,长沙市,岳麓区,430104,731,112.951333,28.1841,兴趣点,1
浙江省镇海中学,浙江省宁波市镇海区镇海中学,中国,浙江省,宁波市,镇海区,330211,574,121.719749,29.954414,兴趣点,1
