序号,学校名称,省市,数据源名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
1,河北衡水中学,河北,河北衡水中学,河北省 衡水市 桃城区,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区
2,成都七中,四川,成都七中（林荫校区）,四川省 成都市 武侯区,全国重点,公办,中学,成都市林荫中街1号,028-85442231,四川省,成都市,武侯区
3,郑州外国语学校,河南,郑州外国语学校,河南省 郑州市 高新区,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区
4,长郡中学,湖南,长沙长郡中学,湖南省 长沙市 天心区,省重点,公办,中学,长沙市黄兴南路309号,0731-85287990,湖南省,长沙市,天心区
5,雅礼中学,湖南,长沙市雅礼中学,湖南省 长沙市 雨花区,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区
6,人大附中,北京,中国人民大学附属中学（人大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区
7,重庆市巴蜀中学校,重庆,重庆市巴蜀中学,重庆市 渝中区,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区
8,东北师范大学附属中学,吉林,东北师范大学附属中学（东北师大附中）,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区
9,绵阳中学,四川,绵阳中学实验学校,四川省 绵阳市 涪城区,市重点,公办,中学,四川省绵阳市园艺山教育园区,0816-8119666 / 8119777,四川省,绵阳市,涪城区
10,石家庄二中,河北,石家庄二中初中部（省实验初中部）,河北省 石家庄市 新华区,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区
11,中山纪念中学,广东,广东中山纪念中学,广东省 中山市,省重点,公办,中学,中山市南朗镇翠亨村正街,0760-85501869,广东省,中山市,
12,浙江省杭州学军中学,浙江,,,,,,,,,,
13,华东师范大学第二附属中学,上海,华东师范大学第二附属中学（华师大二附中）,上海市 浦东新区,市重点,公办,中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,上海市,上海市,浦东新区
14,浙江省杭州第二中学,浙江,杭州二中滨江校区,浙江省 杭州市 滨江区,省重点,公办,中学,浙江省杭州市滨江区东信大道72-76号,0571-86696789  86053053,浙江省,杭州市,滨江区
15,华南师范大学附属中学,广东,华南师范大学附属中学（华师附中）,广东省 广州市 天河区,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区
16,山西大学附属中学,山西,山西大学附属中学（山大附中）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区
17,西北工业大学附属中学,陕西,西北工业大学附属中学（西工大附中）,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区
