地区,省份,城市,学校名,省内排名,数据源名称,地域,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
西北地区,陕西,西安市,西北工业大学附属中学,1,西北工业大学附属中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区
西北地区,陕西,西安市,西安市高新第一中学,2,西安高新第一中学（高新一中）,陕西省 西安市 高新区,省重点,民办,中学,陕西省西安市高新区唐延路23号（西安海关南侧）,029-88323755,陕西省,西安市,高新区
西北地区,陕西,西安市,西安交通大学附属中学,3,西安交通大学附属中学（西安交大附中）,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区
西北地区,陕西,西安市,西安市铁一中学,4,西安市铁一中学,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市友谊东路120号,029-82327079  029-82328008,陕西省,西安市,碑林区
西北地区,陕西,西安市,陕西师范大学附属中学,5,陕西师范大学附属中学（陕师大附中）,陕西省 西安市 雁塔区,省重点,公办,中学,陕西省西安市翠华南路115号,029-85265803,陕西省,西安市,雁塔区
西北地区,甘肃,兰州市,西北师范大学附属中学,1,西北师范大学附属中学,甘肃省 兰州市 安宁区,省重点,公办,中学,甘肃省兰州市安宁区十里店南街21号,（0931）7752517,甘肃省,兰州市,安宁区
西北地区,甘肃,兰州市,兰州第一中学,2,甘肃省兰州第一中学（兰州一中）,甘肃省 兰州市 城关区,省重点,公办,中学,甘肃省兰州市城关小沟头150号,0931—8824122,甘肃省,兰州市,城关区
西北地区,甘肃,兰州市,天水市第一中学,3,天水市第一中学（天水一中）,甘肃省 天水市 秦城区,省重点,公办,中学,甘肃省天水市秦州区泰山东路8号,0938-8271002,甘肃省,天水市,秦城区
西北地区,甘肃,兰州市,兰州炼油化工总厂第一中学,4,兰州市第五十八中学（兰炼一中）,甘肃省 兰州市 西固区,省重点,公办,中学,甘肃省兰州市福利东路212号,0931-7557011,甘肃省,兰州市,西固区
西北地区,甘肃,金昌市,金川公司第一高级中学,5,金川公司第一高级中学（金川公司第一高中）,甘肃省 金昌市 金川区,省重点,公办,中学,甘肃省金昌市金川区,0931-3685702,甘肃省,金昌市,金川区
西北地区,青海,西宁市,青海湟川中学,1,青海市湟川中学,青海省 西宁市 城西区,省重点,公办,中学,青海省西宁市城西区海晏路苏家河湾2号,0971-6318636,青海省,西宁市,城西区
西北地区,青海,西宁市,青海师范大学附属中学,2,青海师范大学附属中学,青海省 西宁市 城西区,省重点,公办,中学,青海省西宁市城西区五四西路40号,,青海省,西宁市,城西区
西北地区,青海,西宁市,西宁市第五中学,3,青海省西宁市第五中学,青海省 西宁市 城中区,省重点,公办,中学,青海省西宁市城中区南大街43号,0971－8246140、8248001,青海省,西宁市,城中区
西北地区,青海,西宁市,西宁市第十四中学,4,西宁市第十四中学,青海省 西宁市 城中区,省重点,公办,中学,青海省西宁市城中区文化街,0971-8231379,青海省,西宁市,城中区
西北地区,青海,西宁市,西宁市第四中学,5,西宁市第四中学,青海省 西宁市 城北区,省重点,公办,中学,青海省西宁市天津路69号,0971-4290370,青海省,西宁市,城北区
西北地区,新疆,乌鲁木齐市,乌鲁木齐市第一中学,1,乌鲁木齐市第一中学,新疆 乌鲁木齐市 天山区,省重点,公办,中学,新疆乌鲁木齐市健康路一巷9号,9912826965,新疆,乌鲁木齐市,天山区
西北地区,新疆,乌鲁木齐市,新疆生产建设兵团第二中学,2,新疆生产建设兵团第二中学,新疆 乌鲁木齐市,省重点,公办,中学,新疆乌鲁木齐市五星南路376号,0991-2633933  0991-2630704,新疆,乌鲁木齐市,
西北地区,新疆,乌鲁木齐市,乌鲁木齐八一中学,3,乌鲁木齐八一中学,新疆 乌鲁木齐市 天山区,省重点,公办,中学,乌鲁木齐市青年路15号,0991-8844839 8835514 8873444,新疆,乌鲁木齐市,天山区
西北地区,新疆,库尔勒市,库尔勒华山中学,4,库尔勒华山中学,新疆,省重点,公办,中学,新疆库尔勒市建国路3号,0996-2163060,新疆,,
西北地区,新疆,哈密地区,哈密地区第二中学,5,哈密地区第二中学（哈密二中）,新疆 哈密地区 哈密市,省重点,公办,中学,新疆哈密地区哈密市爱国南路5号,0902-2258614,新疆,哈密地区,哈密市
西北地区,宁夏,银川市,银川市第一中学,1,宁夏银川一中,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区
西北地区,宁夏,银川市,银川市第二中学,2,宁夏银川市第二中学（银川二中）,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏回族自治区银川市兴庆区中山北街英才巷151号,18209510188,宁夏,银川市,兴庆区
西北地区,宁夏,银川市,银川唐徕回民中学,3,银川唐徕回民中学,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏回族自治区银川市兴庆区,"0951-6085027,0951-5045303",宁夏,银川市,兴庆区
西北地区,宁夏,固原市,固原市第一中学,4,宁夏固原市第一中学（宁夏固原一中）,宁夏 固原市,市重点,公办,中学,宁夏固原市文化街8号,0954-7285516,宁夏,固原市,
西北地区,宁夏,银川市,宁夏六盘山高级中学,5,宁夏六盘山高级中学,宁夏 银川市 金凤区,省重点,公办,中学,宁夏银川市金凤区长城中路423号,0951-751861051,宁夏,银川市,金凤区
东北地区,黑龙江,哈尔滨市,哈尔滨市第三中学,1,哈尔滨市第三中学,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
东北地区,黑龙江,牡丹江市,牡丹江市第一高级中学,2,牡丹江市第一高级中学（牡丹江一中）,黑龙江 牡丹江市 东安区,省重点,公办,中学,牡丹江市江南新城区,0453-6471809,黑龙江,牡丹江市,东安区
东北地区,黑龙江,大庆市,大庆实验中学,3,黑龙江省大庆实验中学,黑龙江 大庆市,省重点,公办,中学,大庆市高新技术产业开发园区秀水路6号,0459—8156179,黑龙江,大庆市,
东北地区,黑龙江,哈尔滨市,哈尔滨师范大学附属中学,4,哈尔滨师范大学附属中学,黑龙江 哈尔滨市 南岗区,普通,公办,中学,学府路30号,0451 88675547,黑龙江,哈尔滨市,南岗区
东北地区,黑龙江,哈尔滨市,哈尔滨市第九中学,5,哈尔滨市第九中学,黑龙江 哈尔滨市 香坊区,省重点,公办,中学,黑龙江省哈尔滨市香坊区和平路165号,0451-82801485,黑龙江,哈尔滨市,香坊区
东北地区,辽宁,沈阳市,东北育才中学,1,东北育才学校,辽宁省 沈阳市 和平区,省重点,公办,中学,辽宁省沈阳市和平区南一马路100号,024-23783945,辽宁省,沈阳市,和平区
东北地区,辽宁,沈阳市,辽宁省实验中学,2,辽宁省实验中学,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
东北地区,辽宁,沈阳市,辽宁省实验中学,2,辽宁省实验中学,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
东北地区,辽宁,本溪市,本溪市高级中学,3,本溪市高级中学,辽宁省 本溪市 平山区,省重点,公办,中学,辽宁省本溪市平山区东明路91号,0414-3286000,辽宁省,本溪市,平山区
东北地区,辽宁,大连市,大连市第二十四中学,4,大连市第二十四中学,辽宁省 大连市 中山区,省重点,公办,中学,辽宁省大连市中山区解放路217号,0411-39912434 0411-82307507,辽宁省,大连市,中山区
东北地区,辽宁,大连市,大连育明中学,5,大连育明高级中学,辽宁省 大连市 沙河口区,省重点,公办,中学,辽宁省大连市沙河口区杨树街70号,0411-84759193  0411-84759866 0411-8475,辽宁省,大连市,沙河口区
东北地区,吉林,长春市,东北师范大学附属中学,1,东北师范大学附属中学,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区
东北地区,吉林,长春市,吉林大学附属中学,2,吉林大学附属中学高中部,吉林省 长春市,省重点,公办,中学,吉林省长春市南关区解放大路3059号,0431-88499352,吉林省,长春市,
东北地区,吉林,吉林市,吉林市第一中学,3,吉林市第一中学（吉林一中）,吉林省 吉林市 船营区,省重点,公办,中学,吉林省吉林市船营区松江西路155号,0432-64826007,吉林省,吉林市,船营区
东北地区,吉林,长春市,长春市第十一中学,4,长春市第十一中学,吉林省 长春市 绿园区,普通,公办,中学,长春市绿园区景阳大路2666号,0431—87615586 学区范围：绿园区 地址：长春市绿园区景阳大路2666号,吉林省,长春市,绿园区
东北地区,吉林,延边市,延边第二中学,5,吉林省延边第二中学（延边二中）,吉林省 延边 延吉市,省重点,公办,中学,吉林省延边朝鲜族自治州延吉市,,吉林省,延边,延吉市
西南地区,重庆,沙坪坝区,重庆南开中学,1,重庆市南开中学,重庆市 沙坪坝区,全国重点,公办,中学,重庆市沙坪坝区沙南街一号,023-65312786,重庆市,重庆市,沙坪坝区
西南地区,重庆,渝中区,重庆巴蜀中学,2,重庆市巴蜀中学,重庆市 渝中区,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区
西南地区,重庆,北碚区,西南大学附属中学,3,西南大学附属中学（西大附中）,重庆市 北碚区,市重点,公办,中学,重庆市北碚区杜家街43号,023-68356002,重庆市,重庆市,北碚区
西南地区,重庆,沙坪坝区,重庆市第八中学,4,重庆市第八中学（重庆八中）,重庆市 沙坪坝区,市重点,公办,中学,重庆市沙坪坝区小龙坎正街96号,023-61703000,重庆市,重庆市,沙坪坝区
西南地区,重庆,沙坪坝区,重庆市第一中学,5,重庆市第一中学（重庆一中）,重庆市 沙坪坝区,市重点,公办,中学,重庆市沙坪坝区沙南街2号,023-65303495  65307121,重庆市,重庆市,沙坪坝区
西南地区,四川,成都市,成都市第七中学,1,成都市第七中学,四川省 成都市 高新区,省重点,公办,中学,四川省高新区剑南大道中段盛安街（高新校区）/林荫中街1号（林荫校区）,028-85483869  028-69152577,四川省,成都市,高新区
西南地区,四川,绵阳市,四川省绵阳中学,2,四川绵阳中学,四川省 绵阳市 涪城区,省重点,公办,中学,四川省绵阳市剑门路西段26号,0816-2366440,四川省,绵阳市,涪城区
西南地区,四川,成都市,成都外国语学校,3,成都外国语学校,四川省 成都市 高新区,省重点,民办,中学,成都市高新西区百草路东段35号,028-87820768、87822188,四川省,成都市,高新区
西南地区,四川,绵阳市,绵阳东辰国际学校,4,四川绵阳东辰国际学校（中学部）,四川省 绵阳市 ,市重点,民办,中学,四川省绵阳市科创园区,0816-2324410,四川省,绵阳市,
西南地区,四川,成都市,成都嘉祥外国语学校,5,成都七中嘉祥外国语学校（本部）,四川省 成都市 锦江区,市重点,民办,中学,成都市锦江区晨辉北路6号（金象花园背后）,028-85911236、85913229,四川省,成都市,锦江区
西南地区,贵州,贵阳市,贵阳市第一中学,1,贵阳市第一中学,贵州省 贵阳市 乌当区,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区
西南地区,贵州,兴义市,兴义市第八中学,2,兴义八中,贵州省 黔西南 兴义市,普通,公办,中学,贵州省黔西南布依族苗族自治州兴义市富民路188号,,贵州省,黔西南,兴义市
西南地区,贵州,贵阳市,贵阳市第三实验中学,3,贵阳市第三实验中学,贵州省 贵阳市 ,普通,公办,中学,贵阳市富水南路中山大厦B座,0851-8645477,贵州省,贵阳市,
西南地区,贵州,遵义市,遵义市第四中学,4,遵义市第四中学,贵州省 遵义市,省重点,公办,中学,贵州省遵义市红花岗区石龙路14号,0852-8223172,贵州省,遵义市,
西南地区,贵州,贵阳市,贵阳市清华中学,5,贵阳市清华中学,贵州省 贵阳市 花溪区,省重点,公办,中学,贵阳市花溪区清华路30号,0851-3851955,贵州省,贵阳市,花溪区
西南地区,云南,昆明市,云南师范大学附属中学,1,云南师范大学附属中学,云南省 昆明市 ,省重点,公办,中学,云南省昆明市高新开发区洪源路36号,0871-68312226  0871-68313609,云南省,昆明市,
西南地区,云南,曲靖市,曲靖市第一中学,2,曲靖一中,云南省 曲靖市 麒麟区,省重点,公办,中学,云南省曲靖市麒麟区内环东路86号,0874-3122416,云南省,曲靖市,麒麟区
西南地区,云南,玉溪市,玉溪市第一中学,3,云南省玉溪第一中学（玉溪一中）,云南省 玉溪市 ,省重点,公办,中学,云南省玉溪市太极路21号,0877-2024003  0877-8882095,云南省,玉溪市,
西南地区,云南,昆明市,昆明市第一中学,4,昆明市第一中学（昆明一中）,云南省 昆明市 五华区,省重点,公办,中学,云南省昆明市五华区西昌路233号,0871-5325970 15887078301,云南省,昆明市,五华区
西南地区,云南,昭通市,昭通市第一中学,5,云南省昭通市第一中学（昭通一中）,云南省 昭通市 昭阳区,省重点,公办,中学,云南省昭通市昭阳区学生路181号,0870-2168019,云南省,昭通市,昭阳区
西南地区,西藏,拉萨市,拉萨中学,1,,西藏 拉萨市 城关区,,,中学,西藏自治区拉萨林廓西路32号,0891-6824527,西藏,拉萨市,城关区
西南地区,西藏,拉萨市,拉萨北京中学,2,拉萨北京中学,西藏 拉萨市 城关区,省重点,公办,中学,西藏自治区拉萨城关区解放东路,,西藏,拉萨市,城关区
西南地区,西藏,拉萨市,拉萨市第一高级中学,3,,西藏 拉萨市 城关区,,,中学,西藏自治区拉萨市城关区林廓东路21号,(0891)6332917,西藏,拉萨市,城关区
