序号,学校名,位置,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
1,包玉刚实验学校,上海市 松江区,普通,民办,中学,上海市松江区三新北路,（021）61671999,上海市,上海市,松江区
2,深圳国际交流学院,,,,中学,深圳市福田区安托山六路3号,,广东省,深圳市,福田区
3,北京顺义国际学校,北京市 顺义区,普通,民办,中学,北京市顺义区安华街10号,010-80413032,北京市,北京市,顺义区
4,北京市鼎石学校,,,私立,中学,北京市顺义区后沙峪镇安富街11号,,北京市,北京市,顺义区
5,上海民办平和学校,上海市 浦东新区,市重点,民办,中学,上海市浦东新区黄杨路261号,021-50312340,上海市,上海市,浦东新区
6,华南师范大学附属中学国际部,,,公立,中学,广东省广州市天河区中山大道西1号华师附中,,广东省,广州市,天河区
7,人大附中中外合作办学项目（ICC）,,,公立,中学,北京市海淀区中关村大街37号,010-62512094 62515003,北京市,北京市,海淀区
8,北京市海嘉双语学校,,,,中学,顺义区后沙峪峪民大街5号,,北京市,北京市,顺义区
9,北京京西国际学校,北京市 朝阳区,普通,民办,中学,北京市朝阳区阜通东大街10号,010-84564155,北京市,北京市,朝阳区
10,上海市世界外国语中学（世外中学）,上海市 徐汇区,市重点,民办,中学,上海市徐汇区虹漕南路602号,021-54198567,上海市,上海市,徐汇区
