序号,地区,学校名,位置,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
1,广东,华南师范大学附属中学,广东省 广州市 天河区,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区
2,广东,深圳中学,广东省 深圳市 罗湖区,省重点,公办,中学,广东省深圳市罗湖区人民北路深中街18号,0755-82222572,广东省,深圳市,罗湖区
3,广东,广东实验中学,广东省 广州市 越秀区,省重点,公办,中学,广州市越秀区中山四路51号　,（020）83810947、83818022,广东省,广州市,越秀区
4,广东,汕头市金山中学,广东省 汕头市 濠江区,省重点,公办,中学,广东省汕头市石海关顶,0754-87374368,广东省,汕头市,濠江区
5,广东,广东广雅中学,广东省 广州市 荔湾区,省重点,公办,中学,广东省广州市荔湾区西湾路1号,020-81261232,广东省,广州市,荔湾区
6,广东,广州市执信中学,广东省 广州市 越秀区,省重点,公办,中学,广州市越秀区执信南路152号,020-87778382,广东省,广州市,越秀区
7,广东,中山纪念中学,广东省 中山市,省重点,公办,中学,广东省中山市南朗镇翠亨村正街,0760-85501869,广东省,中山市,
8,广东,深圳外国语学校,广东省 深圳市 福田区,省重点,公办,中学,广东省深圳市福田区红荔路2005号,0755-83354153  0755-25282036,广东省,深圳市,福田区
9,广东,汕头市潮阳实验学校,广东省 汕头市 潮阳区,省重点,民办,中学,广东省汕头市潮阳区棉北街道城北四路东段,0754-88726528 88722222,广东省,汕头市,潮阳区
10,广东,深圳实验学校,广东省 深圳市 南山区,省重点,公办,中学,广东省深圳市南山区西丽街道同发路99号,0755-83361223,广东省,深圳市,南山区
11,河南,郑州外国语学校,河南省 郑州市 高新区,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区
12,河南,郑州市第一中学,河南省 郑州市 中原区,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区
13,河南,河南省实验中学,河南省 郑州市 金水区,省重点,公办,中学,河南省郑州市金水区农业路10号（河南博物院西200米）,0371-63943667,河南省,郑州市,金水区
14,河南,邯郸县第一高级中学,河北省 邯郸市 邯郸县,市重点,公办,中学,河北省邯郸市邯郸县雪驰路96号,0310-8015396,河北省,邯郸市,邯郸县
15,河南,南阳市第一中学,河南省 南阳市,省重点,公办,中学,河南省南阳市建设东路1366号,0377-63035139,河南省,南阳市,
16,河南,河南省开封高级中学,河南省 开封市,省重点,公办,中学,河南省开封铁路北沿街223号,0378-5951776,河南省,开封市,
17,河南,安阳市第一中学,河南省 安阳市,省重点,公办,中学,河南省安阳市文明大道327号,0372-2988976,河南省,安阳市,
18,河南,林州市第一中学,河南省 安阳市 林州市,省重点,公办,中学,河南省安阳市林州市龙山路中路35号,0372-6811510,河南省,安阳市,林州市
19,河南,河南师范大学附属中学,河南省 新乡市,省重点,公办,中学,河南省新乡市建设路164号,0373-3383049,河南省,新乡市,
20,河南,河南省信阳高级中学,河南省 信阳市 狮河区,省重点,公办,中学,河南省信阳市浉河区文化街6号,0376-6682186,河南省,信阳市,狮河区
21,天津,天津市第一中学,天津市 和平区,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区
22,天津,天津市南开中学,天津市 南开区,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区
23,天津,天津市耀华中学,天津市 和平区,全国重点,公办,中学,天津市和平区南京路106号,022-23394521,天津市,天津市,和平区
24,天津,天津市杨村一中,天津市 武清区,市重点,公办,中学,天津市武清新城南东路282号,022－59689168  82171242,天津市,天津市,武清区
25,天津,天津市新华中学,天津市 河西区,全国重点,公办,中学,天津市河西区马场道99号,022-23288278,天津市,天津市,河西区
26,天津,天津实验中学,天津市 河西区,全国重点,公办,中学,天津市河西区平山道1号,022-23358689,天津市,天津市,河西区
27,天津,天津市第四中学,天津市 河西区,市重点,公办,中学,天津市河西区隆昌路11号,022-28323157,天津市,天津市,河西区
28,天津,天津市第十二中学,,,,,常德道58号,,天津市,天津市,
29,天津,天津市宝坻区第一中学,天津市 宝坻区,市重点,公办,中学,天津市宝坻区海滨街北城路东段1号,022-29228996,天津市,天津市,宝坻区
30,天津,天津市静海区第一中学,天津市 静海区,市重点,公办,中学,天津市静海县地纬路中段,022-68600800,天津市,天津市,静海区
31,云南,云南师范大学附属中学,云南省 昆明市 ,省重点,公办,中学,云南省昆明市高新开发区洪源路36号,0871-68312226  0871-68313609,云南省,昆明市,
32,云南,曲靖市第一中学,云南省 曲靖市 麒麟区,省重点,公办,中学,云南省曲靖市麒麟区内环东路86号,0874-3122416,云南省,曲靖市,麒麟区
33,云南,昆明市第一中学,云南省 昆明市 五华区,省重点,公办,中学,云南省昆明市五华区西昌路233号,0871-5325970 15887078301,云南省,昆明市,五华区
34,云南,玉溪市第一中学,云南省 玉溪市 ,省重点,公办,中学,云南省玉溪市太极路21号,0877-2024003  0877-8882095,云南省,玉溪市,
35,云南,昆明市第三中学,云南省 昆明市,省重点,公办,中学,云南昆明市书林街131号,（0871）3103131,云南省,昆明市,
36,云南,大理市下关第一中学,云南省 大理 大理市,省重点,公办,中学,云南省大理市下关龙溪路69号,0872—2121847,云南省,大理,大理市
37,云南,昭通市第一中学,云南省 昭通市 昭阳区,省重点,公办,中学,云南省昭通市昭阳区学生路181号,0870-2168019,云南省,昭通市,昭阳区
38,云南,腾冲市第一中学,云南省 保山市 腾冲县,省重点,公办,中学,云南省腾冲县腾越镇山源社区沙家巷小区1号,0875-5131137,云南省,保山市,腾冲县
39,云南,云天化中学,云南省 昭通市 水富县,省重点,民办,中学,云南省昭通市水富县,0870-8667010,云南省,昭通市,水富县
40,云南,临沧市第一中学,云南省 临沧市,省重点,公办,中学,云南省临沧市灵山路1号,0883-2123988,云南省,临沧市,
41,重庆,重庆南开中学,重庆市 沙坪坝区,全国重点,公办,中学,重庆市沙坪坝区沙南街一号,023-65312786,重庆市,重庆市,沙坪坝区
