地区,学校名称,搜学网名称,地域,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
安徽省,合肥市第一中学,合肥市第一中学,安徽省 合肥市 包河区,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区
安徽省,马鞍山第二中学,马鞍山市第二中学（马鞍山二中）,安徽省 马鞍山市 花山区,省重点,公办,中学,安徽省马鞍山市花山区健康路2号,0555--8331030,安徽省,马鞍山市,花山区
安徽省,安徽省六安第一中学,安徽省六安第一中学（六安一中）,安徽省 六安市 裕安区,省重点,公办,中学,安徽省六安市解放北路55号,0564-3387519,安徽省,六安市,裕安区
安徽省,安徽省安庆第一中学,安徽省安庆市第一中学（安庆一中）,安徽省 安庆市 大观区,省重点,公办,中学,安徽省安庆市大观区龙门口街38号,0556－5513669,安徽省,安庆市,大观区
安徽省,合肥一六八中学,合肥市一六八中学,安徽省 合肥市 蜀山区,省重点,民办,中学,合肥市经济技术开发区始信路179号/（东校区）淮海大道与新蚌埠路交叉口,0551-3803905,安徽省,合肥市,蜀山区
安徽省,合肥市第八中学,合肥市第八中学,安徽省 合肥市 蜀山区,省重点,公办,中学,（老校区）合肥市中心桐城北路173号/（新校区）合肥政务区习友路1688号,0551-2672148,安徽省,合肥市,蜀山区
安徽省,安徽省淮北市第一中学,安徽省淮北市第一中学（淮北一中）,安徽省 淮北市 相山区,省重点,公办,中学,安徽省淮北市相山区石城路30号,0561-3024962,安徽省,淮北市,相山区
安徽省,芜湖市第一中学,安徽省芜湖市第一中学（芜湖一中）,安徽省 芜湖市 鸠江区,省重点,公办,中学,安徽省芜湖市黄山路146号,0553-3830606 3839820,安徽省,芜湖市,鸠江区
安徽省,铜陵市第一中学,安徽省铜陵市第一中学（铜陵一中）,安徽省 铜陵市,市重点,公办,中学,安徽省铜陵市学院路601号,0562-2808369,安徽省,铜陵市,
安徽省,安徽师范大学附属中学,安徽师范大学附属中学,安徽省 芜湖市,省重点,公办,中学,安徽省芜湖市银湖南路135号,0553-3832205,安徽省,芜湖市,
北京市,中国人民大学附属中学,中国人民大学附属中学（人大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区
北京市,北京市第四中学,北京市第四中学,北京市 西城区,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区
北京市,北京师范大学附属中学,北京师范大学附属中学,北京市 西城区,省重点,公办,中学,北京市西城区南新华街18号,010-63014680-207,北京市,北京市,西城区
北京市,北京大学附属中学,北京大学附属中学（北大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区黄庄北大附中,010-62555594,北京市,北京市,海淀区
北京市,清华大学附属中学,清华大学附属中学,北京市 海淀区,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区
北京市,北京市十一中学,北京十一中学,北京市 东城区,区重点,公办,中学,北京市崇文区东晓市街101号,010-67016089,北京市,北京市,东城区
北京市,中央民族大学附属中学,中央民族大学附属中学,北京市 海淀区,市重点,公办,中学,北京市海淀区法华寺甲5号,010-68938228,北京市,北京市,海淀区
北京市,北京师范大学第二附属中学,北师大二附中,北京市 西城区,市重点,公办,中学,北京市西城区新街口外大街12号,010-62042244,北京市,北京市,西城区
北京市,北京市第五中学,北京市第五中学（北京五中）,北京市 东城区,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区
北京市,北京市第二中学,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
福建省,福州第一中学,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
福建省,福建省厦门双十中学,厦门市双十中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区
福建省,福建省厦门第一中学,厦门市第一中学高中（厦门一中高中）,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市思明区文园路93号,0592-2021908,福建省,厦门市,思明区
福建省,厦门外国语学校,厦门外国语学校,福建省 厦门市 思明区,省重点,公办,中学,（初中部）厦门市思明区湖滨北路88号/（高中部）海沧区嵩屿路89号,0592-5110967（8063273）,福建省,厦门市,思明区
福建省,福建省莆田第一中学,莆田第一中学（莆田一中）,福建省 莆田市 城厢区,省重点,公办,中学,福建省莆田市城厢区东大路217号,0594－2631666,福建省,莆田市,城厢区
福建省,泉州市第五中学,泉州五中,福建省 泉州市,普通,公办,中学,福建省泉州市桂坛巷49号,,福建省,泉州市,
福建省,福建师范大学附属中学,福建师范大学附属中学（福建师大附中）,福建省 福州市 仓山区,省重点,公办,中学,福建省福州市仓山区对湖路15号,0591-83472889,福建省,福州市,仓山区
福建省,福州第三中学,福州三中,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市湖东路43号,0591-83594454,福建省,福州市,鼓楼区
福建省,福建省漳州第一中学,漳州市第一中学（漳州一中）,福建省 漳州市 芗城区,省重点,公办,中学,福建省漳州市芗城区芝山南麓,0596-2022008,福建省,漳州市,芗城区
福建省,福建省龙岩第一中学,龙岩一中,福建省 龙岩市 新罗区,普通,公办,中学,福建省龙岩市新罗区和平路40号（364000）,0597-2290302,福建省,龙岩市,新罗区
