学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,开设专业
安徽亳州新能源学校,安徽,亳州市,利辛县,中等专业学校,公办,安徽亳州市利辛县,--,0558-8869158,--,2014,162,--,利辛县城关镇高新路西段,--,,,,,,,,"{'农业类': ['农机设备应用与维修', '作物生产技术'], '林业类': ['园林技术'], '电力技术类': ['发电厂及变电站运行与维护'], '新能源发电工程类': ['光伏工程技术与应用'], '建筑设计类': ['建筑装饰技术'], '机械设计制造类': ['数控技术应用'], '机电设备类': ['光电仪器制造与维修'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '汽车制造类': ['汽车制造与检测'], '纺织服装类': ['纺织技术与服务', '服装制作与生产管理']}"
安徽电气工程学校,安徽,合肥市,蜀山区,中等专业学校,公办,安徽合肥市蜀山区,http://www.ahdqxx.cn,0551-65568772,--,1956,160,--,安徽省合肥市长江西路539号,--,,是,,,,,,"{'农业类': ['农机设备应用与维修'], '机械设计制造类': ['数控技术应用'], '自动化类': ['电气设备运行与控制', '机电技术应用', '工业机器人技术应用'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车美容与装潢', '新能源汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子技术应用', '物联网技术应用'], '计算机类': ['计算机网络技术'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销']}"
安徽合肥当代职业学校,安徽,合肥市,长丰县,中等专业学校,民办,安徽合肥市长丰县,http://www.ahhfddxx.com/,0551-65565086,--,1986,300,--,本部地址：合肥市新站区新蚌埠路和魏武路交口,--,,,是,,,,,"{'机械设计制造类': ['数控技术应用'], '汽车制造类': ['汽车制造与检测'], '航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '旅游类': ['高星级饭店运营与管理'], '艺术设计类': ['美发与形象设计'], '文化服务类': ['社会文化艺术']}"
安徽合肥信息工程学校,安徽,合肥市,肥西县,中等专业学校,民办,安徽合肥市肥西县,http://www.ahhfxx.cn/index.php/,0551-62756766,3402055928@qq.com,--,--,--,安徽省合肥市紫蓬山风景区森林大道三号,--,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '艺术设计类': ['艺术设计与制作'], '文化服务类': ['社会文化艺术']}"
安徽红十字会卫生学校,安徽,合肥市,肥东县,中等专业学校,民办,安徽合肥市肥东县,http://www.hszwx.com,0551-63830199,--,1988,350,安徽省红十字会,合肥市合马路东华大道100号,--,,,是,是,,,,"{'护理类': ['护理'], '药学类': ['药剂'], '医学技术类': ['医学影像技术'], '康复治疗类': ['康复技术'], '艺术设计类': ['美容美体艺术']}"
安徽华夏旅游学校,安徽,合肥市,肥东县,中等专业学校,民办,安徽合肥市肥东县,http://www.hxlyxx.com.cn,0551-67321966,--,1997,150,--,安徽省合肥市东门龙塘合马路50号,--,,,是,,,,,"{'农业类': ['休闲农业生产与经营'], '自动化类': ['机电技术应用'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机平面设计'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['导游服务', '高星级饭店运营与管理', '旅游服务与管理', '会展服务与管理'], '文化服务类': ['社会文化艺术']}"
安徽机电工程学校,安徽,滁州市,凤阳县,中等专业学校,公办,安徽滁州市凤阳县,https://www.ahees.com,0550-6367168,--,1961,100,滁州市人民政府,凤阳县长春路5号(蚌埠东郊),--,,是,,,,,,"{'农业类': ['农村电气技术', '农机设备应用与维修', '作物生产技术'], '畜牧业类': ['畜禽生产技术'], '建筑材料类': ['建筑材料智能生产技术'], '机械设计制造类': ['模具制造技术', '数控技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '汽车制造类': ['新能源汽车制造与检测', '汽车制造与检测'], '道路运输类': ['汽车美容与装潢'], '计算机类': ['计算机网络技术', '计算机应用'], '财务会计类': ['会计事务'], '旅游类': ['高星级饭店运营与管理', '导游服务']}"
安徽交通技术学校,安徽,池州市,贵池区,中等专业学校,公办,安徽池州市贵池区,--,0566-2748017,--,1981,78,--,池州市教育园区牧之路89号,--,,,是,,,,,"{'农业类': ['作物生产技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务']}"
安徽经济贸易学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.ahjm.net,0551-65157488,--,1994,--,--,合肥市蜀山区霍山路82号合肥市瑶海区九顶山路68号,--,,,,,,,,"{'土建施工类': ['建筑工程施工'], '房地产类': ['房地产营销'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '纺织服装类': ['服装设计与工艺'], '城市轨道交通类': ['城市轨道交通运营服务'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销', '连锁经营与管理'], '电子商务类': ['电子商务']}"
安徽旅游学校,安徽,合肥市,蜀山区,中等专业学校,公办,安徽合肥市蜀山区,--,0551-65577700,--,--,33,安徽省旅游局,合肥市望江西路169号,--,,,是,,,,,"{'航空运输类': ['航空服务'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理', '高星级饭店运营与管理'], '语言类': ['旅游外语']}"
安徽明珠学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.mzedu.net,0551-63851255,--,1998,65,--,合肥市经开区耕云路17号,--,,,,,,,,"{'电子商务类': ['电子商务'], '表演艺术类': ['舞蹈表演'], '文化服务类': ['社会文化艺术'], '公共服务类': ['老年人服务与管理']}"
安徽生物工程学校,安徽,合肥市,庐阳区,中等专业学校,公办,安徽合肥市庐阳区,--,0551-65146430,--,1986,--,安徽省农业农村厅,安徽省合肥市农科南路48号,--,,,,,,,,"{'农业类': ['农产品贮藏与加工'], '畜牧业类': ['宠物养护与经营', '畜禽生产技术'], '渔业类': ['淡水养殖'], '自动化类': ['机电技术应用'], '电子信息类': ['物联网技术应用'], '计算机类': ['计算机应用'], '中医药类': ['中药制药'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理']}"
安徽省淮北卫生学校,安徽,淮北市,濉溪县,中等专业学校,公办,安徽淮北市濉溪县,http://www.hbwx.ah.cn,0561-6062754,hbwxzsb@126.com,1958,130,--,安徽省淮北市濉溪县濉河中路,--,,是,,,,,,"{'食品类': ['食品加工工艺'], '药品与医疗器械类': ['医疗器械维修与营销'], '护理类': ['护理'], '药学类': ['药剂'], '中医药类': ['中药', '中医康复技术'], '医学技术类': ['医学影像技术', '医学检验技术', '口腔修复工艺'], '康复治疗类': ['康复技术']}"
安徽省淮南卫生学校,安徽,淮南市,田家庵区,中等专业学校,公办,安徽淮南市田家庵区,http://www.ahhnwx.com.cn,0554-3311793,--,1958,192,安徽省卫生厅,淮南市田家庵区国庆东路1号,--,,是,,,,,,"{'护理类': ['护理'], '药学类': ['药剂'], '医学技术类': ['医学影像技术', '医学检验技术', '口腔修复工艺'], '康复治疗类': ['康复技术'], '健康管理与促进类': ['婴幼儿托育'], '眼视光类': ['眼视光与配镜']}"
安徽省霍邱师范学校,安徽,六安市,霍邱县,中等专业学校,公办,安徽六安市霍邱县,http://www.ahhqsf.cn/,0564-6070312,--,--,--,--,安徽省霍邱县城关镇烈士塔东,--,,,,,,,,{'教育类': ['幼儿保育']}
安徽省马鞍山工业学校,安徽,马鞍山市,雨山区,中等专业学校,公办,安徽马鞍山市雨山区,http://www.masgyxx.com,0555-3105020,--,1991,112,马鞍山市教育局,马鞍山市雨山区向山镇西山村88号,--,是,是,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械制造技术', '模具制造技术', '数控技术应用'], '机电设备类': ['智能设备运行与维护'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '水上运输类': ['港口机械运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子信息技术'], '计算机类': ['计算机应用', '数字媒体技术应用']}"
安徽省桐城中华职业学校,安徽,安庆市,桐城市,中等专业学校,民办,安徽安庆市桐城市,http://www.ahtczhzx.com/,0556-6187508,--,1993,108,--,安庆市桐城市龙眠街道同康路18号,--,,,是,,,,,"{'自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '计算机类': ['计算机平面设计', '计算机应用'], '财务会计类': ['会计事务'], '艺术设计类': ['首饰设计与制作'], '文化服务类': ['社会文化艺术'], '教育类': ['幼儿保育'], '公共服务类': ['智慧健康养老服务']}"
安徽天柱山旅游学校,安徽,安庆市,潜山县,中等专业学校,公办,安徽安庆市潜山县,http://tzslvyou.com,0556-8932039,--,1984,307,--,安徽省潜山市区舒州大道399号 ,--,,是,,,,,,"{'林业类': ['园林技术'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '药品与医疗器械类': ['制药技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '护理类': ['护理'], '财务会计类': ['会计事务'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育']}"
安徽新华学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.xhschool.cn/,0551-65872033,--,1997,--,--,合肥市望江西路555号,--,,是,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '自动化类': ['工业机器人技术应用', '机电技术应用'], '航空装备类': ['无人机操控与维护'], '汽车制造类': ['新能源汽车制造与检测'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子信息技术']}"
安徽兴鹏科技学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.ahxpxy.com,0551-64281666,--,1988,--,--,合肥市新站高新区东方大道2399号,--,,,是,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '文化服务类': ['社会文化艺术']}"
安徽玉成汽车职业学校,安徽,铜陵市,郊区,中等专业学校,民办,安徽铜陵市郊区,http://www.ahycqcedu.com/,0562-2621028,--,2008,320,--,铜陵市郊区横港滨江大道南段1259号,--,,,,,,,,"{'林业类': ['园林技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械加工技术'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车美容与装潢', '汽车服务与营销', '汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['跨境电子商务'], '旅游类': ['旅游服务与管理']}"
安庆大别山科技学校,安徽,安庆市,岳西县,中等专业学校,公办,安徽安庆市岳西县,http://www.ahyxzj.com,0556-2172982,--,2007,251,--,安庆市岳西县天堂西路58号,--,,,是,,,,,"{'农业类': ['茶叶生产与加工', '作物生产技术'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '文化服务类': ['社会文化艺术'], '文秘类': ['文秘']}"
安庆工业学校,安徽,安庆市,宜秀区,中等专业学校,公办,安徽安庆市宜秀区,http://www.aqgyedu.com,0556-5055955,aqgyxx@163.com,1962,134,安庆市教育体育局,安庆市宜秀区集贤北路394号,--,是,是,,,,,,"{'机械设计制造类': ['数控技术应用'], '计算机类': ['计算机应用', '计算机网络技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '文化服务类': ['社会文化艺术'], '教育类': ['幼儿保育'], '文秘类': ['文秘']}"
