学校名称,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置,官网,经度,纬度
中国人民大学附属中学,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区,http://www.rdfz.cn,116.435765,39.985886
河北衡水中学,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区,http://www.hbhz.net,115.711145,37.716063
上海中学,全国重点,公办,中学,上海市百色路989号（南大门：上中路400号）,021-64100430 64554819,上海市,上海市,闵行区,http://www.shs.sh.cn,121.436451,31.139607
北京第四中学,市重点,公办,中学,京市西城区西黄城根北街甲2号（近北大医院）,010-66175566,北京市,北京市,西城区,http://mysz.miyunedu.net,116.385713,39.932262
长沙市长郡中学,省重点,公办,中学,长沙市黄兴南路309号,0731-5815387  邮编：410002　地址：长沙市黄兴南路309号,湖南省,长沙市,,,112.975043,28.185704
华中师范大学第一附属中学,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027—87920883,湖北省,武汉市,东西湖区,http://www.hzsdyfz.com.cn/,114.391343,30.453598
华中师范大学第二附属中学,,,,卓刀泉路２８１号,(027)87803709,湖北省武汉市,武汉市,,,114.359297,30.519408
北京师范大学附属实验中学,市重点,公办,中学,北京市西城区二龙路甲14号,010-66036431,北京市,北京市,西城区,https://www.sdsz.com.cn/,116.369004,39.911235
北京大学附属中学,全国重点,公办,中学,北京市海淀区黄庄北大附中,010-62555594,北京市,北京市,海淀区,http://www.pkuschool.edu.cn,116.320383,39.978187
东北师范大学附属中学,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区,http://www.msannu.cn/,125.314623,43.870722
北京市十一学校,市重点,公办,中学,北京市海淀区玉泉路66号,010-68272381,北京市,北京市,海淀区,http://www.bjshiyi.org.cn,115.966768,40.460883
长沙市雅礼中学,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区,http://www.yali.hn.cn/yalinew,112.989789,28.168513
石家庄第二中学,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区,http://www.sjzez.com,114.478962,38.052704
清华大学附属中学,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区,https://www.qhfz.edu.cn/,116.320872,40.009174
北京师范大学附属第二中学,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区,http://www.shsbnu.net/cms/832/sdmh/index.shtml,116.364139,39.962637
中央民族大学附属中学,市重点,公办,中学,北京市海淀区法华寺甲5号,010-68938228,北京市,北京市,海淀区,http://www.mdfz.com.cn,116.316791,39.951212
西北工业大学附属中学,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区,http://www.xgdfz.com/,108.916279,34.240632
成都市第七中学,省重点,公办,中学,四川省高新区剑南大道中段盛安街（高新校区）/林荫中街1号（林荫校区）,028-85483869  028-69152577,四川省,成都市,高新区,http://www.cdqz.net/,104.074929,30.635495
郑州外国语学校,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区,http://www.zzfls.com.cn/websites/index.jsp,113.562461,34.815535
湖南师范大学附属中学,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区,https://www.hnsdfz.org/,112.951333,28.1841
西安高新第一中学,省重点,民办,中学,陕西省西安市高新区唐延路23号（西安海关南侧）,029-88323755,陕西省,西安市,高新区,,108.881399,34.178121
浙江省镇海中学,省重点,公办,中学,浙江省宁波市镇海区鼓楼东路32号,0574-86272378,浙江省,宁波市,镇海区,http://www.zhzx.net.cn,121.719749,29.954414
山西大学附属中学,省重点,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区,http://www.sxdxfz.cn,112.582433,37.814119
重庆巴蜀中学,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区,http://www.bashu.com.cn,106.563296,29.598914
浙江省杭州市第二中学,省重点,公办,中学,杭州市建国中路36号,0571-87072869,浙江省,杭州市,上城区,http://www.hz2hs.cn/,120.180828,30.249917
重庆南开中学,全国重点,公办,中学,重庆市沙坪坝区沙南街一号,023-65312786,重庆市,重庆市,沙坪坝区,http://www.nks.edu.cn/page1.html,106.462094,29.561263
四川绵阳中学,省重点,公办,中学,四川省绵阳市剑门路西段26号,0816-2366440,四川省,绵阳市,涪城区,,104.725718,31.46367
武汉市第二中学,省重点,公办,中学,武汉市中山大道1469号,027-83801823,湖北省,武汉市,江岸区,http://www.whez.com.cn/,114.308393,30.606368
