字段名,字段含义,字段类型,可能取值或数据示例
学校名称,学校名称,string,广西中远职业学院
省份,学校所在省份,string,广西
城市,学校所在城市,string,玉林市
区县,学校所在区县,string,黄浦区
办学类型,学校的办学类型,string,中等专业学校，职业高中，特殊教育，技工院校
办学性质,学校的办学性质,string,公办，民办
官方地址,学校的官方地址,string,辽宁沈阳市
官方网址,学校的官方网址,string,http://www.znkjcj.com/
官方电话,学校的官方电话,string,0851-86460031
电子邮箱,学校的电子邮箱,string,llsnyxx@163.com
创建时间,学校的创建时间（年）,int,1983
占地面积(亩),学校的占地面积（亩）,int,63
隶属于,学校的主管部门,string,广东省教育厅
学校地址,学校地址,string,吉林市高新北区科技大道中段
学历证书,学校颁发的学历证书,string,中专毕业证
国家级示范学校,学校是否为国家级示范学校,string,是
国家级重点学校,学校是否为国家级重点学校,string,是
省级示范学校,学校是否为省级示范学校,string,是
省级重点学校,学校是否为省级重点学校,string,是
市级重点学校,学校是否为市级重点学校,string,是
省级高水平中等职业学校,学校是否为省级高水平中等职业学校,string,是
市级示范学校,学校是否为市级示范学校,string,是
开设专业,学校开设的专业,dict,"{'护理类': ['护理'], '药学类': ['药剂'], '中医药类': ['中医康复技术'], '医学技术类': ['医学检验技术']}"
