学校名称,省市,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
西北师大附中,甘肃,,,,,,,,,
江西科技学院附属中学,江西,,,,,,,,,
银川六中,宁夏,,,,,,,,,
厦门大学附属实验中学,福建,,,,,,,,,
平凉一中,甘肃,,,,,,,,,
江苏省海安高级中学,江苏,,,,,,,,,
山东省平邑第一中学,山东,,,,,,,,,
陇南市一中,甘肃,,,,,,,,,
莒县第一中学,山东,,,,,,,,,
香港培正中學,香港,,,,,,,,,
慈溪市上林初级中学教育集团,浙江,,,,,,,,,
鏡平學校中學部,澳门,,,,,,,,,
驻马店高级中学,河南,,,,,,,,,
濠江中學,澳门,,,,,,,,,
乌兰浩特一中,内蒙古,,,,,,,,,
宁夏长庆高级中学,宁夏,,,,,,,,,
中卫中学,宁夏,,,,,,,,,
浙江省浦江中学,浙江,,,,,,,,,
重庆市巴川国际高级中学校,重庆,,,,,,,,,
重庆市树人中学校,重庆,,,,,,,,,
澳門勞工子弟舉校,澳门,,,,,,,,,
毕节市北大附校,贵州,,,,,,,,,
临高中学,海南,,,,,,,,,
江苏省通州高级中学,江苏,,,,,,,,,
大连市大开一中,辽宁,,,,,,,,,
通辽实验中学,内蒙古,,,,,,,,,
莒县文心高级中学,山东,,,,,,,,,
上海市市西中学,上海,,,,,,,,,
四川省广元外国语学校,四川,,,,,,,,,
林芝市二高,西藏,,,,,,,,,
喇沙書院,香港,,,,,,,,,
聖言中舉,香港,,,,,,,,,
嵊州中学,浙江,,,,,,,,,
浙江省诸暨市洸江教育集团洸江初中,浙江,,,,,,,,,
培正中舉,澳门,,,,,,,,,
漳州立人学校,福建,,,,,,,,,
佛山市南海外国语学校,广东,,,,,,,,,
海口山高高级实验中学,海南,,,,,,,,,
湖南省醴陵第一中学,湖南,,,,,,,,,
北师大集宁附中,内蒙古,,,,,,,,,
赤峰红旗中学,内蒙古,,,,,,,,,
赤峰林东一中,内蒙古,,,,,,,,,
赤峰平煤高中,内蒙古,,,,,,,,,
乌海一中,内蒙古,,,,,,,,,
西吉中学,宁夏,,,,,,,,,
大通二中,青海,,,,,,,,,
泰安市东平高级中学,山东,,,,,,,,,
三台中学实验学校,四川,,,,,,,,,
拉萨江苏实验中学,西藏,,,,,,,,,
安徽省马鞍山市花园初级中学,安徽,,,,,,,,,
安徽省无为第三中学,安徽,,,,,,,,,
滁州市新航高中,安徽,,,,,,,,,
阜阳市成效中学,安徽,,,,,,,,,
马鞍山市含山中学,安徽,,,,,,,,,
宁国中学,安徽,,,,,,,,,
濠江中学,澳门,,,,,,,,,
劳工子弟学校,澳门,,,,,,,,,
培道中学,澳门,,,,,,,,,
聖保祿學校,澳门,,,,,,,,,
北京市鼎石学校,北京,,,,,,,,,
福建省南安国光中学,福建,,,,,,,,,
福建省长乐市航城中学,福建,,,,,,,,,
石狮石光中学,福建,,,,,,,,,
甘谷一中,甘肃,,,,,,,,,
兰州三十五中,甘肃,,,,,,,,,
镇原中学,甘肃,,,,,,,,,
毕节清华国中,贵州,,,,,,,,,
岑巩一中,贵州,,,,,,,,,
贵阳乐湾国际实验学校,贵州,,,,,,,,,
贵州省贵定县贵定中学,贵州,,,,,,,,,
贵州省黎平县第一民族中学,贵州,,,,,,,,,
贵州省瓮安中学,贵州,,,,,,,,,
剑河民族中学,贵州,,,,,,,,,
黔南布依族苗族自治州都匀第二中学,贵州,,,,,,,,,
仁怀一中,贵州,,,,,,,,,
华中师大一附中屯昌思源实验中学,海南,,,,,,,,,
三门峡外国语高级中学,河南,,,,,,,,,
睢县高级中学,河南,,,,,,,,,
淅川县一高,河南,,,,,,,,,
柘城第二高级中学,河南,,,,,,,,,
郑州市明新中学,河南,,,,,,,,,
周口扶沟县高中,河南,,,,,,,,,
大庆外国语学校,黑龙江,,,,,,,,,
哈尔滨顺迈学校,黑龙江,,,,,,,,,
湖北11中,湖北,,,,,,,,,
仙桃第一中学,湖北,,,,,,,,,
湖南省常德芷兰实验学校,湖南,,,,,,,,,
湖南师大第二附属中学,湖南,,,,,,,,,
澧县澧阳中学,湖南,,,,,,,,,
白城一中,吉林,,,,,,,,,
常州市戚墅堰高级中学,江苏,,,,,,,,,
江苏省高邮中学,江苏,,,,,,,,,
江苏省海州高级中学,江苏,,,,,,,,,
盐城市大丰区买验初级中学,江苏,,,,,,,,,
赣州市文清外国语学校,江西,,,,,,,,,
石城中学,江西,,,,,,,,,
