学校名称,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置,官网
中国人民大学附属中学,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区,http://www.rdfz.cn
河北衡水中学,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区,http://www.hbhz.net
长沙市长郡中学,省重点,公办,中学,长沙市黄兴南路309号,0731-5815387  邮编：410002　地址：长沙市黄兴南路309号,湖南省,长沙市,,http://www.changjun.com.cn/
华中师范大学第一附属中学,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027—87920883,湖北省,武汉市,东西湖区,http://www.hzsdyfz.com.cn/
华中师范大学第二附属中学,,,,卓刀泉路２８１号,(027)87803709,湖北省武汉市,武汉市,,
北京师范大学附属实验中学,市重点,公办,中学,北京市西城区二龙路甲14号,010-66036431,北京市,北京市,西城区,https://www.sdsz.com.cn/
东北师范大学附属中学,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区,http://www.msannu.cn/
北京市十一学校,市重点,公办,中学,北京市海淀区玉泉路66号,010-68272381,北京市,北京市,海淀区,http://www.bjshiyi.org.cn
长沙市雅礼中学,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区,http://www.yali.hn.cn/yalinew
清华大学附属中学,全国重点,公办,中学,北京市海淀区圆明园东路,010-62789541,北京市,北京市,海淀区,https://www.qhfz.edu.cn/
北京师范大学附属第二中学,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区,http://www.shsbnu.net/cms/832/sdmh/index.shtml
中央民族大学附属中学,市重点,公办,中学,北京市海淀区法华寺甲5号,010-68938228,北京市,北京市,海淀区,http://www.mdfz.com.cn
西北工业大学附属中学,省重点,公办,中学,陕西省西安市碑林区友谊西路127号,029 - 88492401 029 - 88494872,陕西省,西安市,碑林区,http://www.xgdfz.com/
成都市第七中学,省重点,公办,中学,四川省高新区剑南大道中段盛安街（高新校区）/林荫中街1号（林荫校区）,028-85483869  028-69152577,四川省,成都市,高新区,http://www.cdqz.net/
湖南师范大学附属中学,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区,https://www.hnsdfz.org/
西安高新第一中学,省重点,民办,中学,陕西省西安市高新区唐延路23号（西安海关南侧）,029-88323755,陕西省,西安市,高新区,http://www.gxyzh.com/
浙江省镇海中学,省重点,公办,中学,浙江省宁波市镇海区鼓楼东路32号,0574-86272378,浙江省,宁波市,镇海区,http://www.zhzx.net.cn
浙江省杭州市第二中学,省重点,公办,中学,杭州市建国中路36号,0571-87072869,浙江省,杭州市,上城区,http://www.hz2hs.cn/
四川绵阳中学,省重点,公办,中学,四川省绵阳市剑门路西段26号,0816-2366440,四川省,绵阳市,涪城区,http://www.scmyzx.com.cn
武汉市第二中学,省重点,公办,中学,武汉市中山大道1469号,027-83801823,湖北省,武汉市,江岸区,http://www.whez.com.cn/
大连市第二十四中学,省重点,公办,中学,辽宁省大连市中山区解放路217号,0411-39912434 0411-82307507,辽宁省,大连市,中山区,https://www.dlhs24.com.cn/
北京市第五中学,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区,
西安市铁一中学,省重点,公办,中学,陕西省西安市友谊东路120号,029-82327079  029-82328008,陕西省,西安市,碑林区,http://www.xatyz.com/
复旦大学附属中学,市重点,公办,中学,上海市杨浦区国权路383号,021-65640560,上海市,上海市,杨浦区,www.fdfz.cn/index.aspx
北京市第八中学,市重点,公办,中学,北京市西城区学院小街2号,010-66034661,北京市,北京市,西城区,https://www.no8ms.bj.cn/
北京市第二中学,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区,http://www.bjn2ms.net
首都师范大学附属中学,市重点,公办,中学,北京市海淀区北洼路33号,（010）68454176,北京市,北京市,海淀区,https://www.cnuhs.cn/
东北育才中学,省重点,公办,中学,辽宁省沈阳市和平区南一马路100号,024-23783945,辽宁省,沈阳市,和平区,https://www.neyc.cn/
天津市第一中学,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区,http://tjyz.tj.edu.cn/
天津市耀华中学,全国重点,公办,中学,天津市和平区南京路106号,022-23394521,天津市,天津市,和平区,http://www.yaohua.org
