成员名称,成员大类
上海交运日红国际物流有限公司,企业
上港集团物流有限公司,企业
东方航空物流有限公司,企业
东方国际物流（集团）有限公司,企业
锦海捷亚国际货运有限公司,企业
上海世图物流有限公司,企业
上海徐大中汽车销售服务有限公司,企业
上海市交通运输行业协会,行业协会
上海市物流协会,行业协会
中国港口协会,行业协会
上海市国际货运代理行业协会,行业协会
上海市道路运输行业协会,行业协会
上海第二工业大学经济管理学院,院校
上海市宝山职业技术学校,院校
上海美华系统有限公司,企业
上海邦达隆飞物流有限公司,企业
上海市航空服务学校,院校
上海市第二轻工业学校,院校
上海立达职业技术学院,院校
上海市汽车维修行业协会,行业协会
上海市汽车修理有限公司,企业
上海云峰集团汽车产业发展有限公司,企业
上海东昌汽车投资有限公司,企业
上海市环境学校,院校
上海市客运轮船有限公司,企业
上海市浦江游览有限公司,企业
中海环球货运有限公司,企业
青海交通职业技术学院,院校
北京络捷斯特科技发展有限公司,企业
上海市群益职业技术学校,院校
上海市青浦区职业学校,院校
庞贝捷漆油贸易（上海）有限公司,企业
上海信息技术学校,院校
上海市奉贤中等专业学校,院校
上海市道路危险货物运输行业协会,行业协会
上海交通职业技术学院,院校
上海东海职业技术学院,院校
上海市交通学校,院校
上海石化工业学校,院校
上海市现代职业技术学校,院校
上海市公用事业学校,院校
上海海事大学附属职业技术学校,院校
上海市贸易学校,院校
上海市临港科技学校,院校
上海市现代流通学校,院校
上海市商贸旅游学校,院校
上海远恒电子工程有限公司,企业
远成集团有限公司,企业
上海邦德职业技术学院,院校
上海市城市科技学校,院校
上海科技管理学校,院校
上海思博职业技术学院,院校
上海畅联国际物流有限公司,企业
上海市汽车运输科学技术研究所,研究机构
上海幼狮高级轿车修理有限公司,企业
上海永达汽车集团有限公司,企业
上海行健职业学院,院校
上海市地方海事局,
上海市轮渡有限公司,企业
上海环境物流有限公司,企业
上海博世汽车职业技术培训学校,
宁夏交通学校,院校
上海市南湖职业学校,院校
上海市曹杨职业技术学校,院校
上海建桥学院,院校
上海睿朋程科技有限公司,企业
南通职业大学,院校
上海市工程技术管理学校,院校
