成员名称,成员大类,成员级别
上海商学院,,理事长单位
上海市商业学校,,理事长单位
上海市南湖职业学校,,理事长单位
百联集团有限公司,企业,理事长单位
东方国际（集团）有限公司,企业,理事长单位
喜达屋亚太酒店及度假酒店有限公司,企业,理事长单位
上海商业联合会,,理事长单位
上海东海职业技术学院,,理事长单位
上海市商贸旅游学校,,理事长单位
上海工商职业技术学院,学校,理事单位
上海商业会计学校,学校,理事单位
上海市工商外国语学校,学校,理事单位
上海市浦东外事服务学校,学校,理事单位
上海科技管理学校,学校,理事单位
上海市贸易学校,学校,理事单位
上海市工程技术管理学校,学校,理事单位
上海市现代职业技术学校,学校,理事单位
上海市西南工程学校,学校,理事单位
上海市机械工业学校,学校,理事单位
上海市现代流通学校,学校,理事单位
上海逸夫职校,学校,理事单位
上海杨浦职校,学校,理事单位
上海材料工程学校,学校,理事单位
上海市经济管理学校,学校,理事单位
上海震旦职业学院,学校,理事单位
上海市震旦中等专业学校,学校,理事单位
上海济光职业技术学院,学校,理事单位
上海市奉贤中等专业学校,学校,理事单位
上海市行政管理学校,学校,理事单位
上海工商信息学校,学校,理事单位
上海中侨职业技术学院,学校,理事单位
上海杉达学院,学校,理事单位
上海城建职业学院,学校,理事单位
上海市曹杨职业技术学校,学校,理事单位
上海市科学技术职业学院,学校,理事单位
上海市大众工业学校,学校,理事单位
上海市城市科技学校,学校,理事单位
上海远恒电子工程有限公司,企业,理事单位
农工商超市（集团）有限公司,企业,理事单位
上海豫园旅游商城股份有限公司,企业,理事单位
上海闵联园艺有限公司,企业,理事单位
海鼎信息工程股份有限公司,企业,理事单位
上海班尼路服饰有限公司,企业,理事单位
上海开开集团有限公司,企业,理事单位
上海虹桥喜来登太平洋大饭店,企业,理事单位
上海糖业烟酒（集团）有限公司,企业,理事单位
上海川崎食品有限公司,企业,理事单位
上海商业经济学会,企业,理事单位
上海商业杂志社,企业,理事单位
上海商界同仁协会,行业协会,理事单位
上海连锁经营协会,行业协会,理事单位
上海徐家汇商城集团电子商务有限公司,企业,理事单位
用友新道科技有限公司,企业,理事单位
上海经隆会计师事务所有限公司,企业,理事单位
立信会计出版社有限公司,企业,理事单位
上海世衡信息科技有限公司,企业,理事单位
上海会众极致广告有限公司,企业,理事单位
上海睿朋程科技有限公司,企业,理事单位
畅捷通信息技术股份有限公司,企业,理事单位
上海超星实业有限公司,企业,理事单位
