成员名称,成员类型,成员级别
上海化学工业区管理委员会,,常务理事单位
金山区政府办公室,,常务理事单位
金山区委研究室,,常务理事单位
金山区发展和改革委员会,,常务理事单位
金山区经济委员会,,常务理事单位
金山区教育局,,常务理事单位
金山区科学技术委员会,,常务理事单位
金山区财政局,,常务理事单位
金山区人力资源和社会保障局,,常务理事单位
金山区农业农村委员会,,常务理事单位
金山区卫生健康委员会,,常务理事单位
金山区市场监督管理局,,常务理事单位
现代农业园区管理委员会,,常务理事单位
金山区总工会,,常务理事单位
金山工业区社区党工委,,常务理事单位
上海化学工业经济技术开发区企业协会,行业协会,常务理事单位
上海新金山工业投资发展有限公司,企业,常务理事单位
上海中侨职业技术学院,,常务理事单位
上海市金山区社区学院,,常务理事单位
上海石化工业学校,,常务理事单位
上海食品科技学校,,常务理事单位
赢创特种化学（上海）有限公司,企业,常务理事单位
上海赛科石油化工有限责任公司,企业,常务理事单位
上海石库门酿酒有限公司,企业,常务理事单位
上海中石化工物流公司,企业,常务理事单位
上海沃迪自动化装备股份有限公司,企业,常务理事单位
上海和辉光电有限公司,企业,常务理事单位
上海冠辉新材料科技有限公司,企业,常务理事单位
上海信谊金朱药业有限公司,企业,常务理事单位
上海银龙蔬菜配送有限公司,企业,常务理事单位
上海市金山区餐饮协会,行业协会,理事单位
上海市金山区质量技术协会,行业协会,理事单位
上海农林职业技术学院,,理事单位
上海市金山区卫生学校,,理事单位
上海市金山区农业学校,,理事单位
上海石化工业学校职业技能培训中心,,理事单位
上海金山区新起点职业技术培训中心,,理事单位
上海金山区现代职业技能培训中心,,理事单位
上海市金山区张堰职业技能培训中心,,理事单位
上海金山区今日教育培训中心,,理事单位
圣东尼（上海）针织机器有限公司,企业,理事单位
上海华钢不锈钢有限公司,企业,理事单位
上海佳田药用包装有限公司,企业,理事单位
福达（上海）食品有限公司,企业,理事单位
中粮融氏生物科技有限公司,企业,理事单位
上海博海餐饮集团有限公司,企业,理事单位
上海农心食品有限公司,企业,理事单位
上海高桥捷派克石化工程建设有限公司,企业,理事单位
上海中锐教育投资有限公司,企业,理事单位
上海经意实业有限公司,企业,理事单位
金井特线工业（上海）有限公司,企业,理事单位
百岳特化妆品（上海）有限公司,企业,理事单位
钰嘉（上海）食品有限公司,企业,理事单位
上海山崎食品有限公司,企业,理事单位
上海立旺食品有限公司,企业,理事单位
上海禾煜贸易有限公司,企业,理事单位
华峰铝业股份有限公司,企业,理事单位
上海悦得软包装有限公司,企业,理事单位
上海芙德肠衣有限公司,企业,理事单位
上海华峰普恩聚氨酯有限公司,企业,理事单位
上海司太立制药有限公司,企业,理事单位
上海起帆电线电缆有限公司,企业,理事单位
上海力克机械有限公司,企业,理事单位
上海帅翼驰铝合金新材料有限公司,企业,理事单位
上海三辉麦风食品有限公司,企业,理事单位
上海云之驾科技股份有限公司,企业,理事单位
上海海亮有机食品供应链有限公司,企业,理事单位
上海强丰实业有限公司,企业,理事单位
上海统一企业饮料食品有限公司,企业,理事单位
巴洛美巧克力制造（上海）有限公司,企业,理事单位
中国核工业第五建设有限公司,企业,理事单位
上海强华实业股份有限公司,企业,理事单位
上海新跃物流企业管理有限公司,企业,理事单位
上海梅克朗汽车镜有限公司,企业,理事单位
上海通工汽车零部件有限公司,企业,理事单位
上海甘田光学材料有限公司,企业,理事单位
上海金勤实业有限公司,企业,理事单位
上海华东人才教育管理（集团）有限公司,企业,理事单位
上海捷适同企业管理咨询有限公司,企业,理事单位
上海金山假日酒店,,理事单位
上海美华丝毯创意工作室,,理事单位
