序号,成员名称,成员类型,地址,邮编
1,上海城建职业学院,高职,奉贤区南亭公路2080号,201415
2,上海震旦职业学院,高职,宝山区罗店镇市一路88号,201908
3,新疆建设职业技术学院,高职,乌鲁木齐市杭州西街272号,830026
4,四川建筑职业技术学院,高职,四川德阳市嘉陵江西路4号,618000
5,上海交通职业技术学院,高职,上海市宝山区呼兰路883号,200431
6,上海济光职业技术学院,高职,宝山区水产路2859号,201901
7,上海思博职业技术学院,高职,浦东新区惠南镇城南路1408号,201300
8,上海建桥学院商学院,本科,浦东新区沪城环路1111号,201306
9,上海应用技术大学城市建设与安全工程学院,本科,奉贤区海泉路100号第二学科楼A312室,201418
10,上海中侨职业技术大学,本科,金山区曹廊公路3888号,201514
11,南京理工大学泰州科技学院,本科,江苏泰州市梅兰东路8号,225300
12,上海市建筑工程学校,中职校,闵行区龙吴路4989号,200241
13,上海市城市建设工程学校（上海市园林学校）,中职校,徐汇区龙水北路999号,200232
14,上海市城市科技学校,中职校,松江区人民北路925号,201620
15,上海市房地产学校,中职校,青浦区高泾路588号,201702
16,上海市材料工程学校,中职校,徐汇区罗秀新村136号,201231
17,上海市西南工程学校,中职校,闵行区梅陇西路1566号,201104
18,上海市公用事业学校,中职校,徐汇区凯旋路2050号,200030
19,上海市环境学校,中职校,浦东新区商城路1980号,200135
20,上海科技管理学校,中职校,杨浦区民星路435号,200433
21,上海建工集团股份有限公司,企业,虹口区东大名路666号,200080
22,上海建工一建集团有限公司,企业,浦东新区福山路33号,200120
23,上海建工二建集团有限公司,企业,虹口区梧州路289号,200080
24,上海建工四建集团有限公司,企业,徐汇区桂林路928号,201103
25,上海建工五建集团有限公司,企业,普陀区曹杨路1000号,200063
26,上海建工七建集团有限公司,企业,长宁区武夷路150号,200050
27,上海市安装工程集团有限公司,企业,虹口区塘沽路390号,200080
28,上海市基础工程集团有限公司,企业,黄浦区江西中路406号,200002
29,上海市机械施工集团有限公司,企业,静安区洛川中路701号,200072
30,上海市建筑装饰工程集团有限公司,企业,静安区永和路318弄环球企业园区3幢,200072
31,上海建工材料工程有限公司,企业,虹口区四平路848号,200086
32,上海园林（集团）有限公司,企业,黄浦区制造局路130号,200023
33,上海外经集团控股有限公司,企业,徐汇区小木桥路681号外经大厦10楼,200032
34,上海华东建筑机械厂有限公司,企业,浦东新区衡安路1058号,200137
35,上海建工集团股份有限公司海外事业部,企业,徐汇区小木桥路681号,200032
36,上海市建工设计研究总院有限公司,企业,徐汇区吴中路51号1号楼1708室,200235
37,上海市建筑教育培训服务中心,企业,长宁区武夷路150号,200050
38,中国建筑第八工程局有限公司,企业,浦东新区世纪大道1568号27楼,200122
39,上海隧道工程股份有限公司,企业,徐汇区宛平南路1099号911室,200233
40,上海绿地城市建设发展（集团）有限公司,企业,虹口区水电路180号,200083
41,上海百姓装潢有限公司,企业,徐汇区石龙路344号,200232
42,宏润建设集团股份有限公司,企业,徐汇区龙漕路200弄28号,200235
43,上海同涞物业管理有限公司,企业,黄浦区方斜路525弄1号楼M层,200011
44,上海维启信息技术有限公司,企业,杨浦区国定路323号301-6室,200433
45,上海领业建筑科技有限公司,企业,静安区武定路355号行政公馆22楼,200041
46,龙元明筑科技有限责任公司,企业,闵行区申长路612号虹桥绿谷广场A栋401,201106
47,广州中望龙腾软件股份有限公司,企业,广州市天河区珠江西路15号珠江城大厦32层,510000
48,广联达科技股份有限公司,企业,闵行区申虹路666弄正荣中心2号楼广联达大厦,201107
49,深圳市斯维尔科技股份有限公司,企业,深圳市南山区科技园北区清华信息港B座7楼,518057
50,杭州品茗安控信息技术股份有限公司,企业,杭州市西湖区西斗门路3号天堂软件园B幢A座4楼,310012
51,上海市建筑施工行业协会,行业组织,浦东新区福山路33号1705室,200120
52,上海市市政公路行业协会,行业组织,虹口区广中路411号,200083
53,上海市建设工程咨询行业协会,行业组织,虹口区中山北一路121号B2幢3楼3001室,200083
54,上海市装饰装修行业协会,行业组织,长宁区古北路1699号1501室,201103
55,上海市安装行业协会,行业组织,虹口区山阴路343弄16号,200081
56,上海市建设机械行业协会,行业组织,徐汇区中山南二路777弄1号606室,200032
57,上海市建设安全协会,行业组织,黄浦区西藏南路1090弄2号楼202室,200011
58,上海市智能建筑建设协会,行业组织,静安区共和新路1301号A座2021室,200235
59,上海市建设协会,行业组织,徐汇区大木桥路588号401室（近零陵路）,200032
60,上海市测绘院浦东分院,科研机构,浦东新区莱阳路938号,200129
61,上海市教科院职业教育与成人教育研究所,科研机构,徐汇区茶陵北路21号,200030
62,上海市住房和城乡建设管理委员会科学技术委员会事务中心,政府,徐汇区宛平南路75号2号楼709室,200032
