成员名称,成员类型,成员级别
上海师范大学旅游学院,本科,理事长
上海旅游高等专科学校,高职,理事长
上海市商贸旅游学校,中职,副理事长
上海杉达学院,本科,常务理事
上海工商职业技术学院,高职,常务理事
上海农林职业技术学院,高职,常务理事
上海市现代职业技术学校,中职,常务理事
上海市曹杨职业技术学校,中职,常务理事
上海市信息管理学校,中职,常务理事
上海市逸夫职业技术学校,中职,常务理事
上海工商信息学校,中职,常务理事
上海市市北职业高级中学,中职,常务理事
上海春申旅游职业学院,企业,常务理事
上海锦江旅游控股有限公司,企业,常务理事
上海商城上海彼特曼丽嘉酒店,企业,常务理事
上海明天广场有限公司金威万豪酒店,企业,常务理事
上海锦江国际酒店（集团）股份有限公司新锦江大酒店,企业,常务理事
携程旅游信息技术（上海）有限公司,企业,常务理事
上海餐饮烹饪行业协会,行业协会,常务理事
上海市旅游行业协会,行业协会,常务理事
上海市会展行业协会,行业协会,常务理事
上海市师范大学天华学院,本科,理事
上海商学院（生态旅游学院）,本科,理事
上海体育学院经济管理学院,本科,理事
上海邦德职业技术学院,高职,理事
上海市济光职业技术学院,高职,理事
上海市行健学院,高职,理事
上海中侨职业技术学院,高职,理事
无锡旅游商贸高等职业学校,高职,理事
上海城建职业学院,高职,理事
上海工商外国语职业学院,高职,理事
上海震旦职业学院,高职,理事
上海科学技术职业学院,高职,理事
上海市浦东外事服务学校,中职,理事
上海市奉贤中等专科学校,中职,理事
上海市杨浦职业技术学校,中职,理事
上海市工程技术管理学校,中职,理事
中华职业学校,中职,理事
上海市贸易学校,中职,理事
上海市南湖职业学校,中职,理事
上海市群星职业技术学校,中职,理事
上海振华外经职业技术学校,中职,理事
上海市第二轻工业学校,中职,理事
上海市机械工业学校,中职,理事
上海市商业学校,中职,理事
上海石化工业学校,中职,理事
上海城市科技学校,中职,理事
华住大学,企业,理事
上海锦江国际理诺士酒店管理专修学院,企业,理事
上海华亭宾馆有限公司,企业,理事
上海国际贵都大饭店有限公司,企业,理事
上海粤海大酒店有限公司,企业,理事
上海康莱德酒店,企业,理事
金棕榈（上海）教育科技有限公司,企业,理事
东方明珠新媒体股份有限公司,企业,理事
上海市东湖（集团）公司,企业,理事
上海建国宾馆有限公司,企业,理事
上海嘉汇华美达广场大酒店,企业,理事
上海耀达房地产开发有限公司静安洲际酒店,企业,理事
铭光（上海）国际旅行社有限公司,企业,理事
南光（上海）国际旅行有限公司（原实华国旅）,企业,理事
上海乐辰投资有限公司,企业,理事
花园饭店,企业,理事
上海衡山（集团）公司衡山宾馆,企业,理事
上海摩梯文化创意有限公司,企业,理事
上海宏安瑞士大酒店,企业,理事
上海虹桥迎宾馆,企业,理事
上海朗廷扬子酒店,企业,理事
龙柏饭店,企业,理事
汾阳花园酒店,企业,理事
明城酒店管理有限公司,企业,理事
上海食文化研究所（食文化协会）,行业协会,理事
上海市茶叶行业协会,行业协会,理事
