成员名称,成员类型
上海电子信息职业技术学院,职业院校
上海科学技术职业学院,职业院校
上海工商职业技术学院,职业院校
上海农林职业技术学院,职业院校
上海工商外国语职业学院,职业院校
上海应用技术学院高等职业学院,职业院校
中华职业技术学院,职业院校
上海电子工业学校,职业院校
上海工商信息学校,职业院校
上海市大众工业学校,职业院校
上海市城市科技学校,职业院校
上海科技管理学校,职业院校
上海市材料工程学校,职业院校
上海市西南工程学校,职业院校
上海市现代职业技术学校,职业院校
上海市曹杨职业技术学校,职业院校
上海市杨浦职业技术学校,职业院校
上海市航空服务学校,职业院校
上海市机械工业学校,职业院校
上海市奉贤中等专业学校,职业院校
上海市工程技术管理学校,职业院校
云南省电子信息高级技工学校,职业院校
包头服务管理职业学校,职业院校
贵州省电子工业学校,职业院校
云南省广播电视学校,职业院校
上海华鑫股份有限公司,企业
上海飞乐股份有限公司,企业
上海飞乐音响股份有限公司,企业
上海仪电电子股份有限公司,企业
上海仪电智能电子有限公司,企业
上海仪电物联技术股份有限公司,企业
上海仪电科学仪器股份有限公司,企业
诺基亚西门子通信（上海）有限公司,企业
上海科技网络通信有限公司,企业
上海松下半导体有限公司,企业
上海宝通汎球电子有限公司,企业
上海南洋万邦软件技术有限公司,企业
联想（上海）有限公司,企业
上海航天技术研究院,研究所
杭州华三通信技术有限公司,企业
上海自动化仪表股份有限公司,企业
三一重机有限公司,企业
中国人民解放军第四七二四工厂,企业
上海空间电源研究所,研究所
中软计算机系统工程有限公司,企业
华虹（集团）有限公司,企业
上海神州数码通信技术有限公司,企业
上海大唐移动通信设备有限公司,企业
上海远恒电子工程有限公司,企业
上海捷普科技（上海）有限公司,企业
聚物腾云物联网（上海）有限公司,企业
大唐邦彦（上海）信息技术有限公司,企业
新大陆时代教育科技有限公司,企业
深圳市讯方通信技术有限公司,企业
上海玖开电线电缆有限公司,企业
上海霍富汽车锁具有限公司,企业
上海新朝业信息科技有限公司,企业
上海海利丰商盈环保空调设备有限公司,企业
浙江新码特电子科技有限公司,企业
上海申瑞继保电气有限公司,企业
上海杨浦科技创业中心,企业
上海松下微波炉有限公司,企业
上海奥慧网络科技有限公司,企业
上海尚强信息科技有限公司,企业
上海文新报业印务有限公司,企业
上海市通信行业协会,行业协会
上海市集成电路行业协会,行业协会
上海仪器仪表行业协会,行业协会
上海电子元器件行业协会,行业协会
上海市交通电子行业协会,行业协会
上海电子产品维修服务协会,行业协会
