成员名称,成员大类,成员级别
杨凌职业技术学院,,理事长单位
杨凌现代农业示范园区开发建设有限公司,企业,理事长单位
新疆农业职业技术学院,,副理事长单位
甘肃林业职业技术学院,,副理事长单位
新疆石河子职业技术学院,,副理事长单位
甘肃农业职业技术学院,,副理事长单位
青海畜牧职业技术学院,,副理事长单位
宁夏职业技术学院,,副理事长单位
咸阳职业技术学院,,副理事长单位
西安职业技术学院,,副理事长单位
宝鸡职业技术学院,,副理事长单位
洛川县职业中等专业学校,,副理事长单位
榆林市职业教育与成人教育研究会,,副理事长单位
陕西省农业产业化龙头企业协会,行业协会,副理事长单位
杨凌秦岭山现代农业股份有限公司,企业,副理事长单位
陕西华秦农牧科技有限公司,企业,副理事长单位
中国水电建设集团十五工程局有限公司,企业,副理事长单位
中国水利水电第三工程局,,副理事长单位
陕西建工集团有限公司,企业,副理事长单位
中交第二公路工程局有限公司,企业,副理事长单位
陕西惠齐电力科技有限公司,企业,副理事长单位
宝鸡忠诚精密零件制造有限公司,企业,副理事长单位
西安新希望信息工程有限公司,企业,副理事长单位
新道科技有限公司,企业,副理事长单位
北京博导前程信息技术股份有限公司,企业,副理事长单位
宁波太平洋实业有限公司洲际酒店,企业,副理事长单位
西安豪享来投资控股有限公司豪享来温德姆至尊酒店,企业,副理事长单位
武汉中部对外经济技术合作有限公司,企业,副理事长单位
陕西意景园林设计工程有限公司,企业,副理事长单位
陕西三木城市生态发展有限公司,企业,副理事长单位
杨凌东科制药有限责任公司,企业,副理事长单位
陕西省畜牧业协会,行业协会,副理事长单位
宁夏晓鸣农牧股份有限公司,企业,副理事长单位
陕西杂交油菜研究中心,,副理事长单位
荷兰朗蒂斯教育集团,,常务理事
甘肃畜牧工程职业技术学院,,常务理事
宁夏葡萄酒与防沙治沙职业技术学院,,常务理事
兰州资源环境职业技术学院,,常务理事
阿克苏职业技术学院,,常务理事
伊犁职业技术学院,,常务理事
安康职业技术学院,,常务理事
武威职业学院,,常务理事
榆林职业技术学院,,常务理事
商洛职业技术学院,,常务理事
渭南职业技术学院,,常务理事
延安职业技术学院,,常务理事
汉中职业技术学院,,常务理事
平凉职业技术学院,,常务理事
酒泉职业技术学院,,常务理事
彬县职教中心,,常务理事
陕西江汉水电勘测设计有限公司,企业,常务理事
石头河水库灌溉管理局,,常务理事
陕西省石头河水利产业集团,,常务理事
杨凌本香产业集团有限公司,企业,常务理事
陕西建工第五建设集团有限公司,企业,常务理事
广联达软件股份有限公司西安分公司,企业,常务理事
西安建工第五建筑有限责任公司,企业,常务理事
中铁十二局集团第四工程有限公司,企业,常务理事
中铁第一勘察设计院集团有限公司,企业,常务理事
西安洪瑞交通技术工程有限公司,企业,常务理事
中铁十四局集团隧道工程有限公司,企业,常务理事
陕西瑞远柳工机械有限公司,企业,常务理事
杨凌迅达运业有限公司,企业,常务理事
宝鸡峡水电总站,,常务理事
西安新兴自动控制电器有限公司,企业,常务理事
陕西志航电子工程有限公司,企业,常务理事
西安嘉新电子科技有限公司,企业,常务理事
中国移动杨凌分公司,企业,常务理事
西安市人人乐超市有限公司,企业,常务理事
杨凌区返乡农民创新创业孵化园,,常务理事
北京链家地产经纪有限公司,企业,常务理事
西安市万科物业服务有限公司,企业,常务理事
陕西云集农业科技有限公司,企业,常务理事
生活佳（北京）家居装饰有限公司西安分公司,企业,常务理事
咸阳温氏畜牧有限公司,企业,常务理事
石羊农牧集团,,常务理事
陕西西安米琪食品有限公司,企业,常务理事
陕西大唐种业股份有限公司,企业,常务理事
陕西博森生物制药股份集团有限公司,企业,常务理事
眉县职教中心,,理事
杨凌职教中心,,理事
宝鸡市陈仓区职业教育中心,,理事
凤翔县职教中心,,理事
合阳县职业技术教育中心,,理事
米脂职教中心,,理事
武功县职教中心,,理事
周至县职业教育中心,,理事
西乡职中,,理事
南郑县职教中心,,理事
靖边县职教中心,,理事
杨凌中等职业学校,,理事
西北工业学校,,理事
富平县职教中心,,理事
中国电建集团西北勘测设计研究院有限公司工程实验检测分院,企业,理事
冯家山水库管理局,,理事
陕西大安工程建设监理有限责任公司,企业,理事
中国电力建设工程咨询西北有限公司,企业,理事
西安黄河工程监理有限公司,企业,理事
陕西方元建设工程有限公司,企业,理事
杨凌控股神龙建筑工程有限公司,企业,理事
陕西泰和力华工程管理咨询有限公司,企业,理事
陕西高智投资咨询有限公司,企业,理事
陕西普迈监理工程有限公司,企业,理事
陕西瑞信项目管理有限公司,企业,理事
陕西省汉中路桥有限责任公司,企业,理事
陕西路桥集团有限公司,企业,理事
陕西兴逸工程技术有限公司,企业,理事
杨凌天穹测绘有限公司,企业,理事
杨凌大地数码测绘工程有限公司,企业,理事
杨凌农科大金诺汽车服务有限公司,企业,理事
杨凌宇发小型工程机械销售服务公司,企业,理事
陕西永合机械设备有限公司,企业,理事
西安水务集团黑河水力发电公司,企业,理事
西安源广智能机电设备有限公司,企业,理事
杨凌龙祥数字科技有限公司,企业,理事
杨凌神马科贸有限公司,企业,理事
杨凌金桥广告有限公司,企业,理事
西安长风电子科技有限公司,企业,理事
西安创禾网络科技有限公司,企业,理事
杨凌新雅文化传媒有限公司,企业,理事
杨凌时代骄子文化传播有限公司,企业,理事
西安万汇企业,,理事
