成员名称,成员类型
广东海大集团股份有限公司,企业
湖北生物科技职业学院,
通威集团有限公司,企业
江西生物科技职业学院,
中央农业广播电视学校,
北京农业职业学院,
中国农业出版社,
北京生泰尔科技股份有限公司,企业
天津农学院水产学院,
黑龙江生物科技职业学院,
大连海洋学校,
丹东英波鸭绿江生态科技股份有限公司,企业
沈阳市克达饲料有限公司,企业
新疆农业职业技术学院,
青海畜牧兽医职业技术学院,
青海民泽龙羊峡生态水产养殖有限公司,企业
宁夏农业学校,
西北农林科技大学,
日照职业技术学院,
山东畜牧兽医职业学院,
威海海洋职业学院,
山东威海水产学校,
威海市宇王集团有限公司,企业
山东东方海洋科技股份有限公司,企业
唐山宏利饲料有限公司,企业
信阳农林学院,
南京农业大学无锡渔业学院,
江苏农牧科技职业学院,
江苏农林职业技术学院,
苏州农业职业技术学院,
江苏长寿集团南山饲料有限公司,企业
江苏好润生物科技有限公司,企业
安徽科技学院,
安徽农业大学,
安徽省生物工程学校,
安徽富煌三珍食品集团有限公司,企业
安庆皖宜季牛水产养殖有限责任公司,企业
望江县武昌湖生态渔业有限公司,企业
安徽华亿农牧科技发展有限公司,企业
温州科技职业学院,
浙江国际海运职业技术学院,
宁波海洋职业技术学校,
浙江金大地饲料有限公司,企业
浙江联兴饲料科技有限公司,企业
上海泓宝绿色水产股份有限公司,企业
长江大学,
华中农业大学水产学院,
水利部中国科学院水工程生态研究所,科研机构
湖北网龙楚天教育科技有限公司,企业
湖北惠泽生物科技有限公司,企业
武汉华扬动物药业有限责任公司,企业
湖北省水产良种试验站,
武汉正大水产有限公司,企业
武汉百瑞生物科技有限公司,企业
湖北省潜江市华山水产食品有限公司,企业
武汉安地水产技术有限公司,企业
武汉康祥科技发展有限公司,企业
武汉市涨渡湖渔场,
宜昌三江渔业有限公司,企业
湖北伍维生态农场有限公司,企业
洪湖古韵旅游开发有限公司,企业
武汉中博水产生物技术有限公司,企业
湖南生物机电职业技术学院,
湖南省水产科学研究所,科研机构
重庆三峡职业学院,
成都农业科技职业学院,
四川省水产学校,
四川金川农饲料有限公司,企业
江西正邦集团（子公司）,企业
南昌市鄱阳湖农牧渔业发展有限公司,企业
云南农业大学,
云南农业职业技术学院,
云南省渔业科学研究院,
云南快大多畜牧科技有限公司,企业
会泽天邦水产养殖有限公司,企业
云南新海丰水产科技集团有限公司,企业
西双版纳飞龙渔业有限责任公司,企业
铜仁职业技术学院,
广西职业技术学院,
广西农业职业技术学院,
广西水产畜牧学校,
福州航盛饲料有限公司,企业
《农财宝典》,
阳江职业技术学院,
广东省海洋工程职业技术学校,
中国水产科学研究院南海水产研究所,科研机构
《水产前沿》,
广东恒兴饲料实业股份有限公司,企业
广东汇海农牧科技集团,
山东科技职业学院,
