成员名称,成员类型,成员级别
北京首农食品集团有限公司,企业,理事长单位
北京农业职业学院,,理事长单位
中国农业出版社有限公司,企业,副理事长单位
农民日报社,,副理事长单位
中央农业广播电视学校,,副理事长单位
北京市农林科学院,,副理事长单位
隆平高科信息技术（北京）有限公司,企业,副理事长单位
北京大北农科技集团股份有限公司,企业,副理事长单位
日发牧马堂马术有限公司,企业,副理事长单位
北京物美商业集团股份有限公司,企业,副理事长单位
北京京林园林绿化工程有限公司,企业,副理事长单位
北京绿京华生态园林股份有限公司,企业,副理事长单位
北京安鑫农业（集团）股份有限公司,企业,副理事长单位
农芯科技（北京）有限责任公司,企业,副理事长单位
北京农学院,,副理事长单位
天津农学院,,副理事长单位
河北农业大学,,副理事长单位
唐山职业技术学院,,副理事长单位
河北旅游职业学院,,副理事长单位
锡林郭勒职业学院,,副理事长单位
辽宁农业职业技术学院,,副理事长单位
辽宁职业学院,,副理事长单位
吉林工程职业学院,,副理事长单位
吉林农业科技学院,,副理事长单位
黑龙江农业经济职业学院,,副理事长单位
黑龙江农业职业技术学院,,副理事长单位
上海虹华园艺有限公司,企业,副理事长单位
上海农林职业技术学院,,副理事长单位
江苏农牧科技职业学院,,副理事长单位
江苏恒绿建设工程有限公司,企业,副理事长单位
江苏农林职业技术学院,,副理事长单位
苏州农业职业技术学院,,副理事长单位
温州科技职业学院,,副理事长单位
金华职业技术学院,,副理事长单位
江西农业工程职业学院,,副理事长单位
山东畜牧兽医职业学院,,副理事长单位
河南农业职业学院,,副理事长单位
湖北绿冠园林建设有限公司,企业,副理事长单位
湖北生物科技职业学院,,副理事长单位
湖南湘都生态农业发展有限公司,企业,副理事长单位
湖南生物机电职业技术学院,,副理事长单位
广东农工商职业技术学院,,副理事长单位
重庆三峡职业学院,,副理事长单位
成都农业科技职业学院,,副理事长单位
铜仁职业技术学院,,副理事长单位
杨凌职业技术学院,,副理事长单位
西藏职业技术学院,,副理事长单位
甘肃农业职业技术学院,,副理事长单位
新疆农业职业技术学院,,副理事长单位
荷兰朗蒂斯教育集团（Lentiz Education Group）,,副理事长单位
中国农业大学出版社有限公司,企业,理事单位
化学工业出版社有限公司,企业,理事单位
中国水利水电出版社,,理事单位
中国农学会,,理事单位
北京市水科学技术研究院,,理事单位
北京市粮食科学研究院,,理事单位
北京京粮生物科技集团有限公司,企业,理事单位
北京粮食集团有限责任公司,企业,理事单位
北京古船食品有限公司,企业,理事单位
北京二商大红门肉类食品有限公司,企业,理事单位
北京二商食品股份有限公司,企业,理事单位
北京市华都峪口禽业有限责任公司,企业,理事单位
北京市北郊农场有限公司,企业,理事单位
北京市西郊农场有限公司,企业,理事单位
北京三元食品股份有限公司,企业,理事单位
北京三元种业科技股份有限公司,企业,理事单位
北京金色农华种业科技股份有限公司,企业,理事单位
北京观赏动物医院,,理事单位
北京瑞派京华动物医疗科技有限公司,企业,理事单位
北京美联众合动物医院股份有限公司,企业,理事单位
北京芭比堂动物医院有限责任公司,企业,理事单位
北京通和立泰生物科技有限公司,企业,理事单位
农业部农产品质量监督检验测试中心（北京）,,理事单位
北京稻香村食品有限责任公司,企业,理事单位
北京神州祥升软件有限公司,企业,理事单位
北京旗硕基业科技股份有限公司,企业,理事单位
嘉里大通物流有限公司北京分公司,企业,理事单位
中国报关协会,行业协会,理事单位
北京必胜客比萨饼有限责任公司,企业,理事单位
北京庞各庄乐平农产品产销有限公司,企业,理事单位
北京极星农业有限公司,企业,理事单位
北方天途航空技术发展（北京）有限公司,企业,理事单位
北京海联力通经贸有限公司,企业,理事单位
北京环球行国际旅行社有限责任公司,企业,理事单位
北京中国国际旅行社有限公司,企业,理事单位
北京中航天使教育科技集团,,理事单位
京之源（北京）农业有限公司,企业,理事单位
北京硕丰磊白山药产销专业合作社,,理事单位
北京益农缘生态农业专业合作社,,理事单位
北京市园林学校,,理事单位
北京昌平职业学校,,理事单位
北京市丰台区职业教育中心学校,,理事单位
北京水利水电学校,,理事单位
北京市电气工程学校,,理事单位
北京商贸学校,,理事单位
北京市门头沟区社区学院,,理事单位
北京市房山区第二职业中学,,理事单位
沧州职业技术学院,,理事单位
潍坊职业学院,,理事单位
晋中职业技术学院,,理事单位
福建省天禧御茶园茶业有限公司,企业,理事单位
江西生物科技职业学院,,理事单位
湖南环境生物职业技术学院,,理事单位
广西农业职业技术学院,,理事单位
宁夏农业学校,,理事单位
