成员名称,成员类型,成员级别
浙江警官职业学院,司法职业院校,理事长单位
安徽警官职业学院,司法职业院校,副理事长单位
武汉警官职业学院,司法职业院校,副理事长单位
河南司法警官职业学院,司法职业院校,常务理事单位
四川司法警官职业学院,司法职业院校,副理事长单位
河北司法警官职业学院,司法职业院校,常务理事单位
云南司法警官职业学院,司法职业院校,
山东司法警官职业学院,司法职业院校,常务理事单位
广东司法警官职业学院,司法职业院校,常务理事单位
吉林司法警官职业学院,司法职业院校,常务理事单位
江苏司法警官高等职业学院,司法职业院校,
宁夏警官职业学院,司法职业院校,常务理事单位
陕西警官职业学院,司法职业院校,常务理事单位
甘肃警察职业学院,司法职业院校,副理事长单位
海南政法职业学院,司法职业院校,副理事长单位
北京政法职业学院,司法职业院校,副理事长单位
辽宁政法职业学院,司法职业院校,
浙江省安全技术防范行业协会,安防行业企业,理事长单位
杭州海康威视数字技术股份有限公司,安防行业企业,副理事长单位
浙江大华技术股份有限公司,安防行业企业,副理事长单位
浙江宇视科技有限公司,安防行业企业,副理事长单位
杭州青鸟电子有限公司,安防行业企业,
汉卫国际安全防卫有限公司,安防行业企业,
浙江安邦护卫集团有限公司,安防行业企业,
浙江方元安消防技术有限公司,安防行业企业,
浙江长龙航空有限公司,安防行业企业,常务理事单位
杭州杭港地铁有限公司,安防行业企业,
华创电子股份有限公司,安防行业企业,
浙江西科姆安防系统科技有限公司,安防行业企业,
浙江华是科技股份有限公司,安防行业企业,副理事长单位
杭州四方博瑞科技股份有限公司,安防行业企业,
浙江传媒学院,,副理事长单位
浙江省北大信息技术高等研究院,,副理事长单位
湖州市清泉文武学校,,副理事长单位
东华软件股份公司,,副理事长单位
浙江科技学院,,常务理事单位
浙江安防职业技术学院,,常务理事单位
杭州市闲林职业高级中学,,常务理事单位
浙江省永康市职业技术学校,,常务理事单位
杭州安恒信息技术股份有限公司,,常务理事单位
三六零数字安全科技集团有限公司,,常务理事单位
江苏省司法警官高等职业学校,,常务理事单位
杭州市安保服务集团有限公司,,常务理事单位
安邦护卫集团股份有限公司,,常务理事单位
山西警官职业学院,,常务理事单位
