成员名称,成员类型
湘电集团有限公司,企业
湘电风能有限公司,企业
沈阳华纳科技有限公司,企业
明阳智慧能源集团,企业
江苏新风光有限公司,企业
华锐风电科技（内蒙古）有限公司,企业
天津明阳风电设备有限公司,企业
天津圣纳科技有限公司,企业
天津津能电池有限公司,企业
天津三安光电有限公司,企业
河北曹妃甸汉能薄膜太阳能有限公司,企业
甘肃金风风电设备有限公司,企业
青海明阳新能源有限公司,企业
浙江晶科能源有限公司,企业
敦煌首航节能新能源有限公司,企业
山东理工昊明新能源有限公司,企业
山东润峰电力有限公司,企业
江西晶科能源有限公司,企业
内蒙古博之凯电气科技有限责任公司,企业
浙江运达风电股份有限公司,企业
内蒙古中车新能源科技有限公司有限公司,企业
广东爱康太阳能科技有限公司,企业
广东德九新能源有限公司,企业
顺德嘉阳新能源公司,企业
南京康尼科技实业有限公司,企业
浙江亚龙教育装备股份有限公司,企业
浙江天煌科技实业有限公司,企业
湘电集团有限公司国家能源风力发电机研发（实验）中心,企业
湘电集团有限公司海上风力发电技术与检测国家重点实验室,企业
湖南省风力发电工程技术研究中心,企业
甘肃自然能源研究所,企业
顺德中山学太阳能研究院,企业
国家光伏质检中心,企业
湖南电气职业技术学院,院校
佛山职业技术学院,院校
天津轻工职业技术学院,院校
酒泉职业技术学院,院校
包头职业技术学院,院校
