成员名称,成员类型,成员级别
中国检验检疫科学研究院,,理事长单位
中国化工教育协会,行业协会,不确定
常州工程职业技术学院,,副理事长单位
中检邦迪（北京）智能科技有限公司,企业,不确定
河北化工医药职业技术学院,,理事会员单位
中国检验检测学会,,理事会员单位
江苏检验检疫质量研究中心,,理事会员单位
SGS通标标准技术服务有限公司,企业,理事会员单位
华测检测认证集团股份有限公司,企业,理事会员单位
重庆化工职业学院,,理事会员单位
天津渤海职业技术学院,,理事会员单位
威海职业技术学院,,理事会员单位
宁波职业技术学院,,理事会员单位
顺德职业技术学院,,理事会员单位
吉林工业职业技术学院,,理事会员单位
四川化工职业技术学院,,理事会员单位
兰州石化职业学院,,理事会员单位
江南大学,,理事会员单位
上海信息技术学校,,理事会员单位
江西省化学工业学校,,理事会员单位
检科院综合测试中心,,理事会员单位
坛墨质检科技股份有限公司北京分公司,企业,理事会员单位
长沙环境保护职业技术学院,,
常州纺织服装职业技术学院,,
常州工业职业技术学院,,
东营职业学院,,
广东环境保护工程职业学院,,
河南化工技师学院,,
湖南化工职业技术学院,,
江苏城市职业学院,,
江苏农牧科技职业学院,,
江苏食品药品职业技术学院,,
江阴职业技术学院,,
金华职业技术学院,,
连云港职业技术学院,,
辽宁石化职业技术学院,,
南京科技职业技术学院,,
沙洲职业学院,,
山西工程职业技术学院,,
陕西工业职业技术学院,,
深圳职业技术学院,,
苏州健雄职业技术学院,,
苏州农业职业技术学院,,
唐山工业职业技术学院,,
武汉软件工程职业学院,,
徐州工业职业技术学院,,
盐城工业职业技术学院,,
扬州工业职业技术学院,,
中山职业技术学院,,
连云港中等专业学校,,
厦门海洋职业技术学院,,
广州广电计量检测股份有限公司,企业,
中检科（上海）测试技术有限公司,企业,
威海德生技术检测有限公司,企业,
河北安康检测科技有限公司,企业,
连云港润众制药有限公司,企业,
石家庄通达认证咨询有限公司,企业,
宁波亚凯检测科技有限公司,企业,
谱尼测试集团上海有限公司,企业,
上海源本食品质量检验有限公司,企业,
EWG1990仪器学习网,,
成都捷瑞企业管理咨询有限公司,企业,
常州进出口及日用消费品安全检测中心,,
常州食品药品监督管理中心,,
常州佳德医药技术有限公司,企业,
湖南航天天麓新材料检测有限责任公司,企业,
江苏天佑路航认证检测有限公司,企业,
深圳天溯计量检测股份有限公司,企业,
常州爱绿检测技术有限公司,企业,
新疆轻工职业技术学院,,
上海安谱实验科技股份有限公司,企业,
南阳中关村信息谷科技服务有限责任公司,企业,
北方测盟科技有限公司,企业,
绍兴市聚同科职业技能培训有限公司,企业,
潍坊职业学院,,
北京信立方科技发展股份有限公司,企业,
河北交通职业技术学院,,
常州机电职业技术学院,,
承德石油高等专科学校,,
赛卡姆（北京）科学仪器有限公司,企业,
深圳市太科检测有限公司,企业,
中国设备监理协会,行业协会,
广东轻工职业技术学院,,
浙江经贸职业技术学院,,
北京道和诚林科技有限公司,企业,
天津科健（天津）检验检测有限责任公司,企业,
吉安职业技术学院,,
丽水蓝城农科检测技术有限公司,企业,
北京食安链科技有限公司,企业,
中检科教育科技（北京）有限公司,企业,
山东商务职业学院,,
北京中建华衡工程检测试验有限公司,企业,
乐普乐吉安全科技（上海）有限公司,企业,
宁夏化学分析测试协会,行业协会,
广州携测技术有限公司（检测家）,企业,
浙江锐德检测认证技术有限公司,企业,
江西应用技术职业学院,,
上海城建职业学院,,
林扬东方（北京）科技有限公司,企业,
温州科技职业学院,,
中实诚信信用评价有限公司（全国社会信用标准化技术委员会检验检测诚信工作组秘书处）,企业,
北京明捷科达科技有限公司,企业,
广东科贸职业学院,,
中国仪器仪表学会,,
湖北省市场监督管理培训中心,,
化学工业出版社有限公司,企业,
格桑谷（上海）众创空间管理有限公司,企业,
国仪量子（合肥）技术有限公司,企业,
安捷伦科技（中国）有限公司,企业,
江苏通诚人才科技有限公司,企业,
长春维石检测技术服务有限公司,企业,
北京溯源（北京）检测科技有限公司,企业,
北京国实检测技术研究院,,
广州中科检测技术服务有限公司,企业,
天美仪拓实验室设备（上海）有限公司,企业,
西安常春藤食品有限公司,企业,
广西环境监测协会,行业协会,
江苏康达检测技术股份有限公司,企业,
上海光谱仪器有限公司,企业,
深圳前海子谦创业科技教育有限公司,企业,
