成员名称,成员类型,成员级别
吉林财经学校,职业院校,首批联合发起单位
安徽国际商务职业教育集团,职业教育集团,首批联合发起单位
吉林电子信息职业技术学院,职业院校,首批联合发起单位
北京市现代服务业职业教育集团,职业教育集团,首批联合发起单位
陕西现代服务职业教育集团,职业教育集团,首批联合发起单位
济南工程职业技术学院,职业院校,首批联合发起单位
江苏财会职业学院,职业院校,首批联合发起单位
江苏财经职业技术学院,职业院校,首批联合发起单位
江苏财经职业教育集团,职业教育集团,首批联合发起单位
浙江商业职业教育集团,职业教育集团,首批联合发起单位
北京智欣联创科技有限公司,企业,首批联合发起单位
上海名聚网络技术有限公司,企业,首批联合发起单位
上海慧泉管理顾问有限公司,企业,首批联合发起单位
上海敏学信息技术有限公司,企业,首批联合发起单位
北京信达嘉鼎科技有限公司,企业,首批联合发起单位
彼威达管理咨询（北京）有限公司,企业,首批联合发起单位
江苏经贸职业技术学院,职业院校,首批联合发起单位
新道科技股份有限公司,企业,首批联合发起单位
天津中道博雅企业管理顾问有限公司,企业,首批联合发起单位
江苏农牧科技职业学院,职业院校,首批联合发起单位
江苏商贸职业教育集团,职业教育集团,首批联合发起单位
杭州哲达教育咨询有限公司,企业,首批联合发起单位
北京中商汇才教育管理咨询有限公司,企业,首批联合发起单位
北京杰威品牌营销顾问有限公司,企业,首批联合发起单位
南京杰伊汉服饰有限公司,企业,首批联合发起单位
江苏商贸职业学院,职业院校,首批联合发起单位
苏果超市有限公司,企业,首批联合发起单位
中教畅享（北京）科技有限公司,企业,首批联合发起单位
江苏百瑞赢证券咨询有限公司,企业,首批联合发起单位
中国人寿南京市银保理财中心,企业,首批联合发起单位
江苏标昂体育文化传播有限公司,企业,首批联合发起单位
方山体育中心小球训练基地,企业,首批联合发起单位
南京市保安服务总公司雨花台分公司,企业,首批联合发起单位
江苏省丹阳中等专业学校,职业院校,首批联合发起单位
百色学院,职业院校,首批联合发起单位
无锡商业职业技术学院,职业院校,首批联合发起单位
江苏食品药品职业技术学院,职业院校,首批联合发起单位
陕西工商职业学院,职业院校,首批联合发起单位
安徽城市管理职业学院,职业院校,首批联合发起单位
湖南商务职业技术学院,职业院校,首批联合发起单位
江苏现代服务业职业教育集团,职业教育集团,首批联合发起单位
江西陶瓷工艺美术职业技术学院,职业院校,首批联合发起单位
