成员名称,成员类型,成员级别
神华准格尔能源有限责任公司,企业,理事单位
神华北电胜利能源有限责任公司,企业,理事单位
内蒙古霍林河煤业集团有限责任公司,企业,理事单位
神东天隆集团有限责任公司,企业,理事单位
内蒙古满世煤炭集团股份有限公司,企业,理事单位
鄂尔多斯市乌兰煤炭(集团)有限责任公司,企业,理事单位
内蒙古蒙泰煤电集团有限公司,企业,理事单位
内蒙古蒙西水泥集团,,理事单位
内蒙古太西煤集团股份有限公司,企业,理事单位
内蒙古特弘煤电集团有限责任公司,企业,理事单位
内蒙古双欣能源化工有限公司,企业,理事单位
内蒙古庆华集团有限公司,企业,理事单位
内蒙古西蒙集团有限公司,企业,理事单位
内蒙古伊泰集团有限公司,企业,理事单位
内蒙古汇能煤电集团有限公司,企业,理事单位
内蒙古伊东投资集团有限公司,企业,理事单位
鄂尔多斯市天地华润煤矿装备有限责任公司,企业,理事单位
内蒙古锡林郭勒白音华煤电公司,企业,理事单位
内蒙古君正能源化工有限公司,企业,理事单位
内蒙古宜化集团公司,企业,理事单位
包头山晟新能源有限责任公司,企业,理事单位
鄂尔多斯天可华能源发展有限公司,企业,理事单位
内蒙古易高煤化科技有限公司,企业,理事单位
内蒙古霍林河露天煤业股份有限公司,企业,理事单位
内蒙古西部天然气股份有限公司,企业,理事单位
北方联合电力有限责任公司,企业,理事单位
内蒙古电力(集团)有限责任公司,企业,理事单位
内蒙古东部电力有限公司,企业,理事单位
华电内蒙古能源有限公司,企业,理事单位
内蒙古国电能源投资有限公司,企业,理事单位
中电投蒙东能源集团有限责任公司,企业,理事单位
北京京能新能源有限公司,企业,理事单位
内蒙古大唐托克托发电厂,,理事单位
中广核风力发电有限公司内蒙古分公司,企业,理事单位
内蒙古北方龙源风力发电有限责任公司,企业,理事单位
神华土右发电厂,,理事单位
东方希望包头稀土铝业有限责任公司电厂,企业,理事单位
内蒙古国华准格尔发电有限责任公司,企业,理事单位
京能京泰发电厂,,理事单位
神华亿利能源有限公司,企业,理事单位
国电内蒙古东胜热电有限公司,企业,理事单位
内蒙古磴口金牛有限公司,企业,理事单位
鄂尔多斯电力冶金股份有限公司,企业,理事单位
京海煤矸石发电股份有限责任公司,企业,理事单位
神华准格尔能源有限公司矸石发电厂,企业,理事单位
内蒙古电力科学研究院,,理事单位
内蒙古京隆发电有限责任公司,企业,理事单位
内蒙古永盛域千伏变电站,,理事单位
内蒙古丰泰发电有限公司,企业,理事单位
内蒙古国电能源有限公司金山热电厂,企业,理事单位
呼和浩特金桥热电厂,,理事单位
内蒙古京泰发电有限公司,企业,理事单位
内蒙古华电红泥井风力发电有限公司,企业,理事单位
内蒙古电建二公司,企业,理事单位
内蒙古电力培训中心,,理事单位
内蒙古丰镇发电厂,,理事单位
内蒙古霍煤鸿骏铝电有限责任公司自备电厂,企业,理事单位
通辽热电有限责任公司,企业,理事单位
包头供电局高新变电站,,理事单位
内蒙古大唐国际再生资源开发有限公司,企业,理事单位
包头钢铁集团公司,企业,理事单位
鄂尔多斯电力冶金股份有限公司,企业,理事单位
内蒙古盾安集团有限公司,企业,理事单位
内蒙古兴安铜锌冶炼有限公司,企业,理事单位
中电投霍林河鸿骏铝电分公司,企业,理事单位
呼和浩特中燃城市燃气发展有限公司,企业,理事单位
包头亚新隆顺特钢有限公司,企业,理事单位
包钢集团巴润矿业有限公司,企业,理事单位
中电投霍林河煤电集团铝业股份有限责任公司,企业,理事单位
包钢(集团)公司白云鄂博铁矿分公司,企业,理事单位
大唐内蒙古鄂尔多斯硅铝科技有限公司,企业,理事单位
内蒙古伊东集团九鼎化工有限责任公司,企业,理事单位
阿盟锋威硅业有限公司,企业,理事单位
内蒙古方圆铝业公司,企业,理事单位
中铁资源国金矿业有限公司,企业,理事单位
包头铝业集团,,理事单位
包头稀土研究院,,理事单位
包钢华美稀土公司,企业,理事单位
中国兵器工业集团内蒙古第一机械制造(集团)有限公司,企业,理事单位
中航国际成套设备有限公司,企业,理事单位
华中数控股份有限公司,企业,理事单位
呼和浩特市众环有限责任公司,企业,理事单位
内蒙古利丰企业集团有限公司,企业,理事单位
内蒙古瑞隆重工装各制造有限公司,企业,理事单位
内蒙古机电设计研究院,,理事单位
金岗重工(航天科工六院)有限责任公司,企业,理事单位
内蒙古一汽解放亿阳专用汽车有限公司,企业,理事单位
包头北奔重型汽车有限公司,企业,理事单位
中国兵器工业集团内蒙古北方重工业集团有限公司,企业,理事单位
内蒙古北方重型汽车股份有限公司,企业,理事单位
包头富诫铝业有限公司,企业,理事单位
包头市太阳满都拉电缆有限公司,企业,理事单位
内蒙古华德牧草机械有限公司,企业,理事单位
内蒙古大地农业科技装备有限公司,企业,理事单位
通辽中硕电缆有限公司,企业,理事单位
赤峰鸿宇精密机械有限公司,企业,理事单位
宁城县长明机械有限公司,企业,理事单位
奇瑞汽车股份有限公司鄂尔多斯分公司,企业,理事单位
内蒙古欧意德发动机有限公司,企业,理事单位
内蒙古精功恒信装备制造公司,企业,理事单位
内蒙古蒙龙机械制造有限公司,企业,理事单位
陕汽乌海新能源专用汽车有限公司,企业,理事单位
中盐吉兰泰盐化集团有限公司,企业,理事单位
内蒙古天野化工集团有限公司,企业,理事单位
中核集团北方核燃料元件有限公司,企业,理事单位
航天科工集团六院359厂,,理事单位
航天科工集团六院389厂,,理事单位
奥祥电力自动化有限公司,企业,理事单位
内蒙古水利工程协会,行业协会,理事单位
内蒙古黄河工程局股份有限公司,企业,理事单位
富凯龙水利水电工程集团有限公司,企业,理事单位
内蒙古天源工程建设有限公司,企业,理事单位
内蒙古环地测绘有限公司,企业,理事单位
内蒙古呼和浩特市春华水务集团,,理事单位
包头登口兴源水利水电公司,企业,理事单位
内蒙古隆达建筑工程公司,企业,理事单位
呼和浩特市建筑公司,企业,理事单位
乌海公路工程建设公司,企业,理事单位
鄂尔多斯达旗金茂水利水电公司,企业,理事单位
内蒙古天野测绘公司,企业,理事单位
内蒙古华瑞建筑工程公司,企业,理事单位
内蒙古亿欣建筑工程规化设计有限公司,企业,理事单位
巴彦淖尔市新禹水利水电工程公司,企业,理事单位
巴彦淖尔市济禹水利水电工程公司,企业,理事单位
内蒙古黄河工程管理局,,理事单位
内蒙古包头磴口灌溉管理局,,理事单位
包头昆都仑水库,,理事单位
赤峰红山水库,,理事单位
内蒙古东源宇龙王实业（集团）有限责任公司,企业,理事单位
内蒙古黄河监理公司,企业,理事单位
