成员名称,成员类型,成员级别
北京铁路电气化学校,中职,集团理事会成员单位
北京地铁技术学校,中职,集团理事会成员单位
北京市公共交通高级技工学校,中职,集团理事会成员单位
北京电气工程学校,中职,集团理事会成员单位
北京市丰台区职业教育中心学校,中职,集团理事会成员单位
北京市商业学校,中职,集团理事会成员单位
北京自动化工程学校,中职,集团理事会成员单位
北京市房山区第二职业高中,中职,集团理事会成员单位
北京怀柔职业学校,中职,集团理事会成员单位
北京金隅科技学院,中职,集团理事会成员单位
北京市外事学校,中职,集团理事会成员单位
北京市门头沟区中等职业学校,中职,集团理事会成员单位
北京市昌平职业学校,中职,集团理事会成员单位
密云区职业学校,中职,集团理事会成员单位
河北省石家庄市第三职业中专学校,中职,集团理事会成员单位
河北省涿州职教中心,中职,集团理事会成员单位
河北省唐山市第一职业中专学校,中职,集团理事会成员单位
河北省唐山市丰南区职业技术教育中心,中职,集团理事会成员单位
河北省秦皇岛市青龙县职业技术教育中心,中职,集团理事会成员单位
河北省保定市阜平县职业技术教育中心,中职,集团理事会成员单位
河北省威县职业技术教育中心,中职,集团理事会成员单位
内蒙古呼伦贝尔市海拉尔区第一职业学校,中职,集团理事会成员单位
云南省丽江市民族中等专业学校,中职,集团理事会成员单位
北京交通运输职业学院,高职,集团理事会成员单位
北京交通大学远程与继续教育学院,本科,集团理事会成员单位
北京工业大学继续教育学院,本科,集团理事会成员单位
北京市汽车修理协会,行业协会,集团理事会成员单位
北京公路学会,行业协会,集团理事会成员单位
北京市道路运输协会,行业协会,集团理事会成员单位
北京市出租汽车暨汽车租赁协会,行业协会,集团理事会成员单位
北京祥龙博瑞汽车服务（集团）有限公司,企业,集团理事会成员单位
北京京港地铁有限公司,企业,集团理事会成员单位
港铁轨道交通（深圳）有限公司,企业,集团理事会成员单位
一汽丰田汽车销售有限公司,企业,集团理事会成员单位
巴斯夫涂料国际贸易（上海）有限公司,企业,集团理事会成员单位
北京尚盟汽车服务有限公司,企业,集团理事会成员单位
易通交通信息发展有限公司,企业,集团理事会成员单位
北京广达汽车维修设备有限公司,企业,集团理事会成员单位
北京祥龙公交客运有限公司,企业,集团理事会成员单位
北京嘉华企业管理有限公司,企业,集团理事会成员单位
北京埃斯林根教育科技有限公司,企业,集团理事会成员单位
巴斯夫（中国）有限公司,企业,集团理事会成员单位
丰田汽车（中国）投资有限公司,企业,集团理事会成员单位
广汽丰田汽车有限公司,企业,集团理事会成员单位
戴姆勒大中华区投资有限公司,企业,集团理事会成员单位
上汽通用汽车销售有限公司,企业,集团理事会成员单位
庞贝捷漆油贸易（上海）有限公司,企业,集团理事会成员单位
北京汽车技术研究所,科研,集团理事会成员单位
北京交通发展研究院,科研,集团理事会成员单位
北京交通信息中心,科研,集团理事会成员单位
北京交通行业节能减排中心,科研,集团理事会成员单位
北京交通运行监测调度中心,科研,集团理事会成员单位
北京市职业技能鉴定第28所,其他,集团理事会成员单位
德累斯顿工业大学职业教育和继续教育学院,其他,集团理事会成员单位
新南威尔士技术与继续教育委员会,其他,集团理事会成员单位
北京市交通委员会科技处,,集团管委会成员单位
北京市交通委员会财务处,,集团管委会成员单位
北京市交通委员会人事处,,集团管委会成员单位
北京市交通执法总队人事处,,集团管委会成员单位
北京公共交通控股（集团）有限公司,,集团管委会成员单位
北京市地铁运营有限公司,,集团管委会成员单位
北京市首都公路发展集团有限公司,,集团管委会成员单位
北京市基础设施投资有限公司,,集团管委会成员单位
北京市轨道交通建设管理有限公司,,集团管委会成员单位
北京祥龙资产经营有限责任公司,,集团管委会成员单位
北京市市政路桥集团有限公司,,集团管委会成员单位
