成员名称,成员类型
北京智联恒通咨询有限公司,企事业单位
北京嘉润会计师事务所有限公司,咨询机构
河北轨道运输职业技术学院,院校
北京燃气集团,企事业单位
新大陆科技集团,企事业单位
颐信泰通（北京）信息科技股份有限公司,企事业单位
北京康邦科技有限公司,企事业单位
北京市地铁运营有限公司,企事业单位
北京祥龙博瑞汽车服务（集团）有限公司,企事业单位
北京新能源汽车股份有限公司（北京汽车蓝谷营销服务有限公司）,企事业单位
北京自来水集团有限责任公司,企事业单位
北京发那科机电有限公司,企事业单位
首都航天机械公司,企事业单位
北京京港地铁有限公司,企事业单位
蒂森克虏伯电梯有限公司,企事业单位
北京日立电梯工程有限公司,企事业单位
迅达（中国）电梯有限公司北京分公司,企事业单位
北京市轨道交通运营管理有限公司,企事业单位
中国城市规划协会地下管线专业委员会,行业协会
恒成华安航空科技有限公司,企事业单位
北京京邦达贸易有限公司（京东物流）,企事业单位
捷库动力（北京）信息技术有限公司,企事业单位
岳成律师事务所,咨询机构
北京市十一学校,院校
北京实验技工学校,院校
北京市工业技师学院,院校
北京市工贸技师学院,院校
北京市经贸高级技术学校,院校
医养康（北京）健康管理有限公司,企事业单位
北京海峡两岸民间交流促进会,行业协会
老吾老养老院,企事业单位
北京外企人力资源服务有限公司(FESCO),企事业单位
北京物业行业管理协会,行业协会
北京劳动保障职业学院,院校
北京电子科技职业学院,院校
北京财贸职业学院,院校
北京信息职业技术学院,院校
北京农业职业学院,院校
北京工业职业技术学院,院校
北京交通职业技术学院,院校
北京经济技术职业学院,院校
北京师范大学国家职业教育研究院,科研机构
石家庄铁路职业技术学院,院校
北京市商业学校,院校
北京市平谷第一职业学校,院校
北京铁路电气化学校,院校
北京国际职业教育学校,院校
北京市大兴第一职业学校,院校
北京市外事学校,院校
北京市电气工程学校,院校
北京市经济管理学校,院校
北京市对外贸易学校,院校
北京水利水电学校,院校
首都经济贸易大学密云分校,院校
北京市劲松职业高中,院校
北京市仪器仪表高级技工学校,院校
北京市丰台区职业教育中心学校,院校
北京教育科学研究院职业教育与成人教育研究所,科研机构
北京教育科学研究院高等教育科学研究所,科研机构
清华大学教育研究院教育技术研究所,科研机构
北京商贸学校,院校
北京市海淀区卫生学校,院校
天津职业大学,院校
石家庄信息工程职业学院,院校
河北政法职业学院,院校
北京市人才服务中心,企事业单位
北京市社会保险基金管理中心,企事业单位
北京北控伟仕软件工程技术有限公司,企事业单位
北京北控三兴信息技术有限公司,企事业单位
北京市海淀区社会保险基金管理中心,企事业单位
北京市朝阳区人力资源和社会保障局,企事业单位
北京歌华时代桥人力资源管理有限公司,企事业单位
北京北控智慧城市科技发展有限公司,企事业单位
北京京同达劳务服务有限公司,企事业单位
北京建投嘉昱资产管理有限公司,企事业单位
北汽福田汽车股份有限公司,企事业单位
前程无忧,企事业单位
教育部全国人力资源和社会保障教育教学指导委员会,行业协会
北京市人力资源和社会保障局科学研究所,科研机构
北京北控电信通信息技术有限公司,企事业单位
易才集团,企事业单位
北京市海淀人社局公共服务中心,企事业单位
北京市海淀区仲裁院,企事业单位
智联招聘,企事业单位
中国国际技术智力合作有限公司,企事业单位
首都信息发展股份有限公司,企事业单位
河北青年管理干部学院,院校
国才（北京）人力资源服务有限公司,企事业单位
天津城市职业学院,院校
北京慈爱嘉养老服务有限公司,企事业单位
北京首开寸草养老服务有限公司,企事业单位
北京炎黄振国报关服务有限公司,企事业单位
泛运国际物流（北京）有限公司,企事业单位
凯创国际物流服务（北京）有限公司,企事业单位
用友新道科技有限公司,企事业单位
中教畅享（北京）科技有限公司,企事业单位
厦门网中网软件有限公司,企事业单位
北京饭店,企事业单位
北京五洲大酒店,企事业单位
北京首都旅游集团有限责任公司,企事业单位
北京慧佳养老服务有限公司,企事业单位
中联集团教育科技有限公司,企事业单位
北京康语轩老年公寓,企事业单位
山东浪潮铸远教育科技有限公司,企事业单位
博越锦程国际物流（北京）有限公司,企事业单位
百望股份有限公司,企事业单位
北京诚和敬养老服务有限公司,企事业单位
北京市职业技能鉴定管理中心,鉴定机构
北京市劳动保障职业技能鉴定所,鉴定机构
北京市第十五中学南口学校,院校
首都师范大学附属房山中学,院校
北京市城市管理高级技术学校,院校
北大附中朝阳未来学校,院校
山东劳动职业技术学院,院校
北京茵澳生活服务公司,企事业单位
北京爱侬养老科技发展股份有限公司,企事业单位
