成员名称,成员类型
新西兰国立中部理工学院,本科
芬兰拉赫蒂应用科学大学,本科
加拿大卡普兰诺大学,本科
纽约州立大学坎顿技术学院,本科
英国伦敦艺术大学,本科
英国北安普顿大学,本科
台湾大华科技大学,本科
台湾台中科技大学,本科
台湾龙华科技大学台,本科
台湾建国科技大学,本科
台湾致理科技大学,本科
台湾高雄餐旅大学,本科
北京商报社有限公司,企业
中国商报,企业
中国商务出版社,企业
高等教育出版社,企业
中国非物质文化遗产保护协会 非议教育研究会,行业协会
北京教育科学研究院,研究机构
厦门九九网智科技有限公司,企业
北京知链科技有限公司,企业
北京蓝迪国际货运代理有限公司,企业
全图通位置网络有限公司,企业
深圳市斯维尔科技股份有限公司,企业
北京绿建软件股份有限公司,企业
杭州群核信息技术有限公司,企业
展视网(北京)科技有限公司,企业
北京必胜客比萨饼有限公司,企业
北京物美商业集团股份有限公司,企业
首都宾馆,其他
深圳市物新智能科技有限公司,企业
深圳市美斯图科技有限公司,企业
中德职业教育产教融合联盟,其他
西藏恒信凯鸿经贸有限责任公司,企业
北京肯德基有限公司,企业
科大讯飞股份有限公司,企业
北京京邦达贸易有限公司,企业
北京行知睿思科技有限公司,企业
中智(北京)人力资源外包服务有限公司,企业
中教畅享(北京)科技有限公司,企业
达内时代科技集团有限公司,企业
北京中科大洋科技发展股份有限公司,企业
北京觅拍信息技术有限公司,企业
凤凰数媒（北京）教育科技有限公司,企业
中装金英教育科技(北京)有限公司,企业
广州中望龙腾软件股份有限公司,企业
广联达科技股份有限公司,企业
中青旅控股股份有限公司遨游网总部,企业
北京饭店,其他
北京首寰文化旅游投资有限公司,企业
恒天中岩投资管理有限公司,企业
北京盈泰财富云电子商务有限公司,企业
北京信诺保险经纪有限公司,企业
华西证券股份有限公司,企业
中国民生银行股份有限公司北京通州支行,企业
畅捷通信息技术股份有限公司,企业
北京华财会计股份有限公司,企业
大华会计师事务所,其他
北京络捷斯特科技发展有限公司,企业
北京安信捷达物流有限公司,企业
北京广慧金通教育集团,企业
慧科教育科技集团有限公司,企业
北京东大正保科技有限公司,企业
北京星巴克咖啡有限公司,企业
新道科技股份有限公司,企业
北京卜蜂莲花连锁超市有限公司,企业
家乐福集团,企业
沃尔玛(中国)投资有限公司,企业
北京超市发连锁股份有限公司,企业
北京京客隆商业集团股份有限公司,企业
北京翠微大厦股份有限公司,企业
北京首商集团股份有限公司,企业
北京西单友谊集团公司,企业
北京苏宁电器有限公司,企业
北京永辉超市有限公司,企业
北京京东世纪贸易有限公司,企业
中联集团教育科技有限公司,企业
北京祥龙物流（集团）有限公司,企业
北京首都旅游集团有限责任公司,企业
北京粮食集团有限责任公司,企业
北京市烟草专卖局（公司）,企业
北京二商集团有限责任公司,企业
北京菜市口百货股份有限公司,企业
王府井集团股份有限公司百货大楼,企业
中国全聚德(集团)股份有限公司,企业
北京通州旅游行业协会,行业协会
北京市建筑装饰协会,行业协会
北京老字号协会,行业协会
北京注册会计师协会,行业协会
北京物流与供应链管理协会,行业协会
北京商业经济学会,行业协会
北京市连锁经营协会,行业协会
北京市商业联合会,行业协会
中国连锁经营协会,行业协会
河北省安新县职业技术教育中心,中职
高阳县职业技术教育中心,中职
保定市职业技术教育中心,中职
三河市职业技术教育中心,中职
香河县职教中心,中职
大厂县职业技术教育中心,中职
涿州市职业技术教育中心,中职
