成员名称,成员类型
清华大学继续教育学院,本科
中国地质大学继续教育学院,本科
中华女子学院,本科
北京劳动保障学院,高职
北京财贸职业学院,高职
北京交通运输学院,高职
北京信息职业技术学院,高职
天津中德应用技术大学,高职
唐山工业职业技术学院,高职
北京市商业学校,中职
北京一商集团有限责任公司干部学校,其他院校
中共北京物资有限公司党校,其他院校
北京市经济管理学校,中职
北京市商务科技学校,中职
北京商贸学校,中职
北京市对外贸易学校,中职
北京市供销学校,中职
天津市第一商业学校,中职
大连商业学校,中职
张家口市职教中心,中职
廊坊市电子信息工程学校,中职
云南省保山市施甸县职业高级中学,中职
云南省保山市昌宁县职业技术学校,中职
云南省保山市隆阳区职业技术学校,中职
云南省保山市龙陵县职业高级中学,中职
云南省保山市腾冲县第一职业高级中学,中职
云南省保山市腾冲县第二职业技术中学,中职
北京祥龙博瑞汽车服务集团有限公司,企业
北京祥龙物流（集团）有限公司,企业
北京一商集团有限责任公司干部学校,企业
北京祥龙物业经营管理有限公司,企业
北京翔龙出租客运有限公司,企业
北京祥龙客运(集团)有限公司,企业
中油祥龙（北京）石油销售有限公司,企业
用友新道科技有限公司,企业
北京中国大饭店,企业
中商国际旅行社有限公司,企业
北京国华商场有限责任公司,企业
北京拉斐特城堡酒店有限公司,企业
北京络捷斯特科技发展股份有限公司,企业
北京博导前程信息技术有限公司,企业
北京先天下科技发展有限公司,企业
北京众智弘城教育科技有限公司,企业
联想集团教育培训事业部,企业
畅捷通信技术股份有限公司,企业
首发集团八达岭高速公路管理分公司,企业
上海商派网络科技有限公司,企业
北京乐多港发展有限公司,企业
北京会计学会,行业协会
北京市眼镜行业协会,行业协会
中国道路运输协会,行业协会
北京物流协会,行业协会
北京品牌协会,行业协会
北京汽车维修行业协会,行业协会
北京百货商业协会,行业协会
北京市商业企业管理协会,行业协会
北京市服装质量监督检验二站,行业协会
北京市第三十六职业技能鉴定所,科研机构
北京市服装质量监督检验二站,科研机构
北京教育科学研究院职业与成人教育研究所,科研机构
北京教育科学研究院职业与成人教育教学研究所中心,科研机构
