成员名称,成员类型,成员级别
北京信息职业技术学院,高职,理事长单位
工业和信息化部教育与考试中心,其他,副理事长单位
京东方科技集团股份有限公司,企业,副理事长单位
华为技术有限公司,企业,副理事长单位
北京市信息管理学校,中职,副理事长单位
北京电子信息技师学院,高职,副理事长单位
北京信息科技大学继续教育学院,本科,常务理事单位
首都经济贸易大学密云分校,本科,常务理事单位
北京电子科技职业技术学院,高职,常务理事单位
北京工业职业技术学院,高职,常务理事单位
北京市财贸职业学院,高职,常务理事单位
北京市经济管理学校,中职,常务理事单位
北京金隅科技学校,中职,常务理事单位
北京市昌平职业学校,中职,常务理事单位
北京市商业学校,中职,常务理事单位
北京市电气工程学校,中职,常务理事单位
邢台职业技术学院,本科,常务理事单位
石家庄财经职业学院,,常务理事单位
北方华创科技集团股份有限公司,企业,常务理事单位
北京燕东微电子有限公司,企业,常务理事单位
北京兆维电子（集团）有限责任公司,企业,常务理事单位
北京益泰电子集团有限责任公司,企业,常务理事单位
北京七星华电科技集团有限责任公司,企业,常务理事单位
北京正东电子动力集团有限公司,企业,常务理事单位
北京市电子产品质量检测中心,,常务理事单位
北京市电子科技情报研究所,,常务理事单位
联想教育科技（北京）有限公司,企业,常务理事单位
奇安信科技集团股份有限公司,企业,常务理事单位
北京神州数码云科信息技术有限公司,企业,常务理事单位
北京新大陆时代教育科技有限公司,企业,常务理事单位
中国软件行业协会教育与培训委员会,行业协会,常务理事单位
北京嵌入式系统技术行业协会,行业协会,常务理事单位
北京电子商会,,常务理事单位
北京电子学会,,常务理事单位
电子行业第一职业技能鉴定站,,常务理事单位
电子工业出版社,,常务理事单位
工业和信息化职业教育教学指导委员会,,理事单位
中国电子商会智能电动汽车专业委员会,,理事单位
中国电子教育学会职业技术教育分会,,理事单位
北京商贸学校,,理事单位
北京市供销学校,,理事单位
北京水利水电学校,,理事单位
北京市自动化工程学校,,理事单位
北京市丰台区职业教育中心学校,,理事单位
北京市求实职业学校,,理事单位
北京市黄庄职业高中,,理事单位
北京市密云区职业学校,,理事单位
天津市电子信息技师学院,,理事单位
保定职业技术学院,,理事单位
河北省科技工程学校,,理事单位
北京电子城投资开发集团股份有限公司,企业,理事单位
北京电控爱思开科技有限公司,企业,理事单位
北京大华无线电仪器厂,企业,理事单位
北京奇虎科技有限公司（360集团）,企业,理事单位
北京启明星辰信息安全技术有限公司,企业,理事单位
北京西普阳光教育科技股份有限公司,企业,理事单位
北京永信至诚科技股份有限公司,企业,理事单位
北京神州祥升软件有限公司,企业,理事单位
北京中科磐云科技有限公司,企业,理事单位
甲骨文（中国）软件系统有限公司,企业,理事单位
北京中盛永信科技发展有限公司,企业,理事单位
北京超图软件股份有限公司,企业,理事单位
易康云（北京）数据科技有限公司,企业,理事单位
衍界（北京）文化产业有限公司,企业,理事单位
北京华航唯实机器人科技股份有限公司,企业,理事单位
北京钢铁侠科技有限公司,企业,理事单位
北京朝元时代科技有限公司,企业,理事单位
深圳市优必选科技股份有限公司,企业,理事单位
深圳创客工厂科技有限公司,企业,理事单位
北京新能源汽车营销有限公司,企业,理事单位
通号工程局集团有限公司,企业,理事单位
北京竞业达沃凯森科技有限公司,企业,理事单位
完美世界教育科技（北京）有限公司,企业,理事单位
大唐文娱（深圳）网络有限公司,企业,理事单位
福建省华渔教育科技有限公司,企业,理事单位
中国科学院微电子研究所,研究机构,理事单位
人民邮电出版社有限公司,企业,理事单位
东方信科教育咨询（北京）有限公司,企业,理事单位
中科软科技股份有限公司,企业,理事单位
希毕迪（北京）教育科技有限公司,企业,理事单位
中联集团教育科技有限公司,企业,理事单位
北京中软国际教育科技股份有限公司,企业,理事单位
北京百度网讯科技有限公司,企业,理事单位
科大讯飞股份有限公司,企业,理事单位
北京江南天安科技有限公司,企业,理事单位
北京慧舟普度科技有限公司,企业,理事单位
新华三技术有限公司,企业,理事单位
北京劳动保障职业学院,,理事单位
北京市科学技术研究院信息与人工智能技术研究所,,理事单位
