成员名称,成员级别
咸阳职业技术学院,理事长单位
陕西省西咸新区沣西新城管理委员会,副理事长单位
陕西省西咸新区秦汉新城管理委员会,副理事长单位
咸阳经济技术开发区管委会,副理事长单位
咸阳高新技术产业开发区管理委员会,副理事长单位
咸阳市科技局,副理事长单位
武功县人民政府,副理事长单位
陕西省学前教育研究会,副理事长单位
咸阳市阳光幼教集团,副理事长单位
咸阳小天鹅教育集团,副理事长单位
新概念幼教集团,副理事长单位
咸阳师范学院,副理事长单位
陕西工业职业技术学院,副理事长单位
陕西能源职业技术学院,副理事长单位
陕西财经职业技术学院,副理事长单位
陕西邮电职业技术学院,副理事长单位
秦都区职业教育中心,副理事长单位
陕西嘉海电梯技术服务有限公司,副理事长单位
北京神州数码云科信息技术有限公司,副理事长单位
南京第五十五所技术开发有限公司,副理事长单位
科大讯飞股份有限公司,副理事长单位
福建中锐网络股份有限公司,副理事长单位
中谦国际商务发展有限公司,副理事长单位
咸阳不老帮智慧养老有限公司,副理事长单位
金月汇大健康产业管理有限公司,副理事长单位
深圳市海丽达国际幼儿教育有限公司,副理事长单位
西安铃兰婴幼儿早期智力开发有限公司,副理事长单位
西安瑞德体育健身有限公司,副理事长单位
陕西京东信成供应链科技有限公司,副理事长单位
特斯拉（上海）有限公司,副理事长单位
陕西秦星汽车有限责任公司,副理事长单位
西咸新区秉承驾驶员培训有限公司,副理事长单位
陕西省咸阳市建筑安装工程总公司,副理事长单位
老百姓大药房（西安）,副理事长单位
陕西绿邦实业集团有限公司,副理事长单位
陕西石羊农业科技股份有限公司,副理事长单位
陕西永恒园林工程有限公司,副理事长单位
雨萱生态建设有限公司,副理事长单位
百科荣创北京科技发展有限公司,理事单位
西安柏康拓信息科技有限公司,理事单位
西安迪科数金智能科技有限公司,理事单位
中兴通讯股份有限公司,理事单位
华天科技（西安）有限公司,理事单位
博彦科技承德有限公司,理事单位
西安奕斯伟硅片技术有限公司,理事单位
西安嘉睿柯网络科技有限公司,理事单位
陕西山上山下影视文化传媒有限公司,理事单位
西安长河通讯有限责任公司,理事单位
华勤技术股份有限公司,理事单位
梵恩诗产后恢复（西安英驰利健康产业有限公司）,理事单位
宝鸡蔡家坡医院,理事单位
西安嘉悦泰母婴护理有限公司,理事单位
陕西养月轩母婴健康管理有限公司,理事单位
新妈妈（北京）母婴护理院,理事单位
西安爱玛家母婴服务有限公司,理事单位
西咸新区国睿一诺药物安全评价研究有限公司,理事单位
深圳市巨邦科技发展有限公司,理事单位
成都尚道中医学研究院,理事单位
陕西美悦健康管理有限公司,理事单位
空港新城阳光幼儿园,理事单位
爱诺堡国雅幼儿园,理事单位
杨凌美伦天成幼儿园,理事单位
陕西木头人教育科技有限公司,理事单位
西咸新区英伦幼儿园,理事单位
安康高新幼儿园,理事单位
西安天童美语培训中心,理事单位
西安市长安区天骄幼儿园,理事单位
新起点体智能教育,理事单位
小布丁文化传播有限公司,理事单位
秦汉新城中英小学,理事单位
秦汉新城渭柳佳苑幼儿园,理事单位
西安市未央区金盼听力语言康复中心,理事单位
西安浐灞卓根幼儿园,理事单位
秦都南洋维也纳幼儿园,理事单位
糖鲸堡国际自然保育院,理事单位
咸阳毅源健身有限公司,理事单位
正大集团南通正大有限公司,理事单位
陕西宠天使动物医院有限公司,理事单位
陕西唐农苑生态文化股份有限公司,理事单位
高陵四季丰产品农民专业合作社,理事单位
盈环网络技术（上海）有限公司西咸分公司,理事单位
西安三星半导体有限公司,理事单位
西安奕斯伟材料科技有限公司,理事单位
西安庆安电气控制有限公司,理事单位
西北超导材料科技股份有限公司,理事单位
西安中航富士达科技股份有限公司,理事单位
西安远航真空钎焊技术有限公司,理事单位
咸阳隆基乐业光伏科技有限公司,理事单位
珠海格力电器股份有限公司,理事单位
宁波亚德客自动化工业有限公司,理事单位
无锡深南电路科技有限公司,理事单位
广州德善数控科技有限公司,理事单位
宁波阿能集团有限公司,理事单位
苏州人本集团,理事单位
宁德时代新能源科技股份有限公司,理事单位
安徽三安光电科技有限公司,理事单位
合肥海尔集团,理事单位
苏州博众精工科技股份有限公司,理事单位
中芯国际集成电路制造有限公司,理事单位
健鼎（无锡）电子有限公司,理事单位
深圳米飞泰克科技有限公司,理事单位
深圳维沃移动通讯有限公司,理事单位
江苏人和环保设备有限公司,理事单位
西安彩晶光电科技股份有限公司,理事单位
西安圣梦集团,理事单位
陕西建工第六建设集团有限公司,理事单位
杨凌大西农药业有限公司,理事单位
延安大学咸阳医院,理事单位
咸阳彩虹医院,理事单位
陕西省建筑材料工业学校,理事单位
宝鸡市扶风县职业教育中心,理事单位
咸阳市渭城区职业教育中心,理事单位
兴平市职业教育中心,理事单位
武功县职业教育中心,理事单位
乾县职业教育中心,理事单位
礼泉县职业教育中心,理事单位
泾阳职业中等专业学校,理事单位
三原县职业教育中心,理事单位
永寿县职业教育中心,理事单位
彬州市职业教育中心,理事单位
旬邑县职业教育中心,理事单位
淳化县职业教育中心,理事单位
长武县职业教育中心,理事单位
