成员名称,成员类型,成员级别
嘉兴职业技术学院,,理事长单位
嘉兴南洋职业技术学院,,副理事长单位
嘉兴技师学院（含浙江科技工程学校/嘉兴高级技工学校）,,副理事长单位
浙江中科院应用技术研究院,,副理事长单位
嘉兴市农业科学研究院,,副理事长单位
中法控股集团有限公司,企业,副理事长单位
浙江五芳斋实业股份有限公司,企业,副理事长单位
浙江正原电气股份有限公司,企业,副理事长单位
浙江嘉欣丝绸股份有限公司,企业,副理事长单位
嘉兴隆聚餐饮集团有限公司,企业,副理事长单位
嘉兴碧云花园有限公司,企业,副理事长单位
平湖市职业中等专业学校,,常务理事单位
嘉兴建筑工业学校,,常务理事单位
嘉兴市秀水经济信息专修学院,,常务理事单位
嘉兴市电子商务行业协会,行业协会,常务理事单位
嘉兴市进出口商会,,常务理事单位
嘉兴市餐饮行业协会,行业协会,常务理事单位
天通控股股份有限公司,企业,常务理事单位
创正防爆电器有限公司,企业,常务理事单位
桐乡市濮院毛针织技术服务中心,,常务理事单位
嘉兴市万事达汽车销售服务有限公司,企业,常务理事单位
嘉兴市今顶电器科技有限公司,企业,常务理事单位
嘉兴市加捷网络技术有限公司,企业,常务理事单位
嘉兴市麦包包网络科技有限公司,企业,常务理事单位
嘉兴市汽车维修行业协会,行业协会,常务理事单位
嘉兴市海浪平面设计有限公司,企业,常务理事单位
嘉兴市假日国际旅行社有限公司,企业,常务理事单位
嘉兴市戴梦得购物中心有限公司,企业,常务理事单位
嘉兴良友进出口集团股份有限公司,企业,常务理事单位
四川省广元市职业高级中学校,,一般理事单位
桐乡综合中等专业学校（桐乡市卫生学校）,,一般理事单位
海宁市职业高级中学,,一般理事单位
海盐县理工学校,,一般理事单位
海盐县商贸学校,,一般理事单位
嘉善县中等专业学校,,一般理事单位
嘉兴教育学院,,一般理事单位
桐乡市濮院羊毛衫职业技术学校,,一般理事单位
嘉兴互联网协会,行业协会,一般理事单位
嘉兴市秀洲洪合毛衫商会,,一般理事单位
嘉兴市食品工业协会,行业协会,一般理事单位
嘉兴市模具行业协会,行业协会,一般理事单位
亿缙机械（嘉兴）有限公司,企业,一般理事单位
乌镇旅游股份有限公司,企业,一般理事单位
北京精雕科技有限公司嘉兴分公司,企业,一般理事单位
华夏防爆电气有限公司,企业,一般理事单位
沃尔玛华东百货有限公司嘉兴分店,企业,一般理事单位
哈挺精密机械（嘉兴）有限公司,企业,一般理事单位
闻泰通讯股份有限公司,企业,一般理事单位
振石集团浙江宇石国际物流有限公司,企业,一般理事单位
浙江广源生物技术有限公司,企业,一般理事单位
