成员名称,成员类别,成员级别
西华大学,本科,副理事长单位
西南科技大学,本科,
西南石油大学,本科,
成都大学,本科,
四川建筑职业技术学院,高职,理事长单位
成都纺织高等专科学校,高职,
成都航空职业技术学院,高职,
四川交通职业技术学院,高职,
绵阳职业技术学院,高职,
四川水利职业技术学院,高职,
新疆建设职业技术学院,高职,
青海建筑职业技术学院,高职,
宁夏建设职业技术学院,高职,
西藏职业技术学院,高职,
德阳安装技师学院,中职,副理事长单位
四川省工业贸易学校,中职,
四川省仁寿县第二职业高中,中职,
眉山工程技师学院,中职,
成都工程职业技术学校,中职,
四川省商贸学校,中职,
四川华西集团有限公司,企业,
中国建筑一局（集团）有限公司,企业,
中国建筑第八工程局有限公司,企业,
中建新疆建工(集团)有限公司,企业,
中国中铁二局集团有限公司,企业,
中国中铁八局集团有限公司,企业,
成都建工集团,企业,
二重（德阳）重型装备有限公司,企业,
东方汽轮机有限公司,企业,
东方电机有限公司,企业,
中信国安建工集团,企业,
四汇建设集团,企业,
四川省城乡规划设计研究院,科研院所,
四川省建筑科学研究院,科研院所,
中国建筑西南勘察设计研究院有限公司,科研院所,
四川省建筑业协会,行业协会（政府单位）,副理事长单位
叙永县住房和城乡规划建设局,行业协会（政府单位）,
叙永县开发建筑协会,行业协会（政府单位）,
三台县住房和城乡规划建设局,行业协会（政府单位）,
三台县建筑业协会,行业协会（政府单位）,
四川省装配式建筑产业协会,行业协会（政府单位）,
四川省房地产协会,行业协会（政府单位）,
四川省城镇供水排水协会,行业协会（政府单位）,
四川省造价工程师协会,行业协会（政府单位）,
四川省风景园林协会,行业协会（政府单位）,
四川省建设工程质量安全与监理协会,行业协会（政府单位）,
四川省散装水泥和预拌砂浆推广发展协会,行业协会（政府单位）,
四川省建设人才开发促进会,行业协会（政府单位）,
四川省城乡规划设计研究院,行业协会（政府单位）,
四川省村镇建设协会,行业协会（政府单位）,
四川城市规划协会,行业协会（政府单位）,
