成员名称,成员级别
四川省人大常委会预算工作委员会,指导委员会
四川省人民政府办公厅,指导委员会
四川省财政厅,指导委员会
四川省教育厅,指导委员会
四川省审计厅,指导委员会
四川省地方税务局,指导委员会
西南财经大学,指导委员会
四川省社会科学联合会,指导委员会
四川省会计学会,指导委员会
四川省财政学会,指导委员会
四川财经职业学院,理事长单位
四川省注册税务师协会,副理事长单位
四川商务职业学院,副理事长单位
成都职业技术学院,副理事长单位
成都航空职业技术学院,副理事长单位
四川工商职业技术学院,副理事长单位
成都工业职业技术学院,副理事长单位
绵阳职业技术学院,副理事长单位
广安职业技术学院,副理事长单位
四川省成都市财贸职业高级中学,副理事长单位
自贡职业技术学校,副理事长单位
四川长虹电子控股集团有限公司,副理事长单位
四川路桥集团,副理事长单位
新道科技股份有限公司,副理事长单位
浪潮卓数大数据产业发展有限公司,副理事长单位
北京人人出彩教育科技有限公司,副理事长单位
成都邦道科技有限公司,副理事长单位
泸州职业技术学院,常务理事单位
四川化工职业技术学院,常务理事单位
四川文化产业职业学院,常务理事单位
四川邮电职业技术学院,常务理事单位
内江职业技术学院,常务理事单位
四川交通职业技术学院,常务理事单位
眉山职业技术学院,常务理事单位
乐山职业技术学院,常务理事单位
四川现代职业学院,常务理事单位
成都农业科技职业学院,常务理事单位
泸州市职业技术学校,常务理事单位
成都电子信息学校,常务理事单位
四川省南充中等专业学校,常务理事单位
四川省乐山市第一职业高级中学,常务理事单位
四川省简阳市高级职业中学,常务理事单位
达州市职业高级中学,常务理事单位
四川省宣汉职业中专学校,常务理事单位
宜宾市叙州区柳嘉职业技术学校,常务理事单位
富顺职业技术学校,常务理事单位
江油市职业中学校,常务理事单位
四川省苍溪县职业高级中学,常务理事单位
成都市跨境电商行业协会,常务理事单位
中联集团教育科技有限公司,常务理事单位
北京智谷星图教育科技有限公司,常务理事单位
宏信证券红庙子街投资者教育基地,常务理事单位
四川万和润沣财税培训服务有限公司,常务理事单位
任我行软件股份有限公司,常务理事单位
成都四方伟业软件股份有限公司,常务理事单位
四川航天信息有限公司,常务理事单位
成都金税电子技术有限公司,常务理事单位
成都盈创天象科技服务有限公司,常务理事单位
成都市全友家私销售有限公司,常务理事单位
四川金拱门食品有限公司,常务理事单位
江苏京东科技有限公司,常务理事单位
