成员名称,成员大类,成员级别
大连商业联合总会,政府部门,理事长单位
大连市旅游局,政府部门,副理事长单位
大连市餐饮行业协会,行业协会,副理事长单位
大商集团,,副理事长单位
大连友谊（集团）股份有限公司,企业,副理事长单位
日本协和建设株式会社,行业协会,副理事长单位
大连市美发美容行业总会,行业协会,副理事长单位
大连职业技术学院,,副理事长单位
爱丁教育信息科技有限公司,企业,副理事长单位
辽宁轻工职业学院,,副理事长单位
大连职工大学、大连商业学校,,副理事长单位
大连枫叶职业技术学院,,副理事长单位
公益社团法人全国经理教育协会,行业协会,副理事长单位
大连珍奥集团行政,,副理事长单位
大连市就业服务中心,政府部门,副理事长单位
新道科技股份有限公司,企业,常务理事单位
大连旭日东升财务管理事务所,,常务理事单位
豪之英中国,,常务理事单位
大连空海国际贸易有限公司,企业,常务理事单位
大连晨骏财务咨询有限公司,企业,常务理事单位
大连市明基税务师事务所有限公司,企业,常务理事单位
大连美格文化传播有限公司,企业,常务理事单位
大连木浦造型连锁有限公司,企业,常务理事单位
大连纤丝鸟微养科技实业有限公司,企业,常务理事单位
华卫思理管理公司,企业,常务理事单位
大连富丽华大酒店,,常务理事单位
大连香格里拉大酒店,,常务理事单位
大连新海味餐饮有限公司,企业,常务理事单位
大连邦克咖啡设备有限公司,企业,常务理事单位
辽宁省餐饮烹饪行业协会日料专业委员会,行业协会,常务理事单位
大连通越信息有限公司,企业,常务理事单位
大连市增材制造知识产权运营中心有限公司,企业,常务理事单位
大连市市场营销协会,行业协会,常务理事单位
辽宁省硬笔书法协会,行业协会,常务理事单位
大连市经济贸易学校,,常务理事单位
辽宁师范大学附属中等职业技术专业学校,,常务理事单位
庄河市职业教育中心,,常务理事单位
大连市烹饪中等职业技术专业学校,,常务理事单位
大连市普兰店区职业教育中心,,常务理事单位
大连市旅顺口区职业教育中心,,常务理事单位
大连市旅游学校（大连女子学校）,,常务理事单位
大连市金州区职业教育中心,,常务理事单位
大连盲聋学校,,常务理事单位
大连市轻工业学校,,常务理事单位
大连经济技术开发区中等职业技术专业学校,,常务理事单位
长海县中等职业技术专业学校,,常务理事单位
大连市电子学校,,常务理事单位
瓦房店市第一中等职业技术专业学校,,常务理事单位
瓦房店市机械制造中等职业技术学校,,常务理事单位
大连新华税务师事务所有限公司,企业,理事单位
大连易桥金谛财税咨询有限公司,企业,理事单位
大连麦凯乐西安路店,,理事单位
大连云和科技有限公司,企业,理事单位
大连博林财务咨询服务中心,,理事单位
中联集团教育科技有限公司,企业,理事单位
中联资产评估集团有限公司,企业,理事单位
大连良运大酒店,,理事单位
棒棰岛宾馆,,理事单位
大连长江广场有限公司日航饭店,企业,理事单位
大连瑞诗酒店,,理事单位
大连市极客咖啡有限公司,企业,理事单位
大连新世界酒店,,理事单位
大连雅乐轩酒店,,理事单位
大连中远洲际酒店,,理事单位
大连鲁能置业有限公司希尔顿酒店分公司,企业,理事单位
大连凯宾斯基酒店,,理事单位
大连南山花园酒店,,理事单位
大连古茶文化馆,,理事单位
大连万升酒店管理有限公司富力希尔顿（康菜德）分公司,企业,理事单位
大连璐咖咖啡食品有限公司,企业,理事单位
华润（大连）有限公司君悦酒店,企业,理事单位
大连兰巴赫啤酒坊有限公司,企业,理事单位
辽宁宝君公关有限公司,企业,理事单位
大连硬石酒店,,理事单位
大连美恩捷智能科技发展有限公司,企业,理事单位
大连盛达餐饮管理服务有限公司,企业,理事单位
北京中油阳光物业管理公司北京分公司,企业,理事单位
大连三寰商业管理有限公司,企业,理事单位
大连胜道运动产业发展有限公司,企业,理事单位
北京首都机场航空安保有限公司,企业,理事单位
福州好旺商贸有限公司,企业,理事单位
大连良运欧宝超市管理有限公司,企业,理事单位
辽宁逸安航空服务有限公司,企业,理事单位
大连顶盛餐饮管理有限公司,企业,理事单位
大连瑞朗科技有限公司,企业,理事单位
大连饰嘉装饰设计工程有限公司,企业,理事单位
大连朵朵商贸有限公司,企业,理事单位
大连尚品原创装饰设计工程有限公司,企业,理事单位
大连焱垚设计有限公司,企业,理事单位
大连首尔公主电子商务有限公司(本赞）,企业,理事单位
大连新青年婚纱摄影,,理事单位
业之峰装饰,,理事单位
大连未来家装饰有限公司,企业,理事单位
云宝网络传媒发展（大连）有限公司,企业,理事单位
大连蓝心信息技术有限公司,企业,理事单位
大连市甘井子区弘正教育丽童幼儿园,,理事单位
大连保税区新世纪幼儿园,,理事单位
大连新月幼儿园,,理事单位
前革新居幼儿园,,理事单位
大连市少年宫幼儿园(爱福力）,,理事单位
大连康贝思酒店管理有限公司,企业,理事单位
东北财经大学出版社,,理事单位
大连东软睿道教育信息服务有限公司,企业,理事单位
大连金州新区国信财税培训学校,,理事单位
蓝鸥科技（大连）有限公司,企业,理事单位
泰国格乐大学辽宁国际事务中心,,理事单位
大连维客创新科技有限公司,企业,理事单位
辽宁省国际交流中心大连信息咨询中心,,理事单位
辽宁现代服务职业技术学院,,理事单位
六枝特区职业技术学校,,理事单位
贵州省盘州市职业技术学校,,理事单位
锦州市现代服务学校,,理事单位
黑龙江省贸易经济学校,,理事单位
辽宁农业职业技术学院,,理事单位
大连中港通关职业技术学校,,理事单位
大连航空管理中等职业技术学校,,理事单位
大连口腔义齿中等职业技术学校,,理事单位
大连市冰轮运动协会,行业协会,
大连市高尔夫球协会,行业协会,
大连市健美健美操协会,行业协会,
大连市外经企业协会,行业协会,
大连教育学院职业学校教师教育中心,科研机构,
大连市教育科学研究所,科研机构,
沈阳师范大学职业教育研究所,科研机构,
