成员名称,成员大类
安徽军工集团控股有限公司,企业
安徽长城军工股份有限公司,企业
安徽振兴建设有限公司,企业
中兴通讯股份有限公司,企业
合肥长安汽车有限公司,企业
奇瑞汽车股份有限公司,企业
航空工业合肥江航飞机装备有限公司,企业
合肥科大讯飞股份有限公司,企业
安徽博微长安电子有限公司,企业
中国电子科技集团公司第四十三所,企业
蚌埠神舟机械有限公司,企业
中航国铁（北京）教育投资管理有限公司,企业
武汉伟创聚赢科技有限公司,企业
合肥万力轮胎有限公司,企业
安徽永成电子机械技术有限公司,企业
合肥富华精密机械有限公司（合肥华林）,企业
合肥常青机械股份有限公司,企业
安徽三安光电有限公司,企业
中国电科41所蚌埠依爱消防电子有限公司,企业
安徽职业技术学院,
六安职业技术学院,
安徽电子信息职业技术学院,
皖西经济技术学校,
安庆大别山科技学校,
亳州工业学校,
金安职业学校,
阜阳理工学校(阜南县职教中心),
舒城职业学校,
金寨职业学校,
霍山职业学校,
叶集职业学校,
阜阳工业经济学校,
安徽工程技术学校,
阜阳工商贸易学校,
