成员名称,成员级别
安徽省汽车工业学校,理事长单位
安徽省职业与成人教育学会,指导单位
安徽省汽车行业（工程）协会,指导单位
安徽省汽车经销商商会,指导单位
安徽省机械行业联合会,指导单位
安徽省职业培训技术协会,指导单位
安徽工商职业学院,常务理事单位
安徽职业技术学院,常务理事单位
滁州市应用技术学校,常务理事单位
阜阳理工学校,常务理事单位
光山县中等职业学校,常务理事单位
奇瑞汽车股份有限公司,常务理事单位
华菱星马汽车（集团）股份有限公司,常务理事单位
安徽安凯汽车股份有限公司,常务理事单位
合肥京东方光电科技有限公司,常务理事单位
合肥国轩高科动力能源有限公司,常务理事单位
江淮蔚来工厂,常务理事单位
安徽风之星投资控股有限责任公司,常务理事单位
合肥海尔电冰箱有限公司,常务理事单位
埃夫特智能装备股份有限公司,常务理事单位
安徽京邦达供应链科技有限公司,常务理事单位
荣事达双创大学,常务理事单位
合肥工业大学继续教育学院,理事单位
安徽广播电视大学,理事单位
安徽机械工业学校,理事单位
安徽旅游学校,理事单位
皖北经济技术学校,理事单位
安徽省行知学校,理事单位
安徽金寨职业学校,理事单位
皖西经济技术学校,理事单位
阜阳科技工程学校,理事单位
合肥求实科技学校,理事单位
宣城市工业学校,理事单位
五河县职业技术学校,理事单位
定远县职业教育中心学校,理事单位
安徽广播电视大学亳州分校涡阳工作站,理事单位
安徽江淮汽车集团股份有限公司,理事单位
安徽叉车集团有限责任公司,理事单位
广州佛朗斯股份有限公司,理事单位
比克希汽车科技(合肥)有限公司,理事单位
江苏京东信息技术有限公司,理事单位
安波福电子(苏州)有限公司,理事单位
安徽大步车业销售有限公司,理事单位
长虹美菱股份有限公司,理事单位
江淮汽车合肥车桥有限公司,理事单位
安徽美芝制冷设备有限公司,理事单位
中联重机股份有限公司,理事单位
宜宾凯翼汽车有限公司芜湖分公司,理事单位
合肥海润光伏科技有限公司,理事单位
无锡市锡山机动车驾驶培训有限公司,理事单位
安徽蓝柏教育科技有限公司,理事单位
合肥中科智驰科技有限公司,理事单位
合肥博仕达汽车技术服务有限公司,理事单位
