成员名称,成员级别
滁州职业技术学院,理事长单位
滁州城市职业学院,副理事长单位
博西华家用电器有限公司,副理事长单位
安徽中烟工业有限责任公司滁州卷烟厂,副理事长单位
安徽省琅琊山矿业总公司,副理事长单位
安徽金鹏控股有限公司,副理事长单位
安徽白云（集团）商贸有限公司,
滁州国际酒店,
滁州市仁达房地产开发有限公司,
中国电信集团有限公司滁州分公司,
中国移动通信集团安徽有限公司滁州分公司,
中国联合网络通信有限公司滁州市分公司,
滁州市第一人民医院,副理事长单位
滁州市第二人民医院,
滁州市中西医结合医院,
皖东人民医院,
滁州市科学技术情报研究所,
滁州市旅游协会,
滁州市家电协会,
滁州市建筑业协会,
滁州市餐饮行业协会,
安徽广播电视大学滁州分校,
安徽滁州技师学院,
滁州市机电工程学校,副理事长单位
安徽猎豹汽车有限公司,副理事长单位
安徽康佳电子有限公司,副理事长单位
安徽鲲鹏装备模具制造有限公司,副理事长单位
安徽盼盼食品有限公司,副理事长单位
安徽银鹭食品有限公司,副理事长单位
长电科技（滁州）有限公司,副理事长单位
中国扬子集团滁州扬子空调器有限公司,副理事长单位
安徽滁州养元饮品有限公司,副理事长单位
安徽奥丰汽车配件有限公司,
安徽省爱力特家电成套装备有限公司,
安徽坂田电气有限公司,
安徽港铭新材料科技有限公司,
安徽康佳同创电器有限公司,
安徽信盟机电装备制造有限公司,
滁州安兴环保彩纤有限公司,
滁州富达机械电子有限公司,
滁州格美特科技有限公司,
滁州兴扬汽车有限公司,
滁州银兴电气有限公司,
滁州永强汽车制造有限公司,
滁州东菱电器有限公司,
中国扬子集团滁州客车制造有限公司,
中能柔性光电（滁州）有限公司,
滁州嘉泰科技有限公司,
安徽金帅洗衣机有限公司,
安徽开润股份有限公司,
康迈斯（滁州）机电有限公司,
安徽乐隆隆食品科技有限公司,
安徽冠景旅游开发有限责任公司,副理事长单位
安徽博特金属复合材料制造有限公司,
中国家用电器研究院（安徽分院）,副理事长单位
安徽机电工程学校,
滁州汽车与家电技术及装备研究院,副理事长单位
滁州市滁菊研究所,副理事长单位
安徽奥特佳科技发展有限公司,
安徽江淮扬天汽车股份有限公司,
滁州碧桂园凤凰酒店管理有限公司,
滁州市博康模具塑料有限公司,
滁州市凤凰制冷配件实业有限公司,
滁州格锐矿业有限责任公司,
滁州市宏源喷涂有限公司,
滁州市二职高,
滁州市新江玻璃制品有限责任公司,
滁州舜宇模具有限责任公司,
信尔德科技有限公司,
安徽天大企业（集团）有限公司,副理事长单位
安徽天康（集团）股份有限公司,副理事长单位
天长职教中心,副理事长单位
安徽蓝德集团股份有限公司,
安徽埃克森科技集团有限公司,
安徽省天马泵阀集团有限公司,
安徽金禾实业股份有限公司,副理事长单位
安徽新贝发制笔城有限公司,副理事长单位
嘉吉动物蛋白（安徽）有限公司,副理事长单位
安徽龙源风力发电有限公司,副理事长单位
安徽金邦医药化工有限公司,
安徽盛世高科轨道装备有限公司,
安徽先特能源装备有限公司,
安徽图强文具股份有限公司,
安徽中联能源有限公司,
来安职高,
安徽明光酒业有限公司,
明光浩淼安防科技股份公司,
明光市三友电子有限公司,
明光职教中心,
安徽全柴集团有限公司,副理事长单位
安徽豪业通信技术有限公司,
滁州悦达实业有限公司,
全椒职教中心,
安徽华塑股份有限公司,副理事长单位
中盐东兴盐化股份有限公司,副理事长单位
安徽泉盛化工有限公司,
定远县职业教育中心学校,
定远县四方职业技术学校,
安徽德力日用玻璃股份有限公司,副理事长单位
台玻凤阳硅砂有限公司,副理事长单位
凤阳职教中心,
凤阳县技工学校,
滁州市琅琊山森林旅行社,
滁州斯亚酒店有限公司,
滁州艾普机电科技有限公司,
滁州市公共交通有限公司,
中旭建设集团有限公司,
安徽凯迪建业有限公司,
滁州长城国际动漫旅游创意园有限公司,
滁州市城南建筑安装有限公司,
滁州市会峰建筑安装有限公司,
滁州长城祥生置业有限公司,
滁州惠科光电科技有限公司,副理事长单位
安徽东鹏食品饮料有限公司,
滁州市艾洛维电子科技有限公司,
立讯精密工业（滁州）有限公司,
安徽嘉安汽车有限公司,
安徽智杰建筑工程有限公司,
滁州市印科模塑有限责任公司,
星恒电源（滁州）有限公司,
安徽统凌科技新能源有限公司,
欣阳精密科技（滁州）有限公司,
达亮电子（滁州）有限公司,
安徽胜华波汽车电器有限公司,
安徽沛愉包装科技有限公司,
云伙计电子商务集团有限公司,
昇兴（安徽）包装有限公司,
安徽阿尔泰克铝业材料科技有限公司,
安徽省启明教育咨询有限公司,
安徽卓畅新材料有限公司,
