成员名称,成员大类
安徽城市管理职业学院,
合肥师范学院,
中共安徽省委机关幼儿园,
日本国际教育研修协会,行业协会
中共安徽省直机关工委党校,
安徽广播电视大学省直分校,
安徽工商行政管理学校,
合肥工业学校,
安徽建设学校,
安徽省特殊教育中专学校,
安徽工商联培训中心,
北京红缨教育集团安徽分部,
南昌向远轨道技术学校,
颍上县职业教育中心,
怀远县职业教育中心,
蚌埠工艺美术学校,
砀山职业教育中心,
江苏淮安现代有轨电车经营有限公司,企业
中铁一局合肥轨道交通项目部,
合肥客运有限公司,企业
上海交通大学国家健康产业研究院安徽研究院,
合肥新站高新区磨店社区,
合肥市庐阳区红旗社区,
南京朗诗常青藤养老有限公司,企业
合肥九久夕阳红老年城,
安徽同力房产咨询有限公司,企业
中铁建（北京）物业公司,企业
中铁国际城物业管理公司,企业
上海万科物业服务有限公司合肥分公司,企业
保利物业管理有限公司安徽分公司,企业
合肥阡陌物业服务有限公司,企业
安徽皖星生态园艺有限公司,企业
南京韦博服饰公司,企业
铜陵春秋装饰工程有限公司合肥分公司,企业
安徽宇航派蒙防辐射科技股份有限公司,企业
合肥畅航邮轮管理服务有限公司,企业
安徽远洋船员管理有限公司,企业
合肥两淮豪生大酒店有限责任公司,企业
合肥明发国际大酒店有限公司,企业
合肥德邦物流股份有限公司,企业
英运物流（上海）有限公司,企业
安徽新华传媒股份有限公司,企业
安徽广播电视台海豚红杜鹃教育传播有限公司,企业
安徽国购科创企业管理有限公司,企业
上海统一星巴克咖啡有限公司,企业
阳光人寿保险股份有限公司合肥电销中心,企业
中国人寿保险股份有限公司合肥电销中心,企业
安徽皖瑞会计师事务所,
中海微银资产管理有限公司,企业
上会会计师事务所安徽分所,
徽商银行合肥分行和平路支行,
江阴日毛纺纱有限公司,企业
合肥科博环保设备有限责任公司,企业
合肥麟海商贸有限公司,企业
安徽东君新能源科技有限公司,企业
安徽玉和祥工程机械有限公司,企业
五矿二十三冶建设集团有限公司,企业
中铁合肥建筑市政工程设计研究院有限公司,企业
安徽广厦建筑（集团）股份有限公司,企业
安徽新动力建设工程有限公司,企业
安徽安天利信工程管理股份有限公司,企业
安徽省欧盛装饰工程有限公司,企业
合肥京东方光电科技有限公司,企业
合肥鑫晟光电科技有限公司,企业
合肥京东方显示技术有限公司,企业
安徽尊贵电器集团有限公司,企业
合肥北大青鸟一元校区,
合肥影艺视频技术有限公司,企业
安徽遥知信息技术有限公司,企业
方正宽带合肥公司,企业
全球电商网,
合肥易格网络信息科技有限公司,企业
合肥泰格网络技术服务有限公司,企业
合肥云宝信息技术有限公司,企业
合肥澳视网络科技发展有限公司,企业
合肥清默网络技术有限公司,企业
合肥永信信息产业股份有限公司,企业
合肥软通动力信息技术有限公司,企业
合肥毅航通信技术有限公司,企业
义乌橙行网络科技有限公司,企业
赛尔网络有限公司合肥分公司,企业
杭州迪普科技股份有限公司,企业
中国联通合肥分公司,企业
中国电信合肥分公司,企业
中国移动肥东分公司,企业
合肥安家网络有限公司,企业
合肥夺慕商贸有限公司,企业
安徽德润融资租赁股份有限公司,企业
合肥八戒财税有限公司,企业
安徽省众创联盟创业服务有限公司,企业
合肥硕颜日化销售有限公司,企业
合肥紫沫文化传媒有限公司,企业
安徽世联车业集团,
安徽驾道优品商业管理有限公司,企业
安徽大业茗丰茶叶有限公司,企业
杭州娃哈哈集团宏盛食品饮料营销有限公司,企业
安徽天晟绿地建设公司时间园艺多肉植物基地,企业
合肥垦荒人健康管理咨询有限公司,企业
安徽纳博文化教育有限责任公司,企业
安徽金泉集团公司,企业
合肥泰格网络技术有限公司,企业
上海曼恒数字技术股份有限公司,企业
安徽兰智大数据科技有限公司,企业
安徽影艺科技有限公司,企业
江苏利步瑞服装有限公司,企业
安徽未来港教育咨询股份有限公司,企业
南京小银星艺术培训学校,
安徽泓铭财务管理有限公司,企业
安徽迪科数金科技有限公司,企业
安徽卓泰安保有限公司,企业
京东物流（华东区）,
中海宏洋物业管理有限公司合肥分公司,企业
合肥洪海龙腾电子商务有限公司,企业
上海永升物业管理有限公司合肥分公司,企业
合肥中车轨道交通车辆有限公司,企业
合肥市庐阳区大杨镇庐园长者服务中心,
安徽省啦啦操协会,行业协会
合肥华英幼儿园星海园,
合肥市淮河花园幼儿园,
中铁佰和佰乐（巢湖）健康养老产业有限公司,企业
合肥一砖一瓦建筑科技有限公司,企业
安徽省长城物业管理有限公司,企业
上海盾联信息技术有限公司,企业
合肥新汇成微电子有限公司,企业
海龟控股有限公司,企业
