成员名称,成员级别
山东钢铁集团有限公司,名誉理事长单位
山东省冶金工业总公司,名誉理事长单位
山东工业职业学院,理事长单位
中国职工教育和职业培训协会冶金分会,副理事长单位
山东省职工教育协会,副理事长单位
山东金属学会,副理事长单位
淄博市建材冶金行业协会,副理事长单位
山东理工大学化学化工学院,副理事长单位
山东建筑大学材料科学与工程学院,副理事长单位
淄博职业学院,副理事长单位
日照职业技术学院,副理事长单位
滨州职业学院,副理事长单位
山东钢铁股份有限公司,副理事长单位
济钢集团有限公司,副理事长单位
莱芜钢铁集团有限公司,副理事长单位
山东钢铁集团日照有限公司,副理事长单位
山东钢铁集团矿业有限公司,副理事长单位
山东耐火材料集团公司,副理事长单位
南京钢铁股份有限公司,副理事长单位
青岛特殊钢铁有限公司,副理事长单位
日照钢铁有限公司,副理事长单位
山东魏桥铝电有限公司,副理事长单位
山东南山铝业股份有限公司,副理事长单位
山东钢铁集团有限公司钢铁研究院,副理事长单位
山东省冶金设计院股份有限公司,副理事长单位
莱芜职业技术学院,理事单位
山东铝业职业学院,理事单位
山东化工技师学院,理事单位
山东省淄博市工业学校,理事单位
淄博建筑工程学校,理事单位
淄博机电工程学校,理事单位
冠县职业教育中心,理事单位
山东省冶金科学研究院,理事单位
《山东冶金》编辑部,理事单位
山东星科智能科技股份有限公司,理事单位
山东莱钢永峰钢铁有限公司,理事单位
石横特钢集团有限公司,理事单位
山东钢铁集团淄博张钢有限公司,理事单位
山东金岭铁矿有限公司,理事单位
山东冶金机械厂有限公司,理事单位
山东矿机集团股份有限公司,理事单位
山东钢铁集团永锋淄博有限公司,理事单位
山东耐材集团鲁耐窑业有限公司,理事单位
山东恒邦冶炼股份有限公司,理事单位
山东泰山钢铁集团有限公司,理事单位
山东鲁丽钢铁有限公司,理事单位
西王集团有限公司,理事单位
青岛云路先进材料技术有限公司,理事单位
潍坊特钢集团有限公司,理事单位
山东墨龙石油机械股份有限公司,理事单位
山东鲁铭高温材料股份有限公司,理事单位
新道科技股份有限公司,理事单位
淄博双信志远有限责任会计师事务所,理事单位
临沂三德特钢有限公司,理事单位
莱芜市天铭冶金设备有限公司,理事单位
山东瑞浩重型机械有限公司,理事单位
