成员名称,成员类型,成员级别
山东畜牧兽医职业学院,,理事长单位
山东省畜牧协会,行业协会,副理事长单位
聊城职业技术学院,,副理事长单位
潍坊工商职业学院,,副理事长单位
中国派斯德股份有限公司,企业,副理事长单位
江苏益客食品有限公司,企业,副理事长单位
山东益生种畜禽股份有限公司,企业,副理事长单位
山东大北农农牧科技有限责任公司,企业,副理事长单位
山东丰沃新农农牧科技有限公司,企业,副理事长单位
中慧农牧股份有限公司,企业,副理事长单位
即墨市第一职业中等专业学校,,副理事长单位
兖州市绿源食品有限公司,企业,常务理事单位
青岛九联集团股份有限公司,企业,常务理事单位
得利斯集团有限公司,企业,常务理事单位
东营澳亚现代牧场有限公司,企业,常务理事单位
山东合力牧业有限公司,企业,常务理事单位
潍坊乔新食品有限公司,企业,常务理事单位
山东金铸基药业有限公司,企业,常务理事单位
齐鲁动物保健品有限公司,企业,常务理事单位
山东寿光天成食品集团有限公司,企业,常务理事单位
山东兴安动物药业有限公司,企业,常务理事单位
山东省动物卫生监督所,,常务理事单位
山东省滨州畜牧兽医研究院,,常务理事单位
威海金牌生物科技股份有限公司,企业,常务理事单位
潍坊天合饲料有限公司,企业,常务理事单位
山东安池农牧科技有限公司,企业,常务理事单位
潍坊雷曼生物科技有限公司,企业,常务理事单位
山东宝来利来生物工程股份有限公司,企业,常务理事单位
山东惠康饲料有限公司,企业,常务理事单位
济南历下振牧宠物医院,,常务理事单位
青岛爱诺伴侣动物医院有限公司,企业,常务理事单位
南京艾贝尔宠物有限公司,企业,常务理事单位
山东铭基中慧食品有限公司,企业,常务理事单位
潍坊华英生物科技有限公司,企业,常务理事单位
青岛易邦生物工程有限公司,企业,常务理事单位
山东华辰生物科技有限公司,企业,常务理事单位
莱西市职业中等专业学校,,常务理事单位
曹县梁堤头职业中等专业学校,,常务理事单位
潍坊市双信实业有限公司,企业,理事单位
山东绿洲农牧有限公司,企业,理事单位
海阳市鼎立种鸡有限责任公司,企业,理事单位
聊城天普康地饲料有限公司,企业,理事单位
临清润林牧业有限公司,企业,理事单位
山东华农肉羊良种繁育有限公司,企业,理事单位
潍坊泉泰牧业有限公司,企业,理事单位
潍坊普兰特汉种羊有限公司,企业,理事单位
即墨市店集原创毛皮动物养殖场,,理事单位
青岛润达生物科技有限公司,企业,理事单位
山东布莱凯特黑牛科技股份有限公司,企业,理事单位
山东大地乳业有限公司,企业,理事单位
潍坊东方种猪场,,理事单位
潍坊三农伟业饲料科技有限公司,企业,理事单位
山东寿光慈伦大鸡有限公司,企业,理事单位
寿光凯伦牧业发展有限公司,企业,理事单位
青岛环山托佩克种猪有限公司,企业,理事单位
青岛新雅农业发展有限公司,企业,理事单位
嘉吉动物蛋白（安徽）有限公司,企业,理事单位
黄山德青源种禽有限公司,企业,理事单位
山东海鼎农牧有限公司,企业,理事单位
青岛丰裕养殖有限公司,企业,理事单位
山东鼎泰牧业有限公司,企业,理事单位
双胞胎（集团）股份有限公司,企业,理事单位
山东荣昌育种股份有限公司,企业,理事单位
山东海能生物工程有限公司,企业,理事单位
烟台龙大养殖有限公司,企业,理事单位
山东恩康药业有限公司,企业,理事单位
山东华夏维康农牧科技有限公司,企业,理事单位
山东搜牧网络科技有限公司,企业,理事单位
济南斯帕法斯家禽有限公司,企业,理事单位
济南百准生物检验有限公司,企业,理事单位
济南维康庄园生态农业发展有限公司,企业,理事单位
青岛鼎晟牧业科技有限公司,企业,理事单位
青岛优牧生物科技有限公司,企业,理事单位
潍坊六和饲料有限公司,企业,理事单位
山东省天惠食品有限公司,企业,理事单位
潍坊市康达特药业有限公司,企业,理事单位
青岛普兴生物科技有限公司,企业,理事单位
潍坊中基饲料有限公司,企业,理事单位
青岛新康生物科技有限公司,企业,理事单位
海阳市华隆饲料有限公司,企业,理事单位
山东通威饲料有限公司,企业,理事单位
北京中农联成技术有限公司,企业,理事单位
山东东方海洋科技股份有限公司莱州三山岛分公司,企业,理事单位
潍坊紫鸢牧业发展有限公司,企业,理事单位
中慧农牧股份有限公司预混饲料山东分公司,企业,理事单位
潍坊诚鹿生物科技有限公司,企业,理事单位
枣庄通威饲料有限公司,企业,理事单位
山东金牌畜禽实业有限公司,企业,理事单位
济南市天桥区雷欧宠物医院,,理事单位
望康国际动物医院（北京）有限公司,企业,理事单位
济南市天桥区大一点动物医院,,理事单位
济南历下区派特宠物医院,,理事单位
青岛市市北区宠之爱动物医院,,理事单位
青岛市市北区宝发宠物医院,,理事单位
青岛市至尚宠物医院,,理事单位
滨州市滨城区鸿文宠物医院,,理事单位
淄博新雅格宠物医院,,理事单位
济宁市任城区博爱宠物医院,,理事单位
济南人爱动物医院,,理事单位
泰安市泰山区科山宠物医院,,理事单位
潍坊高新区乐贝宠物医院,,理事单位
烟台市芝罘区爱宠苑宠物医院,,理事单位
东营市春阳宠物医院,,理事单位
威海御犬房宠物服务有限公司,企业,理事单位
山东三元乳业有限公司,企业,理事单位
山东阳春羊奶乳业有限公司,企业,理事单位
山东万泉食品有限公司,企业,理事单位
潍坊紫鸢乳业发展有限公司,企业,理事单位
青岛肯德基有限公司,企业,理事单位
