成员名称,成员大类
东莞市千百意家居装饰有限公司,企业
明佳（香港）实业有限公司,企业
广州市源志诚家纺有限公司,企业
台山市东誉纺织品装饰有限公司,企业
东莞市万江雅兰装饰实业有限公司,企业
深圳市新东兴实业有限公司,企业
佛山菩提树网络科技有限公司,企业
佛山欧若拉照明有限公司,企业
珠海市新洪业家用纺织品有限公司,企业
佛山市雷德克尔创意科技有限公司,企业
深圳深港华艺设计有限公司,企业
广州华哲广告有限公司,企业
佛山市圣芙安装饰设计中心,企业
佛山市卡拉卡罗家居饰品有限公司,企业
佛山市红色动力设计有限公司,企业
广州秦仪企业管理咨询服务有限公司,企业
广东丰凯机械股份有限公司,企业
广州市康尼斯自动化有限公司,企业
广州市中明麻业纺织品有限公司,企业
汕头市澄海区新龙新服饰有限公司,企业
佛山市南海NO.1实业有限公司,企业
深圳市新佳娜服饰有限公司,企业
汕头市澄海区雅丝兰服饰实业有限公司,企业
中山市风飞纱制衣厂,企业
汕头市澄海区万盛毛织厂有限公司,企业
汕头市美莱顺内衣城有限公司,企业
东莞达生制衣有限公司,企业
广东伽懋毛织时装有限公司,企业
汕头市德致电子商务有限公司,企业
佛山市摩力克家居布业有限公司,企业
佛山南方印染股份有限公司,企业
佛山市南海区宏信机械设备有限公司,企业
广州联庄科技有限公司,企业
广州市虹彩染料有限公司,企业
广东溢达纺织有限公司,企业
深圳市良益实业有限公司,企业
佛山市新光针织有限公司,企业
佛山市雅纶纺织有限公司,企业
广州市启新针织有限公司,企业
中山市茗森纺织有限公司,企业
佛山市裕牌纺织有限公司,企业
佛山市顺德金纺集团有限公司,企业
佛山东亚股份有限公司,企业
东莞德永佳纺织制衣有限公司,企业
佛山市南海乾晖纺织有限公司,企业
潮州泰升服饰,企业
广州必维技术检测有限公司,企业
佛山市欣比美纺织有限公司,企业
佛山市科信达纺织检测技术服务有限公司​,企业
佛山市高明区盈富纺织染整有限公司,企业
广东玉蚕纤生态科技有限公司,企业
宁波纺织仪器厂,企业
南通三思机电科技有限公司,企业
增城市新昌景纺织品有限公司,企业
东莞天姿鸟织造有限公司,企业
佛山启航体育用品有限公司,企业
佛山市三水昊通印染有限公司,企业
佛山格绫丝绸有限公司,企业
佛山市樵利化纤织造有限公司,企业
佛山市晟世纺织科技有限公司,企业
佛山标美服饰有限公司,企业
中山时进纺织原料有限公司,企业
佛山市顺德区港纺联纺织有限公司,企业
佛山市南海必得福无纺布有限公司,企业
东莞忆凯制衣有限公司,企业
珠海泓利服饰股份有限公司,企业
佛山市夺彩织造有限公司,企业
中山市奥纺纺织有限公司,企业
广东希布朗集团,企业
深圳市时纬自动化有限公司,企业
佛山市德赛格精工机械有限公司,企业
圣东尼（上海）针织机器有限公司,企业
湖南华升株洲雪松有限公司,企业
佛山市万山针织有限公司,企业
明新弹性织物（中国）有限公司,企业
广东省纺织协会,行业协会或学会
广东省纺织工程学会,行业协会或学会
佛山市纺织服装行业协会,行业协会或学会
佛山市高明区纺织（服装）协会,行业协会或学会
广东无纺布协会,行业协会或学会
广东省家用纺织品行业协会,行业协会或学会
汕头市纺织服装行业商会,行业协会或学会
佛山市设计企业协会,行业协会或学会
顺德纺织商会,行业协会或学会
佛山市质量计量监督检测中心,科研院所、院校
广东省化学纤维研究所,科研院所、院校
南国丝都丝绸博物馆,科研院所、院校
广东产品质量监督检验研究院,科研院所、院校
广东省佛山市华材职业技术学校,科研院所、院校
佛山市南海区盐步职业技术学校,科研院所、院校
中山市沙溪理工学校,科研院所、院校
广州市纺织服装职业学校,科研院所、院校
汕头市纺织服装职业技术学校,科研院所、院校
广东省丝绸职业技术学校,科研院所、院校
江门职业技术学院,科研院所、院校
五邑大学纺织服装学院,科研院所、院校
武汉纺织大学纺织科学与工程学院,科研院所、院校
广东省均安牛仔服装研究院,科研院所、院校
深圳市计量质量检测研究院（深圳市纤维纺织检验所）,科研院所、院校
