成员名称,成员类型
广州金发碳纤维新材料发展有限公司,企业
广州盖德信息科技有限公司,企业
广州柏盛声光科技有限公司,企业
广州卓远虚拟现实科技有限公司,企业
广东中车检机动车检测技术有限责任公司,企业
南湖国际旅行社股份有限公司,企业
广州维博产品设计有限公司,企业
广州毕加展览服务有限公司,企业
通标标准技术服务有限公司广州分公司,企业
广州鑫连盈国际货运代理有限公司,企业
广州造纸股份有限公司,企业
广东星联精密机械有限公司,企业
广东省广告集团股份有限公司,企业
佛山海尔电冰柜有限公司,企业
广州固仑生物科技有限公司,企业
广东太阳神集团有限公司,企业
东莞市华井生物科技有限公司,企业
广州易用设计有限公司,企业
广东金骏康生物技术有限公司,企业
广州市同远摄影有限公司,企业
珠海赛纳打印科技股份有限公司,企业
江门科隆生物技术股份有限公司,企业
广州市威伦食品有限公司,企业
广东拜登投资有限公司,企业
深圳市头狼电子商务有限公司,企业
广东东成立亿集团有限公司,企业
广州双桥股份有限公司,企业
广州市味研生物工程科技有限公司,企业
广州环亚化妆品科技有限公司,企业
佛山顾地塑胶有限公司,企业
广东农垦燕岭大厦有限公司,企业
广州亚普机电设备科技有限公司,企业
广州市万世德智能装备科技有限公司,企业
广州达意隆包装机械股份有限公司,企业
蓝盾信息安全技术股份有限公司,企业
广州市狮域设计顾问有限公司,企业
佛山市龙烨贸易有限公司,企业
广东平航机械有限公司,企业
广东金冠科技股份有限公司,企业
广东奥迪威传感科技股份有限公司,企业
广东诚安信会计师事务所有限公司,企业
天意有福科技股份有限公司,企业
深圳市本荣科技有限公司,企业
香港唐宫饮食集团,企业
广州丰彩彩印有限公司,企业
深圳中科未来环境工程有限公司,企业
广州裕丰汽车配件有限公司,企业
广州标际包装设备有限公司,企业
广东仕诚塑料机械有限公司,企业
鸿利智汇集团股份有限公司,企业
广东达安项目管理股份有限公司,企业
广州诺特软件开发有限公司,企业
白天鹅宾馆有限公司,企业
广东百美倚德生物科技有限公司,企业
广东茂德公食品集团有限公司,企业
东莞市尤美设计装饰工程有限公司,企业
周生生（中国）商业有限公司,企业
傲胜（中国）商业有限公司,企业
南储仓储管理集团有限公司,企业
广州傲云网络科技有限公司,企业
中国航发中传机械有限公司,企业
广州鸿正会计师事务所有限公司,企业
广州市归原科文企业管理服务有限公司,企业
广东雅道生物科技有限公司,企业
广州大洋教育科技股份有限公司,企业
新道科技股份有限公司,企业
互动派科技股份有限公司,企业
广东泰迪智能科技股份有限公司,企业
广东轩辕网络科技股份有限公司,企业
广东贝源检测技术股份有限公司,企业
广东诺登机电工程有限公司,企业
广州维力医疗器械股份有限公司,企业
海南白马媒体广告有限公司,企业
华润三九医药股份有限公司,企业
广东南方物流集团有限公司,企业
广东星巴克咖啡有限公司,企业
金蝶软件（中国）有限公司,企业
广东万和新电气股份有限公司,企业
