成员名称,成员级别
广西经贸职业技术学院,理事长
广西商贸高级技工学校,副理事长
广西钦州商贸学校,副理事长
广西壮族自治区供销合作联社人事教育处,副理事长
广西梧州茶厂,副理事长
广西梧州商贸学校,常务理事单位
广西工贸职业技术学校,常务理事单位
广西工贸高级技工学校,常务理事单位
广西桂林商贸旅游技工学校,常务理事单位
广西柳州商贸技工学校,常务理事单位
宁明县职业技术学校,常务理事单位
大新县职业技术学校,常务理事单位
广西田阳县农产品综合批发市场,常务理事单位
南宁市桂果香果品有限公司,常务理事单位
广西供销合作社桂星旅游贸易公司,常务理事单位
新道科技股份有限公司,常务理事单位
广西南宁桂特商贸有限公司,常务理事单位
广西交通投资集团钦州高速公路运营有限公司,常务理事单位
广西南城百货有限责任公司,常务理事单位
广西南宁梦之岛水晶城百货有限公司,常务理事单位
南宁市人人乐商业有限公司,常务理事单位
南宁市凯程电子科技有限公司,常务理事单位
南方黑芝麻集团股份有限公司,常务理事单位
桂林俏天下家居用品集团有限公司,常务理事单位
广西凯利仕房地产开发有限公司,常务理事单位
柳州市天宝物流有限责任公司,常务理事单位
