成员名称,成员类型
德州职业技术学院（德州市技师学院）,
齐河职业中专学校（德州工商学校）,
德州普利森职业中专,
德州市华忆职业技术学校,
禹城职教中心,
陵县职业中专,
武城职业中专,
庆云职业中专,
宁津职业中专,
乐陵职业中专,
夏津职业中专,
平原职业中专,
西安电力专修学院,
西安科技干部专修学院,
甘肃信息工程技术中等专业学校,
新疆工业经济学校,
内蒙古矿冶机电专修学院,
内蒙古赤峰宁城县职教中心,
青海玉树州职业技术学校,
青海海西州职业技术学校,
青海职工联合大学直属分校,
青海省互助县职业中专,
禹城市综合高中,
陕西电大新城分校,
沂蒙铁路职业技术学校,
新疆奇台中等职业技术学校,
山东商务技工学校,
山东锦泽技工学校,
中国重型汽车集团桥箱有限公司,企业
济南钢铁集团,
莱芜钢铁集团有限公司,企业
山东海化集团有限公司,企业
胜利油田高原石油装备有限公司,企业
青岛北海船舶重工有限责任公司,企业
中船江南重工股份有限公司,企业
上海电气人力资源有限公司,企业
上海广电电子股份有限公司,企业
首钢京唐钢铁联合有限责任公司,企业
中冶京唐建设有限公司,企业
中车集团济南车辆有限公司,企业
一汽山东汽车改装厂,
包头北奔重型汽车有限公司蓬莱分公司,企业
沪东中华造船（集团）有限公司,企业
上海焦化有限公司,企业
上海外高桥造船有限公司,企业
中国机械工业第五建设工程公司,企业
中冶天工建设有限公司,企业
天津二十冶建设有限公司,企业
天津冶金集团轧一制钢有限公司,企业
天津新港船舶重工有限责任公司,企业
中船重工大连船舶工业工程公司,企业
中冶集团华冶资源开发有限责任公司,企业
蓬莱巨涛海洋工程重工有限公司,企业
上海船厂船舶有限公司,企业
江南造船（集团）有限责任公司,企业
上海宝冶建设有限公司,企业
中国移动通信集团山东有限公司,企业
中国石油天然气港枣管道输油公司,企业
中国水利水电第十四工程局有限公司,企业
南京云海特种金属股份有限公司,企业
河北省首钢迁安钢铁有限责任公司,企业
中国石油天然气管道局中原输气公司,企业
中国电网德州分公司中茂实业有限公司,企业
中石化石油勘探研究院石油钻井研究所,
中央储备粮德州直属库,
中冶宝钢技术服务有限公司,企业
富士康科技集团,
山东魏桥创业集团有限公司,企业
日照钢铁控股集团有限公司,企业
福田雷沃国际重工股份有限公司,企业
山东时风集团有限责任公司,企业
山东万达集团股份有限公司,企业
南山集团,
江苏沙钢集团,
中国吉利控股集团,
山东三角集团有限公司,企业
库珀成山（山东）轮胎有限公司,企业
济南钢铁集团商业贸易公司,企业
济钢集团重工机械有限公司,企业
山东莱钢永锋钢铁有限公司,企业
常柴股份有限公司,企业
南京钢铁联合有限公司,企业
山东保龄宝生物技术有限公司,企业
德州实华化工有限公司,企业
天津荣程联合钢铁集团有限公司,企业
奥的斯电梯（中国）投资有限公司,企业
中国石油冀东油田公司,企业
海尔集团公司,企业
天津钢管集团股份有限公司,企业
海信集团有限公司,企业
烟台华大化学工业有限公司,企业
杭州娃哈哈集团有限公司,企业
中化平原化工有限公司,企业
德州银座商城股份有限公司,企业
青岛高校软控股份有限公司,企业
青岛渤海农业发展有限公司,企业
山东华能股份有限公司德州发电厂,企业
力诺集团股份有限公司,企业
威海华东数控有限公司,企业
皇明集团,
日照五征集团,
荣成神飞船舶制造有限公司,企业
威海蓝星玻璃股份有限公司,企业
山东威高骨科材料有限公司,企业
山东威达机械股份有限公司,企业
赛轮股份有限公司,企业
山东华夏集团有限公司,企业
邹平铁雄焦化有限公司,企业
山东华鲁恒升集团有限公司,企业
德棉股份有限公司,企业
上海紫江企业集团有限公司,企业
上海振华港口机械集团股份有限公司,企业
上海大众汽车集团,
安徽江淮汽车股份有限公司,企业
合肥美菱股份有限公司,企业
江苏金智科技股份有限公司,企业
中国海洋石油总公司天津海洋石油工程,企业
北京动力源科技股份公司,企业
北京大唐电信,
达丰（上海）电脑有限公司,企业
鲁南制药集团股份有限公司,企业
烟台万方物流有限公司,企业
威海光威集团,
烟台交运集团,
济南卢堡啤酒有限公司,企业
济南钢铁集团总公司金属制品厂,企业
济南钢铁集团球墨铁管有限公司,企业
济南钢铁集团新事业有限公司,企业
天津荣亨集团,
中国第二十二冶金建设公司珠海检修公司,企业
济钢集团山东建设工程有限公司,企业
中国重汽卡车股份有限公司,企业
山东移动通信有限公司德州分公司,企业
中国网通德州分公司,企业
山东齐鲁电机制造有限公司,企业
济南科赛基农化工有限公司,企业
唐星生物科技公司,企业
烟台轴承仪器有限公司,企业
山东丰汇集团有限公司,企业
山东双轮集团股份有限公司,企业
淄博商厦股份有限公司,企业
德州晶华集团有限公司,企业
山东德州扒鸡集团有限公司,企业
山东德州百货大楼（集团）有限责任公司,企业
山东古贝春集团,
山东禹王亭集团,
山东德建集团有限公司,企业
德州天元集团有限责任公司,企业
山东德兴建设集团有限公司,企业
德州克代尔啤酒有限公司,企业
山东新华印刷厂德州厂,
德州元济纺织有限公司,企业
上海松川精密电子公司,企业
上海机床厂有限公司,企业
天津龙威粮油工业有限公司,企业
迁安轧一钢铁集团有限公司,企业
唐山长城钢铁集团燕山钢铁有限公司,企业
北京岳洋通物资有限公司,企业
中国华能集团京张高速公路有限责任公司,企业
河北省冀星高速公路有限公司,企业
华硕电脑股份有限公司,企业
山东新华医疗器械股份有限公司,企业
荣城华泰汽车有限公司,企业
青岛太平货柜有限公司,企业
晋亿集团晋德有限公司,企业
河北新钢钢铁集团有限公司,企业
中国石油德州分公司,企业
德州中联集团大坝水泥,
德州市公路局,
德州联合石油机械有限公司,企业
中国电信德州分公司,企业
中粮黄海粮油工业（山东）有限公司,企业
西门子（中国）有限公司济南办事处,企业
山东鲁骏电力设备有限公司,企业
九羊钢铁集团,
齐鲁证券,
威海嘉润石化物流有限公司,企业
烟台杰瑞设备有限公司,企业
滨奥飞机制造有限公司,企业
中天仕名（淄博）重型机械有限公司,企业
山东坤宇金属制品有限公司,企业
山东裕源集团,
泰盈科技有限公司,企业
晶华集团振华有限公司,企业
德州虹桥染料化工有限公司,企业
德州恒力电机有限责任公司,企业
德州弈新科海电子有限公司,企业
德州华宇电力材料有限公司,企业
山东田丰生物科技有限公司,企业
德州金车集团有限公司,企业
德州大酒店,
美丽华大酒店,
山东中茂实业集团有限公司贵都大酒店,企业
德州凯元渡假村大酒店,
中国水利水电十三局机电安装分局,
