成员名称,成员类型
南京交通职业技术学院,高职院校
江苏航运职业技术学院,高职院校
江苏海事职业技术学院,高职院校
南京铁道职业技术学院,高职院校
江苏建筑职业技术学院,高职院校
江苏航空职业技术学院,高职院校
江苏联合职业技术学院,高职院校
江苏安全技术职业学院,高职院校
无锡南洋职业技术学院,高职院校
江苏汽车技师学院,中职院校
江苏省无锡交通高等职业技术学校,中职院校
江苏省交通技师学院,中职院校
苏州建设交通高等职业技术学校,中职院校
南京金陵高等职业职业技术学校,中职院校
南京江宁高等职业技术学校,中职院校
南京交通中等专业学校（南京交通技师学院）,中职院校
江苏省阜宁中等专业学校学校,中职院校
无锡汽车工程高等职业技术学校,中职院校
江苏省盐城技师学院,中职院校
江苏省交通运输厅,政府部门
南京市江宁区汽车流通协会,行业协会
南京汽车维修行业协会,行业协会
《汽车维护与修理》杂志社,行业协会
江苏省交通物流协会,行业协会
江苏省交通建设监理协会,行业协会
江苏省综合交通运输学会运输分会,行业协会
江苏省交通会计协会,行业协会
苏汽集团有限公司,企业
江苏省港口集团有限公司,企业
江苏省交通工程集团有限公司,企业
江苏南大苏富特智能交通科技有限公司,企业
南京地铁集团有限公司,企业
上汽大众汽车有限公司,企业
一汽-大众汽车有限公司,企业
江苏康众汽配有限公司,企业
江苏华海汽车销售集团有限公司,企业
江苏兆信工程项目管理有限公司,企业
江苏恒基路桥有限公司,企业
舍弗勒（南京）有限公司,企业
上海尚强信息科技有限公司,企业
江苏东交智控科技集团股份有限公司,企业
中路交科科技股份有限公司,科研机构
南京理工自动化研究院有限公司,科研机构
江苏智行未来汽车研究院有限公司,科研机构
多伦科技股份有限公司,科研机构
苏交科集团股份有限公司,科研机构
华设设计集团股份有限公司,科研机构
