成员名称,成员类型
南京信息职业技术学院,高职
江苏省洪泽中等专业学校,中职
江苏省高港中等专业学校,中职
南京市江宁中等专业学校,中职
江苏省丹阳中等专业学校,中职
江苏省金湖中等专业学校,中职
江苏省淮安工业中等专业学校,中职
江苏省涟水中等专业学校,中职
江苏省赣榆中等专业学校,中职
扬州高等职业技术学校,中职
江苏省沛县中等专业学校,中职
阜宁县职业技术教育中心,中职
江苏省海安中等专业学校,中职
江苏省宿豫中等专业学校,中职
江苏省锡山中等专业学校,中职
南京市六合中等专业学校,中职
江苏省海门中等专业学校,中职
仪征技师学院,中职
江苏省吴江中等专业学校,中职
江苏省泗阳中等专业学校,中职
江苏省金坛中等专业学校,中职
江苏省高邮中等专业学校,中职
江苏省丹徒中等专业学校,中职
南京市浦口中等专业学校,中职
江苏省张集中等专业学校,中职
江苏省丰县中等专业学校,中职
江苏省高淳中等专业学校,中职
江苏省滨海中等专业学校,中职
南京市玄武中等专业学校,中职
江苏省如东中等专业学校,中职
江苏省如皋中等专业学校,中职
江苏省响水中等专业学校,中职
江苏省陶都中专专业学校,中职
江苏省灌云中等专业学校,中职
无锡旅游商贸高等职业技术学校,中职
苏州高等职业技术学校,中职
盐城市经贸高级职业学校,中职
江苏省南京工程高等职业学校,中职
南京卫生高等职业技术学校,中职
江苏省射阳中等专业学校,中职
江阴市华姿中等专业学校,中职
宜兴高等职业技术学校,中职
南京技师学院,中职
南京江宁中等专业学校,中职
常州铁道高等职业技术学校,中职
江苏省靖江中等专业学校,中职
江苏省徐州经贸高等职业学校,中职
江苏省大丰中等专业学校,中职
南京市新港中等专业学校,中职
南京市莫愁中等专业学校,中职
江苏省宿迁中等专业学校,中职
江苏省盱眙中等专业学校,中职
江苏省淮阴中等专业学校,中职
江苏省昆山第一中等专业学校,中职
江苏省连云港工贸高等职业技术学校,中职
江苏省邳州中等专业学校,中职
江苏省沭阳中等专业学校,中职
江苏省兴化中等专业学校,中职
无锡江南中等专业学校,中职
江苏省无锡交通高等职业技术学校,中职
江苏省无锡汽车工程中等专业学校,中职
盐城机电高等职业技术学校,中职
江苏省苏州丝绸中等专业学校,中职
江阴商业中等专业学校,中职
江苏省连云港中等专业学校,中职
启东市第二中等专业学校,中职
常州信息职业技术学院,高职
淮安信息职业技术学院,高职
江苏信息职业技术学院,高职
福建信息职业技术学院,高职
重庆电子工程职业学院,高职
山东电子职业技术学院,高职
苏州信息职业技术学院,高职
乐山职业技术学院,高职
武汉职业技术学院,高职
新疆机电职业技术学院,高职
南京南瑞继保电气有限公司,企业
南京长江电子信息产业集团有限公司,企业
海力士-意法半导体有限公司,企业
昆山开发区人力资源有限公司,企业
京信通信技术（广州）有限公司,企业
江苏金智科技股份有限公司,企业
南京夏普电子有限公司,企业
LG化学南京电子信息材料有限公司,企业
南京泰之联无线科技有限公司,企业
南京嘉环科技有限公司,企业
中央商场云中央科技有限公司,企业
中船重工鹏力（南京）智能装备系统有限公司,企业
