成员名称,成员类型
南京科技职业学院,
常州工程职业技术学院,
扬州工业职业技术学院,
徐州工业职业技术学院,
南通江山农药化工股份有限公司,企业
南京红宝丽股份有限公司,企业
徐州生物工程职业技术学院,
南京化工技师学院,
江苏省泰兴中等专业学校,
常州刘国钧高等职业技术学校,
江苏省海门中等专业学校,
中石化南化集团有限公司,企业
南京莫愁中等专业学校,
中石化扬子石化股份有限公司,企业
镇江市高等专科学校,
江苏省连云港中等专业学校,
江阴职业技术学院,
江苏省南京工程高等职业学校,
镇江高等职业技术学校,
扬农化工集团有限公司,企业
江苏华昌化工股份有限公司,企业
江苏省徐州医药高等职业学校,
华东石油技师学院,
江苏恩华药业集团有限公司,企业
新浦化学（泰兴）有限公司,企业
江苏常隆化工有限公司,企业
江苏苏化集团有限公司,企业
南京六合中等专业学校,
江苏省盐城技师学院,
江苏省太仓中等专业学校,
江苏省惠山中等专业学校,
扬州职业大学,
南京浦口中等专业学校,
常熟市滨江职业技术学校,
江苏省泗阳中等专业学校,
江苏省如皋中等专业学校,
