成员名称,成员类型
雨润集团,企业
亿滋食品有限公司,企业
蒙牛乳业（集团）股份有限公司,企业
完美（中国）有限公司,企业
江苏洋河酒厂股份有限公司,企业
江苏今世缘酒业股份有限公司,企业
苏州都好食品有限责任公司,企业
无锡艾迪花园酒店有限公司,企业
苏果超市有限公司,企业
江苏中央商场新亚股份有限公司,企业
淮安快鹿牛奶有限公司,企业
江苏淮安苏食肉品有限公司,企业
旺旺食品（淮安）有限公司,企业
苏州好利来食品有限公司,企业
江苏海隆国际商贸有限公司,企业
江苏京东信息技术有限公司,企业
苏宁易购股份有限公司,企业
百威（宿迁）啤酒有限公司,企业
江苏白玫糖业有限公司,企业
江苏分金亭酒业有限公司,企业
江苏纳克生物工程有限公司,企业
江苏勤善堂健康产业有限公司,企业
江苏省农垦麦芽有限公司,企业
苏州雷允上健康养生有限公司,企业
常州富力喜来登酒店,企业
淮安国信大酒店,企业
淮扬菜集团股份有限公司,企业
南京城市名人酒店,企业
同庆楼餐饮股份有限公司,企业
吴江宾馆,企业
江苏井神盐化股份有限公司,企业
常熟市大虞食品有限公司,企业
常州和合圆缘食品有限公司,企业
高邮市邮辉食品有限公司,企业
淮安奥斯忒食品有限公司,企业
淮安淮测检测科技有限公司,企业
淮安市金鸡满堂食品有限公司,企业
淮安天参农牧水产有限公司,企业
嘉吉动物蛋白（安徽）有限公司,企业
江苏大喜来食品有限公司,企业
江苏德普检测技术有限公司,企业
江苏汉邦科技有限公司,企业
江苏淮安双汇食品有限公司,企业
江苏金斯瑞生物科技有限公司,企业
江苏省百岁园健康管理有限公司,企业
江苏汤沟两相和酒业有限公司,企业
江苏万千食品投资有限公司,企业
江苏虞衡食品有限公司,企业
江苏蕴之宝食品科技有限公司,企业
江苏张家港酿酒有限公司,企业
津味（上海）餐饮管理有限公司苏州分公司,企业
南京梦青堂食品有限公司,企业
南京南农食品有限公司,企业
南京娃哈哈饮料有限公司,企业
青岛啤酒（宿迁）有限公司,企业
苏州市蓝天膳食服务有限公司,企业
苏州天康生物科技有限公司,企业
太仓市飞凤食品有限公司,企业
泰州安井食品有限公司,企业
无锡华顺民生食品有限公司,企业
浙江一鸣食品股份有限公司,企业
正大食品（宿迁）有限公司,企业
正大食品（徐州）有限公司,企业
中储粮镇江粮油有限公司,企业
中粮麦芽（江阴）有限公司,企业
中粮肉食（江苏）有限公司,企业
淮安澳华农牧有限公司,企业
中船重工鹏力（南京）塑造科技有限公司,企业
江苏食品药品职业技术学院,院校
江南大学食品学院,院校
南京农业大学食品科技学院,院校
江苏海洋大学食品科学与工程学院,院校
淮阴工学院,院校
河南省食品职业教育集团,院校
苏州农业职业技术学院,院校
江苏旅游职业学院,院校
广东轻工职业技术学院,院校
广东食品药品职业技术学院,院校
贵州轻工职业技术学院,院校
江苏农牧科技职业学院,院校
江苏农林职业技术学院,院校
玉溪农业职业技术学院,院校
无锡商业职业技术学院,院校
江苏省淮阴商业学校,院校
江苏省盱眙中等专业学校,院校
江苏省淮安生物工程高等职业学校,院校
淮安市高级职业技术学校,院校
兰州大学高新技术淮安研究院,科研机构
中国科学院生物物理研究所淮安研究中心,科研机构
中国食品工业协会,行业协会
中国轻工业联合会,行业协会
江苏省酒类行业协会,行业协会
江苏省餐饮行业协会,行业协会
江苏省食品工业协会,行业协会
淮安市食品安全协会,行业协会
中华全国供销合作总社,政府部门
江苏省食品药品监督管理局,政府部门
淮安市人民政府,政府部门
淮安经济技术开发区,政府部门
淮安市淮阴区人民政府,政府部门
淮安市洪泽区人民政府,政府部门
淮安市科学技术局,政府部门
淮安市农业农村局,政府部门
江苏淮安国家农业科技园区,政府部门
淮安市卫生监督所,政府部门
