成员名称,成员级别
江西省旅游协会,理事长单位
江西旅游商贸职业学院,理事长单位
南昌铁路国际旅行社,副理事长单位
江西联胜旅业股份有限公司,副理事长单位
江西金鹰国际旅行社,副理事长单位
江西欧佩联合旅游有限公司,副理事长单位
江西省赣中旅国际旅行社,副理事长单位
南昌银彤国际旅行社有限公司,副理事长单位
江西光大国际旅行社有限公司,副理事长单位
江西省导游协会,副理事长单位
吉安市导游协会,副理事长单位
江西省茶叶协会,副理事长单位
江西省春秋国际旅行社有限公司,副理事长单位
九江中国国际旅行社,副理事长单位
南昌香格里拉大酒店,副理事长单位
宜春市旅游协会,副理事长单位
南昌畅游国际旅行社有限责任公司,副理事长单位
锦峰大酒店,副理事长单位
赣州国际旅行社,副理事长单位
赣州旅游集散中心,副理事长单位
上饶市旅游协会,副理事长单位
江西万达亚细亚国际旅行社有限公司,副理事长单位
江西省增康鹿鸣谷旅游发展有限公司,副理事长单位
江西洲际国际旅行社有限公司,副理事长单位
江西省婺源茶叶学校,副理事长单位
彭泽县职教中心,副理事长单位
瑞金中等专业学校,副理事长单位
南昌市第一中等专业学校,副理事长单位
江西旅游职业中等专业学校,副理事长单位
江西省赣州市赣县职业中等专业学校,副理事长单位
江西省九江科技中等专业学校,副理事长单位
修水县职业中专,副理事长单位
九江职业大学,副理事长单位
江西革命老区会昌珠兰示范学校,副理事长单位
江西外语外贸职业学院,副理事长单位
南昌县中等专业学校,副理事长单位
武宁县职业中等专业学校,副理事长单位
江西工业贸易职业技术学院,副理事长单位
资溪职业中学,副理事长单位
大觉山景区集团有限公司,副理事长单位
庐山旅游局,副理事长单位
南昌观园楼酒店,副理事长单位
井冈山管理局旅游管理处,副理事长单位
龙虎山旅游局,副理事长单位
明月山管委会,副理事长单位
三清山管委会,副理事长单位
景德镇古窑民俗语博览区,副理事长单位
明月山温泉风景名胜区,副理事长单位
江西唯美度假国际旅行社,其他成员单位
乐天新时代领队导游中心,其他成员单位
南昌银彤国际旅行社有限公司,其他成员单位
江西凯美格兰云天大酒店有限公司,其他成员单位
南昌格兰云天国际酒店有限公司,其他成员单位
南昌五湖大酒店有限公司,其他成员单位
凯美开元名都大酒店,其他成员单位
欣时代.江西乐天国际旅行社有限公司,其他成员单位
九江中国国际旅行社,其他成员单位
南昌畅游国际旅行社有限责任公司,其他成员单位
南昌万达嘉华酒店,其他成员单位
新余九洲国际旅行社,其他成员单位
江西省增康鹿鸣谷旅游发展有限公司,其他成员单位
江西明月山天沐温泉度假有限公司,其他成员单位
江西凤凰沟生态产业发展有限公司,其他成员单位
南昌市众弘导游服务有限公司,其他成员单位
南城县职业中等专业学校,其他成员单位
景德镇机电工程学校,其他成员单位
井冈山市旅游职业中等专业学校,其他成员单位
靖安县职业中学,其他成员单位
石城职业技术学校（赣州技师学院石城分校）,其他成员单位
高安市职业教育中心,其他成员单位
江西青年职业学院,其他成员单位
南丰县职业中等专业学校,其他成员单位
玉山职业中专,其他成员单位
江西省商务学校,其他成员单位
赣州市第一职业技术学校,其他成员单位
鹰潭应用工程学校,其他成员单位
赣州技师学院,其他成员单位
会昌县职业技术学校,其他成员单位
赣州应用技术职业学校,其他成员单位
丰城中等专业学校,其他成员单位
江西省庐山旅游职业高级中学,其他成员单位
南昌导游协会,其他成员单位
鹰潭市导游协会,其他成员单位
江西省旅游协会旅游温泉分会,其他成员单位
