成员名称,成员类型
江西环境工程职业学院,高职学校
中国林业科学研究院亚热带林业实验中心,科研院所
江西省林业科学院,科研院所
赣州经济开发区管理委员会,政府部门
赣州市章贡区人民政府,政府部门
北京林业大学经济管理学院,本科学校
东北林业大学,本科学校
江西农业大学,本科学校
江西省林业有害生物防治检疫局,行业部门
江西省林木种苗和林场管理局,行业部门
江西省林业产业发展管理局,行业部门
江西省家具协会,行业协会
景德镇枫树山林场,行业部门
永丰县官山林场,行业部门
上海中锐教育投资股份有限公司,企业
中兴通讯新思教育集团,企业
深圳铁汉生态环境股份有限公司,企业
浙江森禾种业股份有限公司,企业
北京中林资产评估有限公司,企业
亿方集团,企业
石狮市绿岛国际酒店有限公司,企业
中国移动通信集团江西有限公司赣州分公司,企业
北京奥尔斯科技股份有限公司,企业
杭州贵义人力资源开发有限公司,企业
晋江爱乐国际酒店有限责任公司,企业
深圳汇洁集团股份有限公司,企业
新马木工机械设备有限公司,企业
江西久久园林开发有限公司,企业
江西仰山园油茶开发有限公司,企业
江西远方林牧集团,企业
江西远泉林业股份有限公司,企业
赣州市教育局,行业部门
赣州市林业局,行业部门
赣州市园林局,行业部门
江西省林业调查规划研究院,行业部门
江西省林业科技推广总站,科研院所
江西省林业厅信息中心,行业部门
江西省林业科技实验中心,科研院所
赣州市章贡区国家税务局,行业部门
赣州市林业科学研究所,科研院所
赣州农业学校,中职学校
龙南县职业中等专业学校,中职学校
赣州光华职业技术学校,中职学校
江西华忆电子工业中等专业学校,中职学校
赣州市南康区家具协会,行业协会
江阴市宏创铸造有限公司,企业
江西正绿园林工程有限公司,企业
江西同致房地产土地估价咨询有限公司赣州分公司,企业
抚州吉祥园艺有限公司,企业
江西金乔园林工程有限公司,企业
江西圆和生态旅游发展有限公司,企业
江西省绿宏实业有限公司,企业
江西绿犹农业开发有限公司,企业
南康世纪佳缘家具有限公司,企业
南康自由王国家具有限公司,企业
南康市腾飞家具有限公司,企业
深圳市居众装饰设计工程有限公司中山分公司,企业
赣州市田野景观工程有限公司,企业
赣州庆美园林开发有限公司,企业
赣州宝泽汽车销售服务有限公司,企业
赣州联信会计师事务所有限公司,企业
赣南景泰园林工程有限公司,企业
赣州市劳动就业服务管理局,行业部门
萍乡市林业科学研究所,科研院所
赣南树木园,科研院所
瑞金市职业中等专业学校,中职学校
赣州应用技术职业学校,中职学校
赣州华坚科技职业学校,中职学校
广东威德力机械实业股份有限公司,企业
泉州市华浔口味装饰有限公司,企业
江西丰多建设发展有限公司,企业
江西高峰生态农林开发有限公司,企业
江西三维商贸有限公司,企业
赣州太阳星晨花艺有限公司,企业
赣州中联环保科技开发有限公司,企业
赣州市凯旋国际旅行社有限公司,企业
赣州核力机械股份有限公司,企业
赣州国际旅行社有限公司,企业
江西点石建造有限公司,企业
深圳市居众装饰设计工程有限公司广州分公司,企业
江西绿巨人市政园林有限公司,企业
南京格安信息系统有限责任公司,企业
广州杰赛科技股份有限公司,企业
广东长实通信股份有限公司,企业
杭州华星创业通信技术股份有限公司,企业
虎都（中国）服饰有限公司,企业
赣州市瀚亭装饰工程有限公司,企业
杭州铁航教育科技有限公司,企业
赣州市金茶源现代油茶开发有限公司,企业
上海春建建筑装饰工程有限公司,企业
江西革命老区会昌珠兰示范学校,中职学校
信华精机有限公司,企业
赣州金玛机械设备有限公司,企业
赣州市南康区中等职业专业学校,中职学校
赣州服装职业技术学校,中职学校
赣州市电子商务协会,行业协会
华宏汽车集团有限公司,企业
赣州博众投资管理有限公司,企业
东莞东元环境科技有限公司,企业
崇义林业股份有限公司,企业
赣州嘉亿建设工程有限公司,企业
赣州市东方工程建设监理有限公司,企业
江西荣昊农业发展有限公司,企业
赣州华劲竹林发展有限公司,企业
赣州金太阳科技林业有限公司,企业
安福县北华山林场,行业部门
萍乡小坑林场,行业部门
广州顺德馨怡装饰设计工程有限公司,企业
赣州品诺装饰设计工程有限公司,企业
广东三星品高整装家居装饰有限公司,企业
深圳长江家俱有限公司,企业
江西全城电商实业有限公司,企业
新道科技股份有限公司,企业
江西威特科技有限公司,企业
江西诚科建设咨询监理有限公司,企业
中国铁塔股份有限公司赣州分公司,企业
赣州科睿特软件股份有限公司,企业
深圳市深联电路有限公司,企业
东方领航投资管理有限公司,企业
龙南县人民政府,政府部门
万盛兴精密技术(惠州)有限公司,企业
东莞龙行胜机械有限公司,企业
赣州五环机器股份有限公司,企业
南昌工程学院,本科学校
江西农业工程职业学院,高职学校
江西生物科技职业学院,高职学校
赣州市南康区德宝置业有限公司南康大酒店,企业
惠州市翡翠山投资管理有限公司,企业
赣州华美行汽车销售服务有限公司,企业
赣州金涛汽车销售服务有限公司,企业
赣州永达荣建汽车销售服务有限公司,企业
赣州运通众祥汽车服务有限公司,企业
