成员名称,成员类型
江西财经职业学院,高职
江西省电子信息工程学校,中职
江西省信息科技学校,中职
石城县职业技术学校,中职
江西省会计协会,行业协会
江西省注册会计师协会,行业协会
江西省交通运输与物流协会,行业协会
九江市计算机行业协会,行业协会
庐山市政府（庐山管理局）,政府单位
九江市财政局,政府单位
九江市税务局,政府单位
鄱阳湖生态科技城,政府单位
中航证券股份有限公司九江营业部,企业单位
招商证券股份有限公司九江九龙街证券营业部,企业单位
中国人寿保险股份有限公司九江分公司,企业单位
江西微盟创客信息科技有限公司,企业单位
上海云仓信息技术有限公司,企业单位
江西鹰潭同信会计师事务所有限公司,企业单位
江西建工第二建筑有限责任公司,企业单位
广州中望龙腾软件股份有限公司,企业单位
广联达科技股份有限公司,企业单位
上港集团九江港务有限公司,企业单位
北京巨量引擎网络技术有限公司,企业单位
江西威特科技有限公司,企业单位
九江微巢互联网科技有限公司,企业单位
阿里巴巴（中国）教育科技有限公司,企业单位
上海科捷物流有限公司,企业单位
杭州五洲医疗设备有限公司,企业单位
杭州明炁科技有限公司,企业单位
杭州贝享健康管理有限公司,企业单位
佛山市安可卫浴有限公司,企业单位
九江世纪宏顺商贸有限公司,企业单位
江西鑫万来食品有限公司,企业单位
沃尔玛（江西）百货有限公司,企业单位
南昌贝壳科技有限公司,企业单位
中教畅享(北京)科技有限公司,企业单位
联奕科技股份有限公司,企业单位
深圳百果园实业（集团）股份有限公司,企业单位
中教畅享（北京）科技有限公司,企业单位
中联集团教育科技有限公司,企业单位
北京世纪超星信息技术发展有限责任公司,企业单位
厦门网中网软件有限公司,企业单位
新道科技股份有限公司,企业单位
利安达会计师事务所（特殊普通合伙）江西分所,企业单位
江西凌鹏科技有限公司,企业单位
九江友信科技有限责任公司,企业单位
九江市同济会计实用技术研发有限公司,企业单位
用友网络科技股份有限公司,企业单位
江西享享网络科技有限公司,企业单位
北京博导前程信息技术股份有限公司,企业单位
南京奥派信息产业股份公司,企业单位
江西省圣裕行科技有限责任公司,企业单位
九江浔音文化传媒有限公司,企业单位
九江聚思味电子商务有限公司,企业单位
厦门知游信息科技有限公司,企业单位
安徽玖福盈和贸易有限公司,企业单位
江西浔里文旅投资发展有限公司,企业单位
九江智诚人力资源有限公司,企业单位
厦门优优汇联信息科技有限公司,企业单位
江西京邦达供应链管理有限公司,企业单位
九江远洲置业有限公司远洲国际大酒店,企业单位
九江信华建国酒店有限公司,企业单位
九江青旅国际旅行社,企业单位
南昌领创汇润酒店管理有限公司融创雅曼酒店,企业单位
南昌领创汇润酒店管理有限公司融创雅诺酒店,企业单位
南昌领创汇润酒店管理有限公司融创雅居酒店,企业单位
广州粤嵌通信科技股份有限公司,企业单位
广州大洋教育科技股份有限公司,企业单位
中山市召歌五金电器有限公司,企业单位
杭州赛群网络科技有限公司,企业单位
浙江德源国际货运代理有限公司,企业单位
深圳市天雅睿语科技有限公司,企业单位
江西格雷格教育咨询有限公司,企业单位
华为技术有限公司,企业单位
合肥宝德网络技术有限公司,企业单位
北京启明星辰信息安全技术有限公司,企业单位
江西创新软件信息产业有限公司,企业单位
北京千锋互联科技有限公司,企业单位
北京新致方舟科技有限公司,企业单位
江西科骏实业有限公司,企业单位
江西允中装饰设计工程有限公司,企业单位
腾讯云计算（北京）有限责任公司,企业单位
上海交叉点信息科技有限公司,企业单位
深圳市全智软创科技有限公司,企业单位
江西阿兰德金融安防有限公司,企业单位
北京八维博大有限公司,企业单位
江西新华出版发行集团有限公司,企业单位
中财讯（江西）智能科技股份有限公司,企业单位
中财讯（江西）物联网货运有限公司,企业单位
北京中财讯财税筹划技术研究院,企业单位
