成员名称,成员级别
河北旅游职业学院,理事长单位
河北旅游投资集团股份有限责任公司,副理事长单位
河北省旅游协会旅游教育培训分会,副理事长单位
华住酒店管理有限公司,副理事长单位
卓普酒店管理咨询有限公司,副理事长单位
北京世纪金源大饭店有限责任公司,副理事长单位
避暑山庄及外八庙景区管委会,副理事长单位
河北省塞罕坝机械林场总场森林旅游开发有限公司,副理事长单位
北京中远博途教育科技有限公司,副理事长单位
石家庄职业技术学院,副理事长单位
唐山职业技术学院,副理事长单位
保定职业技术学院,副理事长单位
河北对外经贸职业学院,副理事长单位
涿州市技师学院,副理事长单位
石家庄市旅游学校,副理事长单位
迁安市职业技术教育中心（迁安市技师学院）,副理事长单位
北京静之湖度假酒店有限公司,副理事长单位
承德神舟国际旅行社有限公司,副理事长单位
北京翔宇通用航空集团,副理事长单位
河北德洋国际船舶管理有限公司,副理事长单位
张家口市宣化职业技术教育中心,副理事长单位
青县职业技术教育中心,副理事长单位
滦县职业技术教育中心,理事单位
北京香格里拉饭店有限公司,理事单位
承德市森林旅游开发有限公司锦江（文冠）饭店,理事单位
河北众诚假日酒店有限公司,理事单位
南京大牌档美食文化有限公司,理事单位
承德市春秋国际旅行社有限公司,理事单位
北京市长城饭店公司,理事单位
承德石油高等专科学校,理事单位
河北工业职业技术学院,理事单位
丰宁满族自治县职业技术教育中心,理事单位
北京华海金宝房地产开发有限公司励骏酒店,理事单位
香港名人世家医疗产业集团有限公司,理事单位
清东陵旅游公司,理事单位
河北交通职业技术学院,理事单位
赵县综合职业技术教育中心,理事单位
衡水市职业技术教育中心,理事单位
秦皇岛市抚宁区职业技术教育中心,理事单位
北京朝林集团科技发展集团有限公司,理事单位
承德市双滦区行宫大酒店有限公司,理事单位
北京长富宫中心,理事单位
北京文津国际酒店,理事单位
承德嘉和国际酒店,理事单位
北京外国专家大厦,理事单位
北方钓鱼台饮食文化传播（北京）有限公司,理事单位
天津市鹏天阁酒店有限公司,理事单位
丰宁满族自治县大汗行宫旅游发展有限公司,理事单位
承德市山庄宾馆,理事单位
承德大众国际旅行社有限公司,理事单位
国御温泉度假小镇股份有限公司,理事单位
北京竹园国际旅行社有限公司,理事单位
北京凤凰假期国际旅行社,理事单位
北京众鑫之星国际旅行社,理事单位
金山岭长城旅游管理公司,理事单位
北京航服教育科技有限公司,理事单位
盐山县职业技术教育中心,理事单位
涿州市职业技术教育中心,理事单位
河北省故城县职业技术教育中心,理事单位
涉县职业技术教育中心,理事单位
武安市综合职业技术教育中心,理事单位
大厂回族自治县职业技术教育中心,理事单位
容城县职业技术教育中心,理事单位
昌黎县职业技术教育中心,理事单位
晋州市职业技术中学,理事单位
沙河市职业技术学校,理事单位
张家口市技师学院（张家口机械工业学校）,理事单位
隆化县职业技术教育中心,理事单位
平泉市职业技术教育中心,理事单位
滦平县职业技术教育中心,理事单位
承德县综合职业技术教育中心,理事单位
围场满族蒙古族自治县职业技术教育中心,理事单位
宽城满族自治县职业技术教育中心,理事单位
秦皇岛市中等专业学校,理事单位
Royal Dragon Hotel（御龙酒店）,理事单位
邯郸市第六职业中学,理事单位
承德技师学院,理事单位
大城县职业技术教育中心,理事单位
兴隆县职业技术教育中心,理事单位
洲际酒店集团,理事单位
河北康辉国际旅行社有限责任公司,理事单位
北京辉腾国际旅行社有限公司,理事单位
