成员名称,成员大类
河北省机械行业协会,行业协会
河北省模具协会,行业协会
河北省铸造协会,行业协会
邢台市汽车维修行业协会,行业协会
河北机电职业技术学院,院校
河北工业大学,院校
石家庄铁道大学,院校
河北科技大学,院校
邢台学院,院校
邢台职业技术学院,院校
河北交通职业技术学院,院校
河北化工医药职业技术学院,院校
承德石油高等专科学校,院校
河北工业职业技术学院,院校
石家庄铁路职业技术学院,院校
唐山工业职业技术学院,院校
秦皇岛职业技术学院,院校
唐山职业技术学院,院校
河北软件职业技术学院,院校
保定职业技术学院,院校
廊坊职业技术学院,院校
石家庄邮电职业技术学院,院校
河北建材职业技术学院,院校
衡水职业技术学院,院校
河北劳动关系职业学院,院校
河北轨道运输职业技术学院,院校
石家庄科技工程职业学院,院校
宣化科技职业学院,院校
曹妃甸职业技术学院,院校
冀中职业学院,院校
邢台技师学院,院校
河北省机电工程技师学院,院校
石家庄市机械技工学校,院校
涞水职教中心,院校
青县职教中心,院校
魏县综合职教中心,院校
故城县职教中心,院校
涿州市职教中心,院校
怀来县职教中心,院校
满城职教中心,院校
曲周县职业技术教育中心,院校
邯郸理工学校,院校
河北经济管理学校,院校
徐水职教中心,院校
保定市职教中心,院校
赵县综合职教中心,院校
迁安市职教中心,院校
沧州工贸学校,院校
保定市第四职业中学,院校
邢台现代职业学校,院校
邢台县职教中心,院校
南宫市职教中心,院校
临西县职教中心,院校
广宗县职教中心,院校
临城县职教中心,院校
宁晋县职教中心,院校
清河县职教中心,院校
威县职业技术教育中心,院校
泊头职教中心,院校
河北省科技工程学校,院校
石家庄工程技术学校,院校
邯郸市成安县综合职业技术学校,院校
隆化职教中心,院校
河北磁县职教中,院校
柏乡职教中心,院校
隆尧职教中心,院校
长城汽车股份有限公司,企业
沧州中铁装备制造材料有限公司,企业
北京华航唯实机器人科技股份有限公司,企业
北京发那科机电有限公司,企业
天津立鑫晟精细铸造有限公司,企业
亚龙智能装备集团股份有限公司,企业
迪培软件科技（上海）有限公司,企业
武汉华中数控股份有限公司,企业
大连机床集团有限责任公司,企业
张家口宣化华泰矿冶机械有限公司,企业
天津圣纳科技有限公司,企业
保定市精工汽车模具技术有限公司,企业
北京达内为上科技有限公司,企业
苏州清研车联教育科技有限公司,企业
天津微深科技有限公司,企业
北汽兴东方模具（北京）有限公司,企业
河北恒盛泵业股份有限公司,企业
邯郸市东方工矿设备有限公司,企业
南皮县兴业空调设备有限责任公司,企业
石家庄鑫悦精密模具有限公司,企业
SMC（中国）有限公司,企业
北京中邮鸿波电子技术研究院,企业
比德文控股集团有限公司,企业
河北北方铸业有限公司,企业
河北金环模具有限公司,企业
山东汉唐电动汽车科技有限公司,企业
石家庄普软软件科技有限公司,企业
河北博柯莱智能装备科技股份有限公司,企业
润泰救援装备科技河北有限公司,企业
北京大豪科技股份有限公司,企业
中航通飞（北京）教育科技有限公司,企业
东软睿道教育信息技术有限公司,企业
北京宏业嘉铭科技有限公司,企业
上海景格科技股份有限公司,企业
深圳市同立方科技有限公司,企业
天津汇博智联机器人技术有限公司,企业
武汉天之逸科技有限公司,企业
安徽盈创石化检修安装有限责任公司潍坊滨海分公司,企业
河北新龙科技股份有限公司,企业
邯郸市瑞冠通用设备有限公司,企业
邢台市市政建设集团有限公司,企业
中钢集团邢台机械轧辊有限公司,企业
远大阀门集团有限公司,企业
今麦郎食品有限公司,企业
邢台亿利汽车零部件有限公司,企业
家乐园商贸股份有限公司,企业
邢台盛华汽车贸易有限责任公司,企业
河北创力机电科技有限公司,企业
中北集团股份有限公司,企业
河北好望角物流发展有限公司,企业
河北泰禾高温流体科技股份有限公司,企业
冀中能源机械装备集团有限公司邢台机械厂,企业
河北红星汽车制造有限公司,企业
河北任我行新能源汽车租赁有限公司,企业
邢台市华业通信设备有限公司,企业
邢台华电数控设备制造有限公司,企业
河北启航汽车模具有限责任公司,企业
蓝池集团有限公司,企业
河北德乐机械科技股份有限公司,企业
河北长征汽车制造有限公司,企业
领途汽车有限公司,企业
邢台纳科诺尔精轧科技股份有限公司,企业
邢台圣阳轧辊制造有限公司,企业
河北瑞福祥机械有限公司,企业
江苏腾顺数控机床有限公司邢台办事处（任县宏昌机电有限公司）,企业
邢台癸酉新能源科技有限公司,企业
欧伏电气股份有限公司,企业
河北光亚专用汽车制造有限公司,企业
中钢邢机设备制造有限责任公司,企业
北京翡翠教育科技集团有限公司朝阳分公司,企业
邢台朝阳机械制造有限公司,企业
邢台金后盾精密机械有限公司,企业
河北全工钢锉产销有限公司,企业
雄安新区金泉化工有限公司,企业
河北德龙环境有限公司,企业
河北时代电子有限公司,企业
北京力达康科技有限公司,企业
明盾技术河北有限公司,企业
河北智通交通科技有限公司,企业
上海尤尼斯工业服务有限公司沈阳分公司,企业
北京千峰互联科技有限公司,企业
石家庄中川科技有限公司,企业
