成员名称,成员大类
河南农业职业学院,
信阳农林学院学院,
河南牧业经济学院,
南阳农业职业学院,
商丘职业技术学院,
周口职业技术学院,
三门峡职业技术学院,
河南商丘春来教育集团,
驻马店农业学校,
黄泛区农场集团,
河南大众种业有限公司,企业
濮阳县职业技术学校,
漯河市第二职业中专,
淇县职业中等专业学校,
辉县一职专,
遂平县职教中心,
滑县职业中专,
虞城县第一中等专业学校,
宜阳县职业教育中心,
叶县职业教育中心,
嵩县中等专业学校,
新乡市牧野区职教中心,
舞钢市职业中专,
漯河市舞阳中等专业学校,
河南省粮源农业发展有限公司,企业
河南省富景生态旅游开发有限公司,企业
河南晨明生态农业科技有限公司,企业
郑州高新富迪园林绿化工程有限公司,企业
河南省弘亿国际农业科技股份有限公司,企业
郑州 言鼎汽车维修技术服务有限公司,企业
奇瑞汽车河南有限公司,企业
江苏康众汽配有限公司,企业
河南经纬电力科技股份有限公司,企业
郑州红宇装备制造有限公司,企业
郑州绿业元农业科技有限公司,企业
河南富吉泰种业有限公司,企业
兰桂骐农业科技（上海）有限公司,企业
郑州市好利来食品有限公司,企业
太原市好利来食品有限公司,企业
河南广电计量检测有限公司,企业
哈尔滨凯宾斯基酒店,
郑州富力万达文华酒店,
新希望六和股份有限公司,企业
洛阳正邦养殖有限公司,企业
河南瑞派宠物医院管理有限公司,企业
河南雄峰科技股份有限公司,企业
嘉吉动物蛋白安徽有限公司,企业
北京中航天使教育科技集团有限公司,企业
内蒙古西贝餐饮集团有限公司,企业
荣誉国际集团石狮市荣誉大酒店,
永嘉县东海明珠四季酒店有限公司,企业
远洲集团股份有限公司,企业
河南省驻马店农业学校,
通许县中等职业学校,
濮阳县职业技术学校,
济源职业技术学校,
辉县一职专,
淇县职业中等专业学校,
中牟县职业中等专业学校,
漯河市第二中等专业学校,
学校安阳职专,
林州经济管理学校,
汝阳县中等专业学校,
漯河市舞阳中等专业学校,
宁陵县职业中专浚县中等专业学校,
新县职业中等专业学校,
新密职教中心西华县第二职业中专学校,
商丘职业技术学院,
周口职业技术学院,
三门峡职业技术学院,
南阳农业职业学院,
信阳农林学院,
河南牧业经济学院,
河南省农业厅,
河南省农学会,
河南省种子管理站,
河南省食品工业协会,行业协会
河南省花卉协会,行业协会
郑州果树研究所,科研机构
郑州蔬菜研究所,科研机构
河南省农业科学院,
河南省农科院小麦所,
河南省农科院经济作物研究所,科研机构
河南省农科院畜牧兽医研究所,科研机构
河南省农科院园艺研究所,科研机构
