成员名称,成员类型,成员级别
鹤壁职业技术学院,院校,理事长单位
焦作大学,院校,副理事长单位
焦作师范高等专科学校,院校,副理事长单位
济源职业技术学院,院校,副理事长单位
河南科技学院高等职业技术学院,院校,副理事长单位
濮阳职业技术学院,院校,副理事长单位
新乡职业技术学院,院校,副理事长单位
安阳职业技术学院,院校,副理事长单位
长垣烹饪职业技术学院,院校,副理事长单位
焦作工贸职业学院,院校,副理事长单位
河南护理职业学院,院校,副理事长单位
河南工业和信息化职业学院,院校,副理事长单位
濮阳医学高等专科学校,院校,副理事长单位
濮阳石油化工职业技术学院,院校,副理事长单位
鹤壁汽车工程职业学院,院校,副理事长单位
鹤壁能源化工职业学院,院校,副理事长单位
林州建筑职业技术学院,院校,副理事长单位
征云集团有限公司,企业,副理事长单位
天海汽车电子集团股份有限公司,企业,副理事长单位
河南璞昂实业有限公司,企业,副理事长单位
武汉格莱信息科技有限公司,企业,副理事长单位
鹤壁市淇滨区福田幼儿园有限公司,企业,副理事长单位
鹤壁天海电子信息系统有限公司,企业,副理事长单位
鹤壁市中医院,企业,副理事长单位
鹤壁市人民医院,企业,副理事长单位
鹤壁国立光电科技股份有限公司,企业,副理事长单位
河南澳得电子商务有限公司,企业,副理事长单位
鹤壁春黎农业开发有限公司,企业,副理事长单位
鹤壁东江建筑工业科技公司,企业,副理事长单位
鹤壁航盛汽车电子科技有限公司,企业,副理事长单位
海尔集团郑州分公司,企业,副理事长单位
河南豫光金铅集团有限责任公司,企业,副理事长单位
济源市万洋冶炼 (集团) 有限公司,企业,副理事长单位
河南威科特瑞实业有限公司,企业,副理事长单位
河南垂天科技有限公司,企业,副理事长单位
河南仕佳光子科技股份有限公司,企业,副理事长单位
蔚林新材料科技股份有限公司,企业,副理事长单位
中维化纤股份有限公司,企业,副理事长单位
河南千年冷冻设备有限公司,企业,副理事长单位
宝舜科技股份有限公司,企业,副理事长单位
鹤壁天义会计师事务所,企业,副理事长单位
