成员名称,成员大类
深圳市第一职业技术学校,学校教育机构
深圳市第二职业技术学校,学校教育机构
深圳市第三职业技术学校,学校教育机构
深圳市新鹏职业高级中学,学校教育机构
深圳市开放职业技术学校,学校教育机构
深圳市博伦职业技术学校,学校教育机构
深圳市奋达职业技术学校,学校教育机构
深圳市宝山技工学校,学校教育机构
深圳中华职业进修学校,学校教育机构
深圳市教育科学研究院,学校教育机构
新西兰怀卡托理工学院,学校教育机构
北京理工大学深圳研究院,学校教育机构
深圳福田区精英职业培训学校,学校教育机构
深圳市盐田区华智培训学校,学校教育机构
贵州省毕节市七星关区中等职业学校,学校教育机构
深圳职业技术学院汽车与交通学院,学校教育机构
中兴通讯学院NC教育管理中心,学校教育机构
深圳市现代服务业职业教育实训基地,学校教育机构
深圳市眼镜产业职业教育实训基地,学校教育机构
深圳职业技术学院技术与职业教育研究所,学校教育机构
深圳信息职业技术学院高等职业教育研究所,学校教育机构
深圳市安防技术职业培训中心,学校教育机构
深圳职业技术学院机电学院,学校教育机构
深圳市携创技工学校,学校教育机构
深圳市宝安区树人职业技能培训学校,学校教育机构
深圳市英特教育培训中心,学校教育机构
深圳科迅人才培训中心,学校教育机构
深圳市珠联培训中心,学校教育机构
深圳市中嘉职业技术学校,学校教育机构
深圳市龙岗区第二职业技术学校,学校教育机构
长城科技股份有限公司,企业
比亚迪汽车有限公司,企业
深圳华强集团有限公司,企业
招商物流集团有限公司,企业
中国银行深圳分行,企业
深圳长城开发科技股份有限公司,企业
深圳邮政局,企业
沃尔玛(中国)投资有限公司,企业
天虹商场股份有限公司,企业
深圳市国美电器有限公司,企业
苏宁电器股份有限公司,企业
中国长城计算机深圳股份有限公司,企业
深南电路有限公司,企业
中通信息服务有限公司,企业
康佳集团股份有限公司,企业
深圳长城网电脑科技开发有限公司,企业
深圳市鹏劳人力资源管理有限公司,企业
福群电子(深圳)有限公司,企业
深圳市博士眼镜连锁有限公司,企业
星光印刷(深圳)有限公司,企业
深圳市凯通物流有限公司,企业
深圳市联创科技集团有限公司,企业
宗正汽车贸易有限公司,企业
明华(蛇口)海员服务公司明华国际会议中心   ,企业
深圳创维-RGB电子有限公司石岩工厂,企业
沃尔玛深国投百货有限公司(深圳中山分店),企业
深圳第二空间教育服务有限公司,企业
深圳市中建南方建筑设计有限公司,企业
用友新道科技有限公司（深圳）,企业
深圳市中科鸥鹏智能科技有限公司 ,企业
深圳市计算机协会 ,企业
深圳私营企业协会 ,企业
广东省眼镜商会 ,企业
深圳市会计学会 ,企业
深圳市潜能开发研究会 ,企业
深圳市科联专家服务中心,企业
中国人民财产保险股份有限公司深圳市分公司,企业
深圳市新红景科技开发有限公司,企业
深圳市太极楼宇科技有限公司,企业
深圳市超明实业有限公司,企业
中海物业管理有限公司深圳分公司,企业
观澜高尔夫球会,企业
深圳市亚高智能科技有限公司,企业
深圳市第五职业技能鉴定所,企业
深圳市学智教育投资有限公司,企业
深圳市财安合伙会计师事务所,企业
深圳市沃德教育发展有限公司,企业
深圳市学智教育投资有限公司,企业
深圳市联合利丰供应链管理有限公司,企业
深圳市欢乐动漫有限公司,企业
深圳市昌恩电子有限公司,企业
深圳市鲮鲤信息技术有限公司,企业
深圳市民康实业有限公司,企业
深圳市引航信息技术有限公司,企业
中国联合网络通信深圳分公司,企业
深圳市神州动力数码有限公司,企业
深圳市用明企业管理顾问有限公司,企业
深圳市儒枫国际文化传播有限公司,企业
深圳中远物流有限公司,企业
广州市福恩特科技有限公司,企业
深圳市德朗能电子科技有限公司,企业
深圳市咨智通教育培训有限公司,企业
深圳市前海濠天科技有限公司,企业
深圳惠卡世纪集团有限公司,企业
深圳市华云新创科技有限公司,企业
深圳房讯通信息技术有限公司,企业
深圳市永鹏会计师事务所,企业
深圳市卓翼智造有限公司,企业
深圳海科星教育科技有限公司,企业
