成员名称,成员类型,成员级别
湖北工业大学,本科学校,副理事长单位
湖北工程学院,本科学校,理事单位
武昌首义学院,本科学校,理事单位
武汉工程大学,本科学校,理事单位
湖北经济学院,本科学校,理事单位
武汉商学院,本科学校,理事单位
武汉交通职业学院,高职学校,理事单位
长江工程职业技术学院,高职学校,副理事长单位
长江职业学院,高职学校,副理事长单位
武昌职业学院,高职学校,副理事长单位
武汉船舶职业技术学院,高职学校,副理事长单位
武汉铁路职业技术学院,高职学校,副理事长单位
武汉工程职业技术学院,高职学校,副理事长单位
湖北省交通规划设计院,科研机构,理事单位
中国汽车技术研究中心汉阳专用汽车研究所,科研机构,理事单位
武汉现代物流研究院,科研机构,理事单位
桥梁科学研究院,科研机构,理事单位
湖北省公路学会,行业组织,理事单位
湖北省道路运输行业协会,行业组织,理事单位
湖北省交通会计学会,行业组织,理事单位
湖北省机械工程学会,行业组织,副理事长单位
湖北省交通运输厅公路管理局,政府部门,副理事长单位
湖北省交通运输厅道路运输管理局(物流发展局),政府部门,副理事长单位
湖北省交通运输厅港航管理局(地方海事局),政府部门,副理事长单位
湖北省交通运输厅高速公路管理局,政府部门,副理事长单位
湖北省交通运输厅工程质量监督局,政府部门,副理事长单位
湖北省交通基本建设造价管理站,政府部门,理事单位
湖北省交通运输厅通信信息中心(交通科研所),政府部门,理事单位
湖北省交通运输厅世界银行贷款项目办公室,政府部门,理事单位
湖北省交通运输厅京珠高速公路管理处,政府部门,理事单位
湖北省交通运输厅鄂西高速公路管理处,政府部门,理事单位
湖北省交通运输厅随岳高速公路管理处,政府部门,理事单位
湖北省交通运输厅黄黄高速公路管理处,政府部门,理事单位
湖北省交通运输厅武黄高速公路管理处,政府部门,理事单位
湖北省江汉运河航道管理处,政府部门,理事单位
湖北省汉江崔家营航电枢纽管理处,政府部门,理事单位
湖北省交通运输厅汉十高速公路管理处,政府部门,理事单位
武汉市交通学校,中职学校,副理事长单位
湖北荆州港航中等专业学校,中职学校,理事单位
武汉市供销商业学校,中职学校,理事单位
武汉市石牌岭高级职业中学,中职学校,理事单位
蕲春李时珍中医药职业技术学校,中职学校,理事单位
麻城市职业技术教育集团,中职学校,理事单位
十堰市郧阳科技学校,中职学校,理事单位
武汉市交通科技学校,中职学校,理事单位
江汉油田职业技术学校,中职学校,理事单位
京山市中等职业技术学校,中职学校,理事单位
襄阳市交通运输局职工培训中心(襄阳市交通职业中等专业学校襄阳市交通培训中心驾驶员培训学校),中职学校,理事单位
恩施州交通技工学校,中职学校,理事单位
三一重机有限公司,企业单位,理事单位
三一重工股份有限公司,企业单位,理事单位
联想(北京)有限公司,企业单位,理事单位
美国PPG工业集团庞贝捷漆油贸易(上海)有限公司,企业单位,理事单位
美的集团武汉制冷设备有限公司,企业单位,理事单位
中国正通汽车服务控股有限公司,企业单位,理事单位
中交第二航务工程局有限公司,企业单位,副理事长单位
湖北省路桥集团有限责任公司,企业单位,副理事长单位
湖北省楚天智能交通股份有限公司,企业单位,理事单位
湖北三环汽车投资有限公司,企业单位,理事单位
中天路桥有限公司,企业单位,理事单位
武汉中南工程机械设备有限责任公司,企业单位,副理事长单位
湖北汽车运输有限公司,企业单位,理事单位
湖北中南路桥有限公司,企业单位,理事单位
湖北省客运集团,企业单位,理事单位
湖北捷龙交通运业有限公司,企业单位,理事单位
湖北省高速公路实业开发有限公司,企业单位,理事单位
惠州天缘电子有限公司,企业单位,副理事长单位
武汉中南丰田汽车销售服务有限公司,企业单位,副理事长单位
武汉市维优科技有限公司,企业单位,理事单位
湖北乾通建筑劳务有限公司,企业单位,理事单位
广州芬朗电子科技有限公司,企业单位,副理事长单位
深圳市联胜保险公估有限公司,企业单位,副理事长单位
湖北大恒伟业智能科技有限公司,企业单位,理事单位
武汉东交路桥工程有限公司,企业单位,理事单位
思科公司网络技术学校理事会,企业单位,理事单位
武汉市幸运坐标信息技术有限公司,企业单位,理事单位
上海中远海运劳务服务有限公司,企业单位,理事单位
上海森海海事服务有限公司,企业单位,理事单位
广东心怡科技物流有限公司武汉分公司,企业单位,副理事长单位
武汉大通公路桥梁工程咨询监理有限责任公司,企业单位,理事单位
汉新传媒,企业单位,理事单位
长江水利委员会长江博览文化传播有限公司,企业单位,理事单位
武汉今天梦想商贸有限公司,企业单位,副理事长单位
武汉插画人数码艺术设计有限公司,企业单位,理事单位
中国邮政速递物流股份有限公司湖北省分公司,企业单位,副理事长单位
武汉宏图誉构模型科技有限公司,企业单位,理事单位
武汉两点十分文化传播有限公司,企业单位,理事单位
合肥京东方光电科技有限公司,企业单位,理事单位
星网锐捷网络有限公司,企业单位,理事单位
武汉江夏路桥工程总公司,企业单位,理事单位
武汉宁美国度科技有限公司,企业单位,理事单位
武汉丸顺汽车配件有限公司,企业单位,理事单位
北京铁道研究所武汉黎赛科技有限公司,企业单位,理事单位
南方银通(武汉)信息技术服务有限公司,企业单位,副理事长单位
武汉爱车屋汽车管理服务股份有限公司,企业单位,理事单位
武汉唯众智创科技有限公司,企业单位,理事单位
苏州创飞智能科技有限公司,企业单位,理事单位
长江空间信息技术工程有限公司(武汉)测绘有限公司,企业单位,理事单位
湖北名星全案装饰设计工程有限公司,企业单位,副理事长单位
深圳天道计然信息咨询有限公司武汉分公司(美利金融),企业单位,理事单位
武汉万涌投资管理有限公司,企业单位,理事单位
武汉辉宏测绘有限公司,企业单位,理事单位
深圳市佰仟金融服务有限公司武汉分公司,企业单位,理事单位
武汉鑫裕盛船员管理有限公司,企业单位,副理事长单位
湖北华捷工程咨询监理有限公司,企业单位,理事单位
湖北顺达公路工程咨询监理有限公司,企业单位,理事单位
北京中交京纬公路造价技术有限公司湖北分公司,企业单位,理事单位
加拿大杨格莱特（武汉）国际建筑设计有限公司,企业单位,理事单位
武汉市大道物流有限责任公司,企业单位,理事单位
武汉蒙牛友芝友乳业销售有限公司,企业单位,副理事长单位
武汉嘉禾装饰集团有限公司,企业单位,理事单位
武汉顺丰速运有限公司,企业单位,副理事长单位
湖北恒信德龙汽车投资股份有限公司,企业单位,理事单位
赛尔网络有限公司,企业单位,理事单位
广州佛朗斯股份有限公司,企业单位,理事单位
北京瑞华赢科技发展有限公司武汉分公司,企业单位,理事单位
武汉康顺集团汽车贸易有限公司,企业单位,理事单位
武汉深天翔科技有限公司,企业单位,理事单位
武汉宝中旅程国际旅行社有限公司,企业单位,理事单位
湖北江汉工程咨询有限公司,企业单位,理事单位
武汉怡东船舶管理有限公司,企业单位,理事单位
武汉中交路桥设计咨询有限公司,企业单位,理事单位
厦门海隆对外劳务合作有限公司武汉分公司,企业单位,理事单位
纽宾凯国际集团有限公司,企业单位,理事单位
京东商城武汉分公司,企业单位,理事单位
亚马逊鄂州运营中心,企业单位,理事单位
中兴通讯股份有限公司,企业单位,副理事长单位
湖北长江路桥股份有限公司,企业单位,理事单位
北京通用航空产业基地投资控股有限公司,企业单位,理事单位
武汉佰钧成技术有限责任公司,企业单位,理事单位
广州天启数码科技有限公司武汉分公司,企业单位,理事单位
武汉兆丰标龙汽车销售服务有限公司,企业单位,理事单位
武汉科码软件有限公司,企业单位,理事单位
乐改（湖北）科技有限公司,企业单位,理事单位
武汉金色世纪财务有限公司,企业单位,理事单位
众合汉邦（武汉）投资管理有限公司,企业单位,理事单位
武汉恩立本模型有限公司,企业单位,理事单位
湖北嘉一三维高科股份有限公司,企业单位,理事单位
武汉面对面家居有限公司,企业单位,理事单位
武汉鑫致远模型科技公司,企业单位,理事单位
武汉天之逸科技有限公司,企业单位,理事单位
武汉景云空间环境设计工程有限责任公司,企业单位,理事单位
武汉鼎富装饰工程有限公司,企业单位,理事单位
武汉博朗世纪工程技术有限公司,企业单位,理事单位
万华生态板业股份有限公司,企业单位,理事单位
武汉拜思达装饰集团,企业单位,理事单位
浙江吉利控股集团有限公司（添加合作企业）,企业单位,理事单位
湖北大冶汉龙汽车有限公司,企业单位,理事单位
武汉九州龙工程机械有限公司,企业单位,理事单位
广州南方测绘科技股份有限公司武汉分公司,企业单位,理事单位
金石易服（武汉）科技有限公司,企业单位,理事单位
武汉创宇极网络科技有限公司,企业单位,理事单位
武汉费马信息咨询有限公司,企业单位,理事单位
中信仁和建筑集团,企业单位,理事单位
武汉有戏网络科技有限公司,企业单位,理事单位
华渔教育科技有限公司,企业单位,理事单位
武汉港集装箱有限公司,企业单位,理事单位
广州天启数码科技有限公司,企业单位,理事单位
广东金如意贵金属经营有限公司湖北分公司,企业单位,理事单位
宜昌港务集团有限责任公司,企业单位,理事单位
黄石港务集团有限责任公司,企业单位,理事单位
湖北省楚天高速公路股份有限公司,企业单位,理事单位
湖北极兔速递有限公司,企业单位,理事单位
湖北润达税务师事务所有限责任公司,企业单位,理事单位
上海全一快递有限公司,企业单位,理事单位
武汉市德邦物流有限公司,企业单位,理事单位
武汉新起典装饰工程有限公司,企业单位,理事单位
武汉鑫至远模型科技有限公司,企业单位,理事单位
武汉莱斯特电子科技有限公司,企业单位,理事单位
武汉虹信通信科技有限公司,企业单位,副理事长单位
荆州港务集团有限公司,企业单位,理事单位
武汉奋进智能机器有限公司,企业单位,理事单位
武汉润洁科技发展有限公司,企业单位,理事单位
武汉鑫伟泰汽车服务有限公司,企业单位,理事单位
深圳市精能奥天导航技术有限公司,企业单位,理事单位
武汉华工激光工程责任有限公司,企业单位,理事单位
北京华晟经世信息技术股份有限公司,企业单位,理事单位
中南安全环境技术研究院股份有限公司,企业单位,理事单位
深圳市中视典数字科技有限公司,企业单位,理事单位
福建省网龙易成教育科技有限责任公司,企业单位,理事单位
湖北普罗劳格科技股份有限公司,企业单位,理事单位
中天交通建设投资集团有限公司,企业单位,理事单位
中交二航局建筑科技有限公司,企业单位,理事单位
上海鼎衡航运料技有限公司,企业单位,理事单位
上海泰华船舶管理有限公司,企业单位,理事单位
华为技术有限公司,企业单位,副理事长单位
中国交通建设股份有限公司华中区域总部,企业单位,副理事长单位
