成员名称,成员类型,成员级别
武汉交通职业学院,,理事长单位
湖北交通运输厅物流发展局,,副理事长单位
湖北省商务厅服务贸易处,,副理事长单位
湖北省物流协会,行业协会,副理事长单位
湖北省国际货运代理协会,行业协会,副理事长单位
武汉港务集团有限公司,企业,副理事长单位
武汉国际集装箱转运有限公司,企业,副理事长单位
湖北华融物流股份有限公司,企业,副理事长单位
湖北盛辉物流有限公司,企业,副理事长单位
中储发展股份有限公司汉口分公司,企业,副理事长单位
武汉商业储运有限责任公司,企业,副理事长单位
中国交通物资中南有限公司,企业,副理事长单位
武汉理工大学,,副理事长单位
武汉科技大学,,副理事长单位
湖北经济学院,,副理事长单位
武汉职业技术学院,,副理事长单位
武汉船舶职业技术学院,,副理事长单位
武汉铁路职业技术学院,,副理事长单位
武汉软件工程职业学院,,副理事长单位
黄冈职业技术学院,,副理事长单位
武汉市交通学校,,副理事长单位
武汉中港物流有限公司,企业,常务理事单位
武汉中百物流配送有限公司,企业,常务理事单位
武汉中远报关服务有限公司,企业,常务理事单位
锦海捷亚国际货运有限公司,企业,常务理事单位
湖北中物信息公共服务平台有限公司,企业,常务理事单位
武汉建投铁路运输有限公司,企业,常务理事单位
中国东方航空武汉有限责任公司,企业,常务理事单位
湖北省金旭工贸公司,企业,常务理事单位
武汉白沙洲冷链物流有限责任公司,企业,常务理事单位
武汉肉联食品有限公司,企业,常务理事单位
武汉惠航国际货运代理有限公司,企业,常务理事单位
武汉城市圈海吉星农产品物流有限公司,企业,常务理事单位
武汉环球物流有限公司,企业,常务理事单位
武汉新创前程教育投资有限公司,企业,常务理事单位
湖北物流发展研究中心,,常务理事单位
物流技术杂志社,,常务理事单位
物流工程与管理杂志社,,常务理事单位
湖北交通职业技术学院,,常务理事单位
湖北城市建设职业技术学院,,常务理事单位
长江工程职业技术学院,,常务理事单位
武汉航海职业技术学院,,常务理事单位
长江职业学院,,常务理事单位
武汉市供销商业学校,,常务理事单位
武汉市财贸学校,,常务理事单位
